8444 /  3D Baseball /  $19.95 /  $54.00 /  $91.13 / 
9026 /  Gex /  $16.99 /  $28.78 /  $68.48 / 
9027 /  Ghen War /  $6.59 /  $12.57 /  $21.81 / 
9048 /  Golden Axe The Duel /  $30.62 /  $69.82 /  $98.14 / 
13126 /  Grand Slam /  $9.18 /  $27.47 /  $42.12 / 
13127 /  Grid Runner /  $7.87 /  $18.04 /  $25.22 / 
9073 /  Guardian Heroes /  $70.77 /  $172.50 /  $301.86 / 
9076 /  Gun Griffon /  $14.97 /  $30.06 /  $30.88 / 
9087 /  Hang-On GP /  $12.96 /  $19.89 /  $30.24 / 
9101 /  Heir of Zendor The Legend and The Land /  $11.99 /  $18.99 /  $24.98 / 
9102 /  "Hercs Adventures" /  $60.78 /  $207.10 /  $349.86 / 
9105 /  Hexen /  $15.89 /  $31.94 /  $43.11 / 
9106 /  Hi Octane /  $8.09 /  $11.26 /  $14.98 / 
13128 /  High Velocity Mountain Racing Challenge /  $13.30 /  $29.99 /  $39.99 / 
9110 /  Highway 2000 /  $14.99 /  $54.13 /  $91.92 / 
9136 /  Hyper 3D Pinball /  $7.06 /  $12.75 /  $22.57 / 
9140 /  Impact Racing /  $8.00 /  $17.76 /  $30.79 / 
9141 /  In the Hunt /  $53.82 /  $100.38 /  $180.13 / 
9144 /  Independence Day /  $8.64 /  $17.08 /  $17.99 / 
9151 /  Iron Man X-O Manowar in Heavy Metal /  $10.55 /  $16.51 /  $28.05 / 
9153 /  Iron Storm /  $36.88 /  $61.98 /  $117.53 / 
13129 /  Johnny Bazookatone /  $12.96 /  $34.99 /  $68.78 / 
9226 /  Last Bronx /  $16.17 /  $26.61 /  $49.83 / 
9227 /  Last Gladiators Digital Pinball Ver 9.7 /  $7.34 /  $8.84 /  $39.95 / 
9233 /  Legend of Oasis /  $42.06 /  $90.00 /  $122.48 / 
9251 /  Loaded /  $16.76 /  $39.89 /  $73.34 / 
20298 /  Lost & Found Volume 1 /   /   /   / 
20299 /  Lost & Found Volume 2 /  $53.06 /  $99.88 /  $169.79 / 
20300 /  Lost & Found Volume 3 /   /   /   / 
9994 /  Lost World Jurassic Park /  $9.55 /  $19.09 /  $29.95 / 
9016 /  Lunacy /  $81.47 /  $184.00 /  $391.04 / 
9263 /  Machine Head /  $9.50 /  $24.99 /  $33.12 / 
9265 /  Madden 97 /  $4.44 /  $6.75 /  $16.00 / 
13131 /  Madden 98 /  $5.36 /  $7.73 /  $17.98 / 
9274 /  Magic Carpet /  $10.60 /  $21.49 /  $28.20 / 
14020 /  Magic Knight Rayearth /  $181.25 /  $455.85 /  $805.46 / 
9283 /  Mansion of Hidden Souls /  $9.96 /  $18.50 /  $42.70 / 
9284 /  Manx TT Super Bike /  $12.83 /  $19.57 /  $29.94 / 
9295 /  Marvel Super Heroes /  $35.95 /  $109.10 /  $143.63 / 
9300 /  Mass Destruction /  $12.98 /  $30.27 /  $35.86 / 
18601 /  Maximum Force /  $24.99 /  $38.00 /  $53.72 / 
9311 /  MechWarrior 2 /  $10.00 /  $19.35 /  $30.50 / 
9318 /  Mega Man 8 /  $149.97 /  $333.40 /  $798.73 / 
9321 /  Mega Man X4 /  $70.35 /  $191.06 /  $450.00 / 
31311 /  Metal Slug /  $50.87 /  $94.55 /  $161.66 / 
9357 /  Minnesota Fats Pool Legend /  $10.68 /  $25.00 /  $42.50 / 
63209 /  Mission Stick /   /   /   / 
9373 /  Mortal Kombat II /  $19.21 /  $31.15 /  $87.06 / 
13132 /  Mortal Kombat Trilogy /  $39.06 /  $99.99 /  $143.46 / 
9380 /  Mr. Bones /  $32.99 /  $60.00 /  $108.03 / 
9394 /  Myst /  $7.60 /  $11.61 /  $23.38 / 
9395 /  Mystaria The Realms of Lore /  $28.93 /  $62.64 /  $158.56 / 
9401 /  NASCAR 98 /  $4.47 /  $7.28 /  $14.42 / 
9416 /  NBA Action /  $2.47 /  $8.30 /  $9.99 / 
9418 /  NBA Action 98 /  $7.41 /  $11.80 /  $22.95 / 
9423 /  NBA Jam Extreme /  $6.00 /  $16.46 /  $28.99 / 
9424 /  NBA Jam Tournament Edition /  $14.99 /  $21.18 /  $27.67 / 
13133 /  NBA Live 97 /  $3.77 /  $8.39 /  $13.18 / 
9437 /  NBA Live 98 /  $4.98 /  $9.99 /  $13.28 / 
9455 /  NFL 97 /  $3.77 /  $5.00 /  $19.95 / 
10436 /  NFL Quarterback Club 96 /  $3.54 /  $8.27 /  $13.80 / 
10437 /  NFL Quarterback Club 97 /  $4.03 /  $5.89 /  $16.87 / 
13134 /  NHL 97 /  $2.38 /  $5.62 /  $13.74 / 
9474 /  NHL 98 /  $6.07 /  $16.22 /  $17.17 / 
9476 /  NHL All-Star Hockey /  $2.54 /  $4.69 /  $18.99 / 
9478 /  NHL All-Star Hockey 98 /  $5.96 /  $12.74 /  $17.95 / 
9479 /  NHL Powerplay 96 /  $4.30 /  $9.00 /  $18.00 / 
9445 /  Need for Speed /  $9.93 /  $15.54 /  $41.78 / 
45815 /  Net Link Game Pack /  $19.45 /  $35.00 /  $60.04 / 
9484 /  "Night Warriors Darkstalkers Revenge" /  $21.41 /  $49.99 /  $79.96 / 
9486 /  Nights into Dreams /  $17.94 /  $39.41 /  $89.73 / 
18516 /  Nights into Dreams [3D Control Pad Bundle] /  $49.98 /  $86.99 /  $152.26 / 
9497 /  Norse By Norsewest The Return of the Lost Vikings /  $34.73 /  $67.68 /  $87.66 / 
9499 /  Off-World Interceptor Extreme /  $5.70 /  $12.25 /  $13.14 / 
9500 /  Olympic Soccer /  $14.00 /  $21.77 /  $62.82 / 
9601 /  P.T.O. II /  $9.04 /  $16.27 /  $35.00 / 
9542 /  PGA Tour 97 /  $4.54 /  $6.99 /  $10.27 / 
13135 /  Pandemonium /  $25.97 /  $51.95 /  $81.88 / 
9524 /  Panzer Dragoon /  $34.39 /  $57.50 /  $92.23 / 
9525 /  Panzer Dragoon II Zwei /  $40.99 /  $74.50 /  $124.17 / 
9526 /  Panzer Dragoon Saga /  $355.84 /  $708.50 /  $1336.83 / 
9535 /  Pebble Beach Golf Links /  $6.76 /  $6.80 /  $19.99 / 
9581 /  Powerslave /  $83.14 /  $167.47 /  $191.25 / 
9585 /  Primal Rage /  $30.77 /  $66.45 /  $99.99 / 
9590 /  Pro Pinballs /  $5.92 /  $16.49 /  $16.99 / 
9612 /  Quake /  $29.99 /  $60.00 /  $111.63 / 
9614 /  Quarterback Attack with Mike Ditka /  $6.35 /  $11.51 /  $23.99 / 
9622 /  Rampage World Tour /  $36.14 /  $78.16 /  $80.00 / 
9631 /  Rayman /  $23.38 /  $48.00 /  $49.37 / 
9651 /  Resident Evil /  $48.00 /  $102.50 /  $150.00 / 
9656 /  Revolution X /  $7.00 /  $14.45 /  $22.37 / 
9662 /  Rise 2 Resurrection /  $8.00 /  $11.87 /  $14.99 / 
9665 /  Road Rash /  $16.98 /  $34.25 /  $41.40 / 
9670 /  Robo Pit /  $9.97 /  $19.88 /  $23.43 / 
9675 /  Robotica /  $8.99 /  $15.50 /  $22.50 / 
9685 /  Romance of the Three Kingdoms IV Wall of Fire /  $13.25 /  $23.71 /  $43.14 / 
46406 /  Saturn 3 Pack /  $12.50 /  $28.99 /  $40.00 / 
9695 /  Saturn Bomberman /  $90.63 /  $324.97 /  $541.30 / 
9700 /  Scorcher /  $10.88 /  $22.26 /  $27.44 / 
9701 /  Scud The Disposable Assassin /  $10.06 /  $24.06 /  $39.61 / 
55820 /  Sega Ages /  $117.49 /  $218.33 /  $375.97 / 
9712 /  Sega Rally Championship /  $9.54 /  $23.40 /  $30.93 / 
53894 /  Sega Rally Championship [Net Link Edition] /   /   /   / 
40398 /  Sega Saturn 3D Controller /  $33.00 /  $55.00 /  $96.76 / 
13171 /  Sega Saturn Console /  $70.00 /  $102.63 /  $230.00 / 
33865 /  Sega Saturn Controller /  $14.00 /  $24.60 /  $41.82 / 
13137 /  Sega Touring Car Championship /  $9.10 /  $21.65 /  $37.82 / 
9727 /  Shanghai Triple Threat /  $5.93 /  $8.64 /  $27.46 / 
9730 /  Shellshock /  $8.96 /  $19.97 /  $42.00 / 
9733 /  Shining Force III /  $83.26 /  $160.75 /  $344.89 / 
9736 /  Shining Wisdom /  $60.87 /  $142.00 /  $192.92 / 
9735 /  Shining the Holy Ark /  $50.75 /  $105.42 /  $187.01 / 
9737 /  Shinobi Legions /  $36.88 /  $78.00 /  $142.65 / 
9738 /  Shockwave Assault /  $10.99 /  $17.12 /  $32.06 / 
9750 /  SimCity 2000 /  $7.38 /  $19.13 /  $29.42 / 
9757 /  Skeleton Warriors /  $18.52 /  $40.00 /  $46.49 / 
9759 /  Sky Target /  $16.04 /  $32.39 /  $60.02 / 
13138 /  Slam n Jam 96 /  $6.82 /  $11.30 /  $26.86 / 
9772 /  Solar Eclipse /  $9.99 /  $16.99 /  $32.00 / 
9777 /  Sonic 3D Blast /  $17.38 /  $31.57 /  $76.01 / 
9783 /  Sonic Jam /  $42.99 /  $109.50 /  $126.85 / 
9784 /  Sonic R /  $26.50 /  $73.99 /  $79.99 / 
9799 /  Soviet Strike /  $8.92 /  $15.00 /  $22.38 / 
9801 /  Space Hulk Vengeance of the Blood Angels /  $15.17 /  $22.88 /  $30.13 / 
9802 /  Space Jam /  $12.01 /  $17.64 /  $30.02 / 
13139 /  Spot Goes To Hollywood /  $10.00 /  $28.19 /  $40.00 / 
9841 /  Star Fighter /  $9.68 /  $15.49 /  $23.16 / 
9861 /  Steep Slope Sliders /  $14.91 /  $47.71 /  $49.99 / 
9864 /  Street Fighter Alpha 2 /  $22.71 /  $49.99 /  $84.95 / 
9867 /  "Street Fighter Alpha Warriors Dreams" /  $15.17 /  $29.00 /  $49.39 / 
16202 /  Street Fighter Collection /  $64.74 /  $127.41 /  $232.48 / 
9871 /  Street Fighter The Movie /  $12.99 /  $24.46 /  $67.38 / 
9876 /  Striker 96 /  $6.41 /  $10.23 /  $16.59 / 
33882 /  Stunner Lightgun /  $23.90 /  $43.02 /  $76.38 / 
9895 /  Super Puzzle Fighter II Turbo /  $32.11 /  $62.96 /  $102.76 / 
10026 /  TNN Motorsports Hardcore 4x4 /  $10.98 /  $13.48 /  $35.14 / 
9946 /  Tempest 2000 /  $29.99 /  $51.49 /  $95.97 / 
9947 /  Ten Pin Alley /  $8.35 /  $19.99 /  $25.37 / 
9967 /  Tetris Plus /  $11.01 /  $19.67 /  $27.43 / 
9975 /  The Crow City of Angels /  $23.54 /  $49.99 /  $53.60 / 
9982 /  The Horde /  $14.82 /  $27.01 /  $39.10 / 
9983 /  The House of the Dead /  $129.02 /  $260.42 /  $432.00 / 
9986 /  The Incredible Hulk /  $20.14 /  $46.50 /  $70.00 / 
31307 /  "The King of Fighters 95" /  $10.23 /  $23.21 /  $32.74 / 
31308 /  "The King of Fighters 96" /  $8.00 /  $11.49 /  $25.60 / 
31309 /  "The King of Fighters 97" /  $11.26 /  $16.37 /  $36.03 / 
10005 /  Theme Park /  $10.47 /  $18.99 /  $38.44 / 
10009 /  Three Dirty Dwarves /  $61.72 /  $111.51 /  $129.26 / 
10013 /  Thunderstrike 2 /  $7.92 /  $14.99 /  $22.84 / 
10039 /  Tomb Raider /  $11.02 /  $19.99 /  $56.25 / 
10072 /  True Pinball /  $6.47 /  $24.13 /  $24.27 / 
10073 /  Tunnel B-1 /  $8.39 /  $17.64 /  $17.99 / 
10088 /  Ultimate Mortal Kombat 3 /  $21.86 /  $37.00 /  $116.10 / 
36370 /  VR Golf 97 /  $8.10 /  $10.97 /  $29.78 / 
10130 /  VR Soccer /  $3.99 /  $17.00 /  $21.96 / 
13140 /  Valora Valley Golf /  $17.24 /  $26.21 /  $33.38 / 
10111 /  Virtua Cop /  $6.05 /  $26.07 /  $37.95 / 
10112 /  Virtua Cop 2 /  $15.26 /  $27.34 /  $54.87 / 
10113 /  Virtua Fighter /  $6.64 /  $13.07 /  $17.34 / 
10114 /  Virtua Fighter 2 /  $7.99 /  $14.24 /  $30.00 / 
10117 /  Virtua Fighter Kids /  $11.59 /  $21.55 /  $57.92 / 
10118 /  Virtua Fighter Remix /  $7.99 /  $12.98 /  $23.41 / 
58377 /  Virtua Fighter Remix [Long Box] /   /   /   / 
10119 /  Virtua Racing /  $9.40 /  $22.51 /  $27.99 / 
10126 /  Virtual Casino /  $8.99 /  $19.49 /  $25.55 / 
10127 /  Virtual Hydlide /  $22.53 /  $45.00 /  $93.96 / 
13141 /  Virtual Open Tennis /  $4.22 /  $10.00 /  $17.70 / 
10128 /  Virtual-On Cyber Troopers /  $16.51 /  $36.39 /  $79.95 / 
13803 /  Virtual-On Cyber Troopers [Net Link Edition] /  $26.25 /  $34.33 /  $40.37 / 
10213 /  WWF In Your House /  $9.99 /  $25.94 /  $46.14 / 
10220 /  WWF Wrestlemania The Arcade Game /  $16.13 /  $36.00 /  $38.49 / 
10135 /  Warcraft II The Dark Saga /  $19.21 /  $50.00 /  $51.90 / 
10156 /  "Williams Arcades Greatest Hits" /  $12.02 /  $19.21 /  $25.79 / 
10158 /  Wing Arms /  $7.51 /  $17.62 /  $25.02 / 
10160 /  Winning Post /  $82.20 /  $180.00 /  $262.95 / 
13804 /  Winter Heat /  $17.50 /  $30.53 /  $37.41 / 
10163 /  Wipeout /  $12.50 /  $24.42 /  $24.99 / 
10178 /  World Cup Golf Professional Edition /  $5.86 /  $10.13 /  $24.49 / 
10183 /  World Series Baseball /  $3.75 /  $8.50 /  $23.74 / 
10186 /  World Series Baseball 98 /  $5.62 /  $11.92 /  $25.46 / 
10188 /  World Series Baseball II /  $3.61 /  $8.45 /  $25.62 / 
10199 /  Worldwide Soccer /  $3.50 /  $6.73 /  $15.38 / 
10200 /  Worldwide Soccer 97 /  $7.32 /  $10.15 /  $33.95 / 
31498 /  Worldwide Soccer 98 /  $12.49 /  $17.49 /  $27.19 / 
10201 /  Worms /  $19.99 /  $34.02 /  $85.86 / 
10225 /  X-Men Children of the Atom /  $29.57 /  $59.99 /  $213.29 / 
31306 /  X-Men vs. Street Fighter /  $26.00 /  $44.23 /  $65.50 / 
