16070 //  3D Tetris //  $102.72 //  $159.95 //  $159.99 // 
37289 //  Bound High //  $78.27 //  $127.74 //  $352.22 // 
16071 //  Galactic Pinball //  $24.99 //  $37.24 //  $53.20 // 
16072 //  Golf //  $28.94 //  $47.14 //  $59.95 // 
37419 //  Hyper Fighting [Homebrew] //  $222.97 //  $416.00 //  $1003.37 // 
16073 //  Jack Bros. //  $509.00 //  $778.34 //  $1000.00 // 
14217 //  Mario Clash //  $44.50 //  $96.50 //  $104.99 // 
16074 //  "Marios Tennis" //  $14.99 //  $174.89 //  $287.65 // 
16075 //  "Nesters Funky Bowling" //  $55.50 //  $107.44 //  $160.00 // 
67049 //  Nintendo Virtual Boy AC Adapter //   //   //   // 
16076 //  Panic Bomber //  $41.97 //  $84.50 //  $126.64 // 
16077 //  Red Alarm //  $23.72 //  $38.07 //  $51.00 // 
63971 //  Red Alarm [Not for Resale] //  $52.50 //   //   // 
50176 //  SD Gundam Dimension Wars [Homebrew] //  $54.55 //  $119.99 //  $239.98 // 
14346 //  Teleroboxer //  $29.74 //  $47.10 //  $61.45 // 
16078 //  Vertical Force //  $40.60 //  $56.37 //  $112.73 // 
19445 //  Virtual Bowling //  $75.00 //  $1299.99 //   // 
20121 //  Virtual Boy System //  $172.43 //  $398.00 //  $448.08 // 
16079 //  Virtual League Baseball //  $14.77 //  $24.74 //  $24.88 // 
14198 //  Wario Land //  $40.63 //  $87.49 //  $136.10 // 
65270 //  Wario Land [Not For Resale] //   //   //   // 
16080 //  Waterworld //  $142.19 //  $295.00 //  $376.78 // 
