16070 //  3D Tetris //  $82.49 //  $159.95 //  $160.68 // 
37289 //  Bound High //  $78.27 //  $147.30 //  $352.22 // 
16071 //  Galactic Pinball //  $18.99 //  $34.97 //  $60.18 // 
16072 //  Golf //  $18.07 //  $45.80 //  $69.99 // 
37419 //  Hyper Fighting [Homebrew] //  $249.99 //  $482.82 //  $1124.96 // 
16073 //  Jack Bros. //  $413.36 //  $624.27 //  $1000.00 // 
14217 //  Mario Clash //  $34.53 //  $79.99 //  $115.00 // 
16074 //  "Marios Tennis" //  $12.34 //  $149.99 //  $292.00 // 
16075 //  "Nesters Funky Bowling" //  $58.15 //  $119.99 //  $178.11 // 
67049 //  Nintendo Virtual Boy AC Adapter //   //   //   // 
16076 //  Panic Bomber //  $31.42 //  $58.25 //  $106.09 // 
16077 //  Red Alarm //  $17.00 //  $37.57 //  $64.21 // 
63971 //  Red Alarm [Not for Resale] //  $52.50 //   //   // 
50176 //  SD Gundam Dimension Wars [Homebrew] //  $54.55 //  $119.99 //  $239.98 // 
14346 //  Teleroboxer //  $22.50 //  $42.59 //  $55.00 // 
16078 //  Vertical Force //  $29.10 //  $67.13 //  $96.60 // 
19445 //  Virtual Bowling //  $129.99 //  $1299.99 //   // 
20121 //  Virtual Boy System //  $130.63 //  $249.52 //  $398.00 // 
16079 //  Virtual League Baseball //  $13.32 //  $17.25 //  $18.29 // 
14198 //  Wario Land //  $26.35 //  $55.52 //  $118.72 // 
65270 //  Wario Land [Not For Resale] //   //   //   // 
16080 //  Waterworld //  $143.59 //  $270.00 //  $305.00 // 
