13087 //  After Burner //  $33.62 //  $55.91 //  $84.29 // 
16291 //  BC Racers //  $26.00 //  $55.43 //  $95.00 // 
15032 //  Blackthorne //  $109.81 //  $171.00 //  $288.28 // 
34067 //  Brutal: Above the Claw //  $28.00 //  $55.00 //  $101.29 // 
17612 //  Corpse Killer //  $14.59 //  $29.99 //  $29.99 // 
13734 //  Cosmic Carnage //  $10.04 //  $16.02 //  $31.79 // 
21589 //  DarXide //  $34.99 //  $40.30 //  $40.30 // 
13089 //  Doom //  $9.98 //  $21.89 //  $45.95 // 
34068 //  Fahrenheit //  $15.61 //  $33.50 //  $50.03 // 
34069 //  Golf Magazine Presents 36 Great Holes Starring Fred Couples //  $7.77 //  $11.95 //  $23.32 // 
16290 //  Knuckles Chaotix //  $65.15 //  $127.75 //  $225.00 // 
16413 //  Kolibri //  $75.29 //  $148.21 //  $183.07 // 
14170 //  Metal Head //  $10.15 //  $22.27 //  $44.54 // 
13091 //  Mortal Kombat II //  $22.62 //  $41.98 //  $110.85 // 
14832 //  Motocross Championship //  $7.44 //  $14.00 //  $31.99 // 
18486 //  NBA Jam Tournament Edition //  $24.97 //  $34.95 //  $58.51 // 
34070 //  NFL Quarterback Club //  $9.47 //  $16.50 //  $29.99 // 
18612 //  Night Trap //  $55.12 //  $75.37 //  $77.54 // 
34071 //  Pitfall Mayan Adventure //  $137.85 //  $242.50 //  $305.00 // 
13090 //  Primal Rage //  $34.69 //  $71.07 //  $113.04 // 
34072 //  RBI Baseball 95 //  $29.09 //  $50.00 //  $74.96 // 
11961 //  Sega 32X Unit //  $99.83 //  $183.86 //  $234.28 // 
18484 //  Shadow Squadron //  $18.85 //  $27.11 //  $45.30 // 
31009 //  Slam City //  $27.79 //  $36.28 //  $47.51 // 
16292 //  Space Harrier //  $32.76 //  $54.95 //  $77.43 // 
13693 //  Spiderman Web of Fire //  $215.81 //  $675.00 //  $759.75 // 
19832 //  Star Trek: Starfleet Academy //  $21.51 //  $44.67 //  $134.89 // 
13088 //  Star Wars Arcade //  $11.59 //  $19.00 //  $51.41 // 
18587 //  Supreme Warrior //  $20.99 //  $36.55 //  $59.99 // 
18485 //  T-Mek //  $44.66 //  $58.13 //  $100.54 // 
18640 //  Tempo //  $44.50 //  $69.81 //  $102.30 // 
34074 //  Toughman Contest //  $17.81 //  $29.54 //  $35.22 // 
13725 //  Virtua Fighter //  $11.87 //  $29.15 //  $30.48 // 
13735 //  Virtua Racing Deluxe //  $12.70 //  $18.48 //  $39.95 // 
34075 //  WWF Raw //  $26.44 //  $37.04 //  $117.46 // 
34076 //  WWF Wrestlemania: Arcade Game //  $53.86 //  $89.99 //  $90.00 // 
31932 //  World Series Baseball //  $85.97 //  $184.97 //  $202.51 // 
18492 //  Zaxxon Motherbase 2000 //  $22.99 //  $56.89 //  $60.02 // 
