37292 /  1-2 Switch /  $30.01 /  $30.31 /  $34.84 / 
37756 /  Cars 3 Driven to Win /  $14.93 /  $15.00 /  $20.38 / 
40387 /  Cartoon Network Battle Crashers /  $12.48 /  $14.18 /  $16.99 / 
52133 /  Cat Quest /  $20.88 /  $24.01 /  $28.97 / 
37802 /  Cave Story+ /  $14.57 /  $17.99 /  $22.74 / 
65267 /  Celeste /  $48.28 /  $50.39 /  $54.23 / 
66538 /  "Celeste [Collectors Edition]" /  $133.33 /  $153.85 /  $180.11 / 
55807 /  Child of Light Ultimate Edition + Valiant Hearts: The Great War /  $26.66 /  $30.00 /  $39.99 / 
66670 /  Children of Morta /  $34.55 /  $34.99 /  $37.50 / 
62433 /  Cities Skylines /  $27.83 /  $32.00 /  $38.95 / 
53764 /  Civilization VI /  $21.36 /  $23.68 /  $27.99 / 
65615 /  Close to the Sun /  $19.99 /  $22.99 /  $27.95 / 
47107 /  Code of Princess EX /  $27.18 /  $27.27 /  $30.83 / 
62385 /  Collection of Mana /  $24.38 /  $28.01 /  $30.96 / 
62493 /  Constructor Plus /  $13.33 /  $15.02 /  $19.99 / 
63778 /  Contra Rogue Corps /  $24.16 /  $27.97 /  $31.99 / 
54397 /  Cosmic Star Heroine /  $31.33 /  $39.25 /  $50.28 / 
47057 /  Crash Bandicoot N. Sane Trilogy /  $20.89 /  $22.97 /  $26.55 / 
53883 /  Crash Bandicoot N. Sane Trilogy [Controller Bundle] /  $34.44 /  $45.00 /  $54.95 / 
59597 /  Crash Team Racing: Nitro Fueled /  $26.75 /  $26.98 /  $31.97 / 
52167 /  Crayola Scoot /  $12.61 /  $12.62 /  $14.50 / 
58593 /  Crystal Crisis [Launch Edition] /  $26.84 /  $28.13 /  $31.99 / 
58430 /  Cytus Alpha /  $27.29 /  $31.38 /  $34.99 / 
63646 /  Daemon X Machina /  $39.46 /  $43.99 /  $45.11 / 
58181 /  Danmaku Unlimited 3 /  $37.80 /  $43.27 /  $54.82 / 
52660 /  Dark Souls Remastered /  $27.49 /  $28.15 /  $32.81 / 
