4193 /  007 Racing /  $4.07 /  $6.27 /  $18.93 / 
62532 /  "Army Men Air Attack [Collectors Edition]" /   /   /   / 
49704 /  Army Men Air Attack [Greatest Hits] /  $5.33 /  $8.00 /  $29.95 / 
4222 /  Army Men Gold /  $15.00 /  $23.99 /  $64.44 / 
12617 /  Army Men Green Rogue /  $4.62 /  $8.00 /  $21.32 / 
4228 /  "Army Men Sarges Heroes" /  $6.45 /  $8.97 /  $37.06 / 
12093 /  "Army Men Sarges Heroes 2" /  $6.48 /  $7.52 /  $25.95 / 
62531 /  "Army Men Sarges Heroes [Collectors Edition]" /  $9.33 /  $13.99 /  $36.37 / 
4224 /  Army Men World War /  $5.46 /  $8.09 /  $30.24 / 
4225 /  Army Men World War Final Front /  $6.45 /  $11.00 /  $30.00 / 
4226 /  Army Men World War Land Sea Air /  $5.75 /  $8.12 /  $38.29 / 
4227 /  Army Men World War Team Assault /  $4.70 /  $6.49 /  $18.05 / 
12618 /  Arthur Ready to Race /  $4.28 /  $5.99 /  $13.96 / 
12619 /  Assault Retribution /  $5.18 /  $9.49 /  $20.92 / 
4229 /  Assault Rigs /  $6.88 /  $10.50 /  $53.62 / 
38414 /  Assault Rigs [Long Box] /  $11.99 /  $16.59 /  $120.00 / 
4230 /  Asteroids /  $3.79 /  $5.00 /  $11.49 / 
37618 /  Asteroids [Greatest Hits] /  $2.89 /  $4.96 /  $11.57 / 
4231 /  Atari Anniversary Redux /  $2.88 /  $4.59 /  $10.87 / 
4233 /  Atlantis The Lost Empire /  $8.37 /  $10.97 /  $22.85 / 
12621 /  Austin Powers Pinball /  $3.41 /  $4.36 /  $6.37 / 
4236 /  Auto Destruct /  $7.21 /  $11.12 /  $27.75 / 
12658 /  Azure Dreams /  $39.68 /  $46.74 /  $124.99 / 
12659 /  BRAHMA Force the Assault on Beltlogger 9 /  $4.99 /  $8.61 /  $19.95 / 
4237 /  Backstreet Billiards /  $7.41 /  $11.12 /  $19.57 / 
12660 /  Backyard Soccer /  $2.99 /  $5.39 /  $10.75 / 
12661 /  Baldies /  $5.37 /  $8.26 /  $10.84 / 
12662 /  Ball Breakers /  $2.09 /  $4.50 /  $5.81 / 
12663 /  Ballblazer Champions /  $3.99 /  $5.51 /  $9.81 / 
4238 /  Ballerburg Castle Chaos /  $4.79 /  $6.51 /  $9.49 / 
12664 /  Ballistic /  $4.65 /  $6.98 /  $13.59 / 
12665 /  Barbie Explorer /  $6.06 /  $8.99 /  $25.78 / 
4239 /  Barbie Gotta Have Games /  $4.06 /  $5.39 /  $8.00 / 
4240 /  Barbie Race and Ride /  $4.38 /  $4.39 /  $12.49 / 
4241 /  Barbie Super Sports /  $3.59 /  $5.26 /  $9.09 / 
19220 /  Bases Loaded 96: Double Header /  $5.79 /  $9.41 /  $26.00 / 
4242 /  Bass Championship /  $3.99 /  $5.99 /  $12.99 / 
4243 /  Bass Landing /  $9.94 /  $10.21 /  $37.29 / 
12666 /  Bass Rise /  $4.29 /  $6.34 /  $10.09 / 
4245 /  Batman Beyond /  $7.15 /  $14.32 /  $38.60 / 
4246 /  Batman Forever Arcade /  $51.48 /  $100.69 /  $221.97 / 
4247 /  Batman Gotham City Racer /  $10.13 /  $20.00 /  $48.35 / 
4244 /  Batman and Robin /  $13.54 /  $17.13 /  $70.03 / 
4248 /  Battle Arena Toshinden /  $4.97 /  $10.00 /  $66.56 / 
4249 /  Battle Arena Toshinden 2 /  $8.25 /  $12.99 /  $105.90 / 
38418 /  Battle Arena Toshinden 2 [Long Box] /  $15.04 /  $18.36 /  $693.02 / 
4250 /  Battle Arena Toshinden 3 /  $9.30 /  $18.49 /  $96.40 / 
37619 /  Battle Arena Toshinden [Greatest Hits] /  $5.00 /  $11.28 /  $20.00 / 
38417 /  Battle Arena Toshinden [Long Box] /  $9.99 /  $12.55 /  $174.21 / 
63132 /  Battle Arena Toshinden [Not for Resale] /   /   /   / 
4251 /  Battle Hunter /  $8.25 /  $13.15 /  $20.26 / 
12667 /  Battle Stations /  $3.13 /  $5.61 /  $9.44 / 
34013 /  Battlesport /  $7.73 /  $18.99 /  $39.89 / 
4252 /  Battletanx Global Assault /  $4.40 /  $7.04 /  $13.97 / 
4253 /  Bear in the Big Blue House /  $4.13 /  $6.39 /  $10.32 / 
4254 /  Beast Wars Transformers /  $7.73 /  $15.98 /  $49.30 / 
12668 /  Beyblade Let It Rip /  $3.28 /  $3.92 /  $8.63 / 
4255 /  Beyond the Beyond /  $15.13 /  $25.61 /  $118.36 / 
13963 /  Big Air /  $2.84 /  $4.94 /  $6.30 / 
4256 /  Big Bass Fishing /  $3.75 /  $4.36 /  $8.35 / 
4257 /  Big Bass World Championship /  $3.09 /  $5.74 /  $14.99 / 
4258 /  Big Game Hunter Ultimate Challenge /  $3.31 /  $4.15 /  $8.50 / 
14348 /  Big League Slugger Baseball /  $4.04 /  $5.72 /  $10.85 / 
4259 /  "Big Ol Bass" /  $8.49 /  $9.99 /  $19.35 / 
14396 /  "Big Ol Bass 2" /  $7.95 /  $9.99 /  $31.80 / 
49713 /  "Big Ol Bass [Greatest Hits]" /   /   /   / 
12669 /  Big Strike Bowling /  $3.16 /  $4.49 /  $8.75 / 
4260 /  Billiards /  $3.46 /  $4.32 /  $9.25 / 
12670 /  Biofreaks /  $6.10 /  $7.41 /  $18.40 / 
12671 /  Black Bass/Blue Marlin /  $3.64 /  $7.20 /  $18.72 / 
12672 /  Black Dawn /  $4.69 /  $6.98 /  $23.60 / 
4261 /  Blade /  $7.95 /  $12.02 /  $23.48 / 
4262 /  Blast Chamber /  $6.59 /  $9.13 /  $26.27 / 
12673 /  Blast Lacrosse /  $6.97 /  $11.07 /  $28.78 / 
12674 /  Blast Radius /  $4.11 /  $6.64 /  $8.75 / 
12675 /  Blaster Master Blasting Again /  $5.01 /  $9.20 /  $19.50 / 
12676 /  Blasto /  $10.33 /  $16.99 /  $59.98 / 
4263 /  Blazing Dragons /  $8.70 /  $15.15 /  $37.67 / 
