4193 /  007 Racing /  $4.07 /  $6.27 /  $18.93 / 
4371 /  Die Hard Trilogy /  $5.78 /  $8.31 /  $22.47 / 
4372 /  Die Hard Trilogy 2 /  $5.48 /  $11.28 /  $22.67 / 
37626 /  Die Hard Trilogy [Greatest Hits] /  $5.30 /  $7.82 /  $28.05 / 
4373 /  Digimon Digital Card Battle /  $13.99 /  $20.91 /  $42.69 / 
4374 /  Digimon Rumble Arena /  $8.00 /  $15.00 /  $47.49 / 
37627 /  Digimon Rumble Arena [Greatest Hits] /  $10.42 /  $15.63 /  $41.69 / 
4375 /  Digimon World /  $14.09 /  $27.49 /  $140.32 / 
4376 /  Digimon World 2 /  $21.33 /  $31.98 /  $92.97 / 
4377 /  Digimon World 3 /  $15.05 /  $24.76 /  $97.49 / 
37594 /  Digimon World 3 [Greatest Hits] /  $16.42 /  $24.50 /  $65.69 / 
37592 /  Digimon World [Greatest Hits] /  $18.81 /  $31.48 /  $79.10 / 
4378 /  Dino Crisis /  $13.42 /  $20.51 /  $72.43 / 
4379 /  Dino Crisis 2 /  $19.77 /  $36.24 /  $117.38 / 
37628 /  Dino Crisis [Greatest Hits] /  $15.53 /  $23.30 /  $149.99 / 
4380 /  Dirt Jockey Heavy Equipment Operator /  $4.00 /  $4.00 /  $14.79 / 
14018 /  DiscWorld /  $24.04 /  $27.61 /  $159.59 / 
14019 /  DiscWorld II Mortality Bytes /  $20.97 /  $22.56 /  $59.12 / 
38433 /  DiscWorld [Long Box] /  $27.50 /  $39.75 /  $110.00 / 
35966 /  "Disney Action Games Collectors Edition" /  $15.29 /  $19.99 /  $31.84 / 
4382 /  "Disneys Collectors Edition" /  $18.16 /  $28.29 /  $62.74 / 
4383 /  "Disneys Dinosaur" /  $3.96 /  $5.82 /  $13.64 / 
4385 /  "Disneys Goofys Fun House" /  $5.34 /  $6.59 /  $26.00 / 
4386 /  "Disneys Story Studio Mulan" /  $3.67 /  $5.11 /  $15.85 / 
4387 /  Disruptor /  $13.72 /  $23.98 /  $90.00 / 
10894 /  Donald Duck Going Quackers /  $9.12 /  $12.99 /  $33.17 / 
37629 /  Doom /  $17.95 /  $24.37 /  $41.91 / 
4388 /  Doom [Black Label] /  $18.51 /  $26.45 /  $179.99 / 
38434 /  Doom [Long Box] /  $20.90 /  $39.95 /  $90.50 / 
10895 /  Dora the Explorer Barnyard Buddies /  $3.81 /  $4.00 /  $8.47 / 
4389 /  Dracula The Resurrection /  $9.28 /  $10.45 /  $24.99 / 
12713 /  Dracula the Last Sanctuary /  $8.05 /  $11.06 /  $24.95 / 
4390 /  Dragon Ball GT Final Bout /  $9.13 /  $28.11 /  $33.58 / 
14352 /  Dragon Ball GT Final Bout [Atari] /  $9.43 /  $15.84 /  $36.45 / 
12714 /  Dragon Ball Z Ultimate Battle 22 /  $4.26 /  $5.88 /  $10.99 / 
49712 /  Dragon Ball Z Ultimate Battle 22 [Greatest Hits] /  $0.31 /  $0.48 /  $1.25 / 
4391 /  Dragon Seeds /  $25.89 /  $43.75 /  $99.99 / 
4392 /  Dragon Tales Dragon Seek /  $3.88 /  $5.93 /  $8.99 / 
4393 /  Dragon Valor /  $16.55 /  $39.18 /  $83.22 / 
4394 /  Dragon Warrior 7 /  $27.91 /  $35.48 /  $99.99 / 
12715 /  Dragonheart Fire & Steel /  $5.09 /  $14.57 /  $38.55 / 
4395 /  Driver /  $4.88 /  $8.09 /  $25.12 / 
13749 /  Driver 1 and 2 Compilation /  $12.15 /  $16.10 /  $42.50 / 
7314 /  Driver 2 /  $5.32 /  $9.22 /  $23.98 / 
45711 /  Driver 2 [Greatest Hits] /  $5.61 /  $7.76 /  $22.44 / 
37768 /  Driver [Greatest Hits] /  $6.31 /  $8.89 /  $25.98 / 
4396 /  Ducati World Racing Challenge /  $3.74 /  $4.99 /  $14.96 / 
7315 /  Duke Nukem Land of the Babes /  $13.21 /  $21.96 /  $42.98 / 
4397 /  Duke Nukem Time to Kill /  $6.47 /  $8.88 /  $26.83 / 
37630 /  Duke Nukem Time to Kill [Greatest Hits] /  $5.60 /  $7.99 /  $29.93 / 
4398 /  Duke Nukem Total Meltdown /  $9.72 /  $14.57 /  $54.51 / 
4399 /  Dukes of Hazzard II Daisy Dukes It Out /  $5.28 /  $7.06 /  $21.42 / 
4400 /  Dukes of Hazzard Racing for Home /  $4.54 /  $8.49 /  $27.23 / 
49742 /  Dukes of Hazzard Racing for Home [Greatest Hits] /  $4.98 /  $7.85 /  $20.24 / 
4401 /  Dune 2000 /  $9.80 /  $16.00 /  $37.74 / 
4402 /  Dynasty Warriors /  $9.13 /  $17.36 /  $71.37 / 
35967 /  "EA Action Collectors Edition" /  $9.09 /  $14.00 /  $36.39 / 
12716 /  "EA Racing Pack Collectors Edition" /  $15.42 /  $17.03 /  $17.04 / 
18596 /  EA Sports Pack /  $5.99 /  $7.55 /  $13.87 / 
4406 /  ECW Anarchy Rulz /  $9.47 /  $15.74 /  $42.23 / 
12717 /  ECW Hardcore Revolution /  $3.97 /  $5.98 /  $17.17 / 
35447 /  ESPN Extreme Games /  $7.00 /  $9.95 /  $64.91 / 
38435 /  ESPN Extreme Games [Long Box] /  $12.17 /  $14.10 /  $48.69 / 
4414 /  ESPN MLS GameNight /  $8.00 /  $22.35 /  $24.52 / 
12719 /  ESPN X Games Pro Boarder /  $4.14 /  $4.51 /  $7.72 / 
12586 /  ET the Extra Terrestrial: Interplanetary Mission /  $4.87 /  $6.89 /  $13.79 / 
4403 /  Eagle One Harrier Attack /  $5.00 /  $8.47 /  $24.00 / 
4404 /  "Easter Bunnys Big Day" /  $9.23 /  $16.63 /  $24.99 / 
4405 /  Echo Night /  $19.95 /  $44.00 /  $90.00 / 
4407 /  Eggs of Steel /  $16.49 /  $36.41 /  $98.35 / 
4408 /  Ehrgeiz /  $21.01 /  $35.39 /  $127.18 / 
12720 /  Einhander /  $54.45 /  $94.99 /  $249.53 / 
4409 /  Elemental Gearbolt /  $55.50 /  $119.57 /  $170.00 / 
32461 /  Elemental Gearbolt Assassin Case /  $2136.00 /  $2203.68 /   / 
12721 /  Eliminator /  $5.00 /  $7.61 /  $11.89 / 
4410 /  "Elmos Letter Adventure" /  $4.61 /  $6.89 /  $15.87 / 
4411 /  "Elmos Number Journey" /  $4.23 /  $6.99 /  $13.63 / 
4412 /  "Emperors New Groove" /  $6.90 /  $9.50 /  $17.99 / 
12722 /  Epidemic /  $4.83 /  $11.99 /  $24.99 / 
4413 /  Equestrian Showcase /  $4.21 /  $5.76 /  $16.77 / 
12723 /  Eternal Eyes /  $8.27 /  $8.94 /  $24.78 / 
4415 /  Evil Dead Hail to the King /  $12.50 /  $19.99 /  $52.46 / 
12583 /  Evil Zone /  $9.00 /  $17.49 /  $46.01 / 
4416 /  Excalibur 2555 AD /  $5.62 /  $9.71 /  $29.94 / 
12724 /  Expendable /  $7.23 /  $12.80 /  $34.99 / 
12725 /  Extreme Go-Kart Racing /  $5.09 /  $7.94 /  $15.99 / 
12726 /  Extreme Pinball /  $3.39 /  $5.09 /  $16.30 / 
38529 /  Extreme Pinball [Long Box] /  $9.35 /  $11.03 /  $37.41 / 
4418 /  F1 2000 /  $4.47 /  $7.90 /  $21.97 / 
12727 /  F1 Championship Season 2000 /  $3.59 /  $5.00 /  $10.08 / 
12728 /  F1 Racing Championship /  $5.53 /  $19.36 /  $22.50 / 
40543 /  F1 World Grand Prix /  $7.72 /  $23.62 /  $40.00 / 
14222 /  F1 World Grand Prix 1999 /  $6.01 /  $7.68 /  $16.87 / 
4423 /  FIFA 2000 /  $3.99 /  $7.27 /  $22.35 / 
4424 /  FIFA 2001 /  $5.20 /  $5.59 /  $12.52 / 
4425 /  FIFA 2002 /  $4.47 /  $7.48 /  $18.79 / 
20104 /  FIFA 2002 World Cup /  $8.18 /  $12.90 /  $26.05 / 
4426 /  FIFA 2003 /  $3.96 /  $7.67 /  $12.72 / 
4427 /  FIFA 2004 /  $4.96 /  $4.99 /  $7.92 / 
4428 /  FIFA 2005 /  $10.04 /  $19.50 /  $28.08 / 
4429 /  FIFA 96 /  $5.87 /  $11.97 /  $31.12 / 
38437 /  FIFA 96 [Long Box] /  $12.49 /  $16.27 /  $109.99 / 
4430 /  FIFA 99 /  $4.24 /  $6.29 /  $17.90 / 
4431 /  FIFA Road to World Cup 98 /  $8.32 /  $12.51 /  $27.99 / 
18642 /  FIFA Soccer 97 /  $5.31 /  $9.99 /  $35.40 / 
12731 /  Fade to Black /  $4.94 /  $8.21 /  $26.31 / 
38436 /  Fade to Black [Long Box] /  $20.56 /  $20.87 /  $82.24 / 
12624 /  Family Card Games Fun Pack /  $3.13 /  $3.37 /  $5.76 / 
12623 /  Family Feud /  $5.35 /  $5.85 /  $14.88 / 
12622 /  Family Game Pack /  $4.76 /  $4.88 /  $10.50 / 
4419 /  Fantastic 4 /  $10.59 /  $13.43 /  $83.75 / 
4420 /  Fatal Fury Wild Ambition /  $17.52 /  $25.99 /  $66.27 / 
4421 /  Fear Effect /  $9.25 /  $16.47 /  $56.50 / 
4422 /  Fear Effect 2 Retro Helix /  $21.30 /  $30.45 /  $79.92 / 
12625 /  Felony 11-79 /  $6.29 /  $11.75 /  $46.72 / 
4432 /  Fighter Maker /  $6.29 /  $11.08 /  $11.17 / 
4433 /  Fighting Force /  $7.74 /  $12.55 /  $33.19 / 
4434 /  Fighting Force 2 /  $6.67 /  $9.89 /  $30.98 / 
37631 /  Fighting Force [Greatest Hits] /  $8.99 /  $12.87 /  $33.56 / 
4435 /  Final Doom /  $17.63 /  $26.55 /  $94.86 / 
4438 /  Final Fantasy Anthology /  $7.32 /  $12.02 /  $12.47 / 
37635 /  Final Fantasy Anthology [Greatest Hits] /  $7.99 /  $10.49 /  $13.50 / 
4439 /  Final Fantasy Chronicles /  $10.36 /  $15.99 /  $16.04 / 
37636 /  Final Fantasy Chronicles [Greatest Hits] /  $11.38 /  $14.25 /  $19.62 / 
4437 /  Final Fantasy IX /  $8.32 /  $12.77 /  $28.56 / 
37634 /  Final Fantasy IX [Greatest Hits] /  $7.27 /  $10.93 /  $16.34 / 
4440 /  Final Fantasy Origins /  $8.16 /  $12.27 /  $19.06 / 
37637 /  Final Fantasy Origins [Greatest Hits] /  $10.07 /  $11.96 /  $14.74 / 
4441 /  Final Fantasy Tactics /  $10.29 /  $22.99 /  $49.99 / 
37638 /  Final Fantasy Tactics [Greatest Hits] /  $10.99 /  $14.53 /  $39.53 / 
4442 /  Final Fantasy VII /  $11.65 /  $18.44 /  $199.50 / 
37632 /  Final Fantasy VII [Greatest Hits] /  $11.43 /  $15.56 /  $87.67 / 
4436 /  Final Fantasy VIII /  $8.29 /  $13.88 /  $75.47 / 
37633 /  Final Fantasy VIII [Greatest Hits] /  $5.22 /  $12.02 /  $31.83 / 
12626 /  Final Round /  $3.20 /  $6.25 /  $6.96 / 
4443 /  "Fishermans Bait" /  $5.80 /  $7.29 /  $14.99 / 
4445 /  Floating Runner Quest for the 7 Crystals /  $10.95 /  $25.86 /  $26.56 / 
12628 /  Ford Racing /  $3.09 /  $3.37 /  $7.37 / 
12627 /  Ford Truck Mania /  $3.48 /  $3.99 /  $9.05 / 
14144 /  Formula 1 /  $3.97 /  $6.09 /  $19.15 / 
20098 /  Formula 1 98 /  $4.44 /  $5.23 /  $15.34 / 
15616 /  Formula 1 Championship Edition /  $3.26 /  $7.99 /  $15.90 / 
49714 /  Formula 1 [Greatest Hits] /  $3.53 /  $5.29 /  $13.75 / 
35857 /  Formula One 99 /  $3.99 /  $9.49 /  $13.00 / 
12630 /  Forsaken /  $3.99 /  $6.38 /  $21.90 / 
4446 /  Fox Hunt /  $52.75 /  $127.64 /  $373.75 / 
12730 /  Fox Sports Golf 99 /  $2.93 /  $3.39 /  $8.82 / 
12729 /  Fox Sports Soccer 99 /  $2.56 /  $6.47 /  $15.95 / 
18599 /  Frank Thomas Big Hurt Baseball /  $5.83 /  $7.34 /  $23.01 / 
38439 /  Frank Thomas Big Hurt Baseball [Long Box] /  $5.57 /  $8.35 /  $21.74 / 
16203 /  "Freestyle Boardin 99" /  $2.41 /  $5.22 /  $9.99 / 
4447 /  Freestyle Motorcross McGrath vs. Pastrana /  $2.34 /  $4.13 /  $17.94 / 
4448 /  Frogger /  $4.39 /  $7.17 /  $25.31 / 
4449 /  "Frogger 2 Swampys Revenge" /  $6.27 /  $7.54 /  $23.55 / 
37640 /  "Frogger 2 Swampys Revenge [Greatest Hits]" /  $4.85 /  $4.85 /  $12.40 / 
37639 /  Frogger [Greatest Hits] /  $4.47 /  $7.81 /  $25.26 / 
4450 /  Front Mission 3 /  $10.81 /  $19.43 /  $61.43 / 
4451 /  Future Cop LAPD /  $9.59 /  $16.23 /  $26.20 / 
4452 /  G Darius /  $28.94 /  $51.99 /  $90.48 / 
12631 /  G-Police /  $4.96 /  $10.00 /  $26.00 / 
12632 /  G-Police Weapons of Justice /  $5.71 /  $9.18 /  $23.09 / 
4453 /  Galaga Destination Earth /  $5.58 /  $8.48 /  $21.49 / 
4454 /  Galerians /  $16.63 /  $28.51 /  $64.89 / 
4455 /  Gallop Racer /  $8.35 /  $9.11 /  $33.39 / 
4456 /  Gameshark /  $16.03 /  $24.31 /  $37.48 / 
53706 /  Gameshark Lite /  $11.47 /  $12.75 /  $33.20 / 
4457 /  Gauntlet Legends /  $8.22 /  $11.57 /  $39.91 / 
4458 /  Gekido Urban Fighters /  $9.18 /  $19.78 /  $32.09 / 
12633 /  Gekioh Shooting King /  $18.18 /  $36.00 /  $55.67 / 
4459 /  Geom Cube /  $5.75 /  $7.44 /  $22.57 / 
38440 /  Geom Cube [Long Box] /  $10.24 /  $15.41 /  $40.96 / 
4460 /  Gex /  $6.57 /  $13.77 /  $110.72 / 
4461 /  Gex 3: Deep Cover Gecko /  $7.35 /  $11.49 /  $35.09 / 
4462 /  Gex Enter the Gecko /  $8.00 /  $13.00 /  $55.60 / 
38441 /  Gex [Long Box] /  $18.14 /  $24.99 /  $64.97 / 
4463 /  Ghost in the Shell /  $27.48 /  $52.50 /  $112.04 / 
4464 /  Glover /  $7.86 /  $11.98 /  $21.39 / 
38442 /  Goal Storm /  $8.52 /  $13.13 /  $79.76 / 
4465 /  "Goal Storm 97" /  $13.33 /  $29.64 /  $39.71 / 
4466 /  Gold and Glory The Road to El Dorado /  $5.51 /  $9.58 /  $20.44 / 
12635 /  Golden Nugget /  $3.31 /  $4.97 /  $18.34 / 
4467 /  Golden Tee Golf /  $10.45 /  $12.89 /  $24.22 / 
4468 /  Gran Turismo /  $5.13 /  $8.70 /  $25.01 / 
4469 /  Gran Turismo 2 /  $4.55 /  $8.43 /  $28.90 / 
37642 /  Gran Turismo 2 [Greatest Hits] /  $4.49 /  $8.14 /  $23.59 / 
37641 /  Gran Turismo [Greatest Hits] /  $4.85 /  $7.35 /  $29.26 / 
35759 /  Grand Slam /  $5.55 /  $5.55 /  $22.21 / 
12636 /  Grand Theft Auto /  $6.41 /  $11.48 /  $21.32 / 
63128 /  "Grand Theft Auto (GTA) [Collectors Edition]" /   /   /   / 
4470 /  Grand Theft Auto 2 /  $5.03 /  $9.98 /  $27.76 / 
63127 /  "Grand Theft Auto 2 [Collectors Edition]" /  $23.99 /  $35.99 /  $109.00 / 
37644 /  Grand Theft Auto 2 [Greatest Hits] /  $1.00 /  $5.91 /  $22.50 / 
4471 /  "Grand Theft Auto Collectors Edition" /  $13.00 /  $20.02 /  $67.47 / 
4472 /  "Grand Theft Auto Directors Cut" /  $8.41 /  $13.99 /  $163.76 / 
12637 /  Grand Theft Auto Mission Pack #1 London /  $6.71 /  $8.54 /  $26.79 / 
63126 /  "Grand Theft Auto Mission Pack #1: London 1969 [Collectors Edition]" /  $4.00 /  $6.00 /  $15.60 / 
37643 /  Grand Theft Auto [Greatest Hits] /  $6.99 /  $9.47 /  $26.99 / 
4473 /  Grandia /  $28.89 /  $38.99 /  $138.48 / 
9061 /  Granstream Saga /  $9.66 /  $15.90 /  $39.32 / 
58011 /  Gray Dual Analog Controller /  $41.63 /  $46.32 /  $99.99 / 
10395 /  Gray Dual Shock Controller /  $11.50 /  $17.25 /  $46.00 / 
12638 /  Grid Runner /  $3.69 /  $6.86 /  $16.74 / 
12639 /  Grind Session /  $4.99 /  $6.96 /  $18.10 / 
12640 /  Grudge Warriors /  $3.49 /  $6.07 /  $14.72 / 
4475 /  "Guardians Crusade" /  $13.14 /  $26.75 /  $50.00 / 
4476 /  Gubble /  $3.87 /  $5.88 /  $8.54 / 
12641 /  Guilty Gear /  $26.22 /  $45.50 /  $127.54 / 
4477 /  Gundam Battle Assault /  $10.73 /  $15.50 /  $63.51 / 
4478 /  Gundam Battle Assault 2 /  $10.00 /  $19.56 /  $49.00 / 
4479 /  Gunfighter The Legend of Jesse James /  $5.23 /  $7.56 /  $8.93 / 
32531 /  "Gunners Heaven [Japan]" /  $25.42 /  $43.24 /   / 
4480 /  Gunship /  $4.29 /  $9.61 /  $43.66 / 
38443 /  Gunship [Long Box] /  $5.88 /  $9.49 /  $23.52 / 
4483 /  HBO Boxing /  $4.58 /  $5.47 /  $9.32 / 
18597 /  "HardBall 99" /  $3.84 /  $3.86 /  $12.99 / 
18496 /  HardBall 5 /  $3.70 /  $6.99 /  $14.81 / 
38444 /  HardBall 5 [Long Box] /  $7.80 /  $12.00 /  $31.20 / 
4481 /  Harry Potter Chamber of Secrets /  $5.42 /  $9.94 /  $29.39 / 
4482 /  Harry Potter Sorcerers Stone /  $4.85 /  $7.97 /  $28.47 / 
49715 /  Harry Potter Sorcerers Stone [Greatest Hits] /  $4.63 /  $7.52 /  $18.52 / 
12642 /  Harvest Moon Back to Nature /  $18.37 /  $28.08 /  $98.67 / 
4484 /  Heart of Darkness /  $17.22 /  $23.39 /  $80.67 / 
4485 /  Hellboy Asylum Seeker /  $11.65 /  $17.98 /  $31.31 / 
10586 /  Hello Kitty Cube Frenzy /  $5.08 /  $6.46 /  $15.00 / 
13702 /  "Hercs Adventures" /  $47.99 /  $79.40 /  $162.17 / 
4486 /  Hercules /  $10.95 /  $19.95 /  $53.11 / 
12643 /  Hexen /  $9.54 /  $15.50 /  $32.17 / 
12644 /  Hi Octane /  $7.44 /  $12.99 /  $31.28 / 
38445 /  Hi Octane [Long Box] /  $10.68 /  $14.01 /  $42.72 / 
12645 /  High Heat Baseball 2000 /  $3.90 /  $4.40 /  $7.99 / 
12646 /  High Heat Baseball 2002 /  $3.01 /  $4.29 /  $11.82 / 
12647 /  Hogs of War /  $24.95 /  $44.98 /  $75.47 / 
4487 /  Hooters Road Trip /  $4.88 /  $9.24 /  $16.72 / 
11947 /  Hoshigami Ruining Blue Earth /  $20.30 /  $40.50 /  $81.81 / 
4488 /  Hot Shots Golf /  $5.05 /  $7.62 /  $17.31 / 
4489 /  Hot Shots Golf 2 /  $6.58 /  $9.65 /  $22.95 / 
14562 /  Hot Wheels Extreme Racing /  $5.98 /  $9.19 /  $23.89 / 
4490 /  Hot Wheels Turbo Racing /  $6.96 /  $12.07 /  $29.74 / 
49716 /  Hot Wheels Turbo Racing [Greatest Hits] /  $46.24 /  $52.67 /  $184.96 / 
14304 /  Hugo The Evil Mirror /  $4.66 /  $9.00 /  $17.02 / 
4491 /  Hydro Thunder /  $9.99 /  $12.50 /  $39.00 / 
12648 /  IHRA Drag Racing /  $2.84 /  $4.38 /  $6.70 / 
4501 /  ISS Pro 98 /  $33.70 /  $59.53 /  $63.84 / 
4502 /  ISS Pro Evolution /  $42.10 /  $125.04 /  $128.23 / 
9139 /  Impact Racing /  $5.43 /  $12.35 /  $25.71 / 
4492 /  In Cold Blood /  $5.65 /  $22.54 /  $33.86 / 
4493 /  In the Hunt /  $42.49 /  $89.51 /  $121.84 / 
38446 /  In the Hunt [Long Box] /  $55.00 /  $95.89 /  $248.98 / 
4494 /  Incredible Crisis /  $18.05 /  $25.93 /  $53.76 / 
4495 /  Incredible Hulk The Pantheon Saga /  $6.02 /  $10.75 /  $30.24 / 
12649 /  Independence Day /  $3.77 /  $6.10 /  $18.11 / 
4496 /  Inspector Gadget /  $3.83 /  $7.26 /  $14.30 / 
4497 /  Intelligent Qube /  $27.49 /  $39.93 /  $122.69 / 
65601 /  Interactive CD Sampler Disk Volume 4 /   /   /   / 
58232 /  Interactive Sampler CD Vol 6 /   /   /   / 
66671 /  Interactive Sampler CD Vol 7 /   /   /   / 
12652 /  International Track & Field /  $5.05 /  $9.27 /  $13.54 / 
38447 /  International Track & Field [Long Box] /  $6.50 /  $12.32 /  $25.99 / 
12651 /  International Track and Field 2000 /  $3.98 /  $5.55 /  $10.58 / 
12650 /  Interplay Sports Baseball 2000 /  $4.70 /  $5.59 /  $6.71 / 
4498 /  Inuyasha A Feudal Fairy Tale /  $9.24 /  $13.00 /  $24.95 / 
12653 /  Invasion from Beyond /  $4.02 /  $6.77 /  $14.47 / 
4500 /  Iron Man X-O Manowar in Heavy Metal /  $9.72 /  $10.07 /  $47.04 / 
12654 /  Iron Soldier 3 /  $6.70 /  $14.48 /  $20.57 / 
12655 /  Irritating Stick /  $10.36 /  $19.99 /  $26.50 / 
12906 /  Italian Job /  $3.50 /  $3.98 /  $7.99 / 
4503 /  "Jackie Chans Stunt Master" /  $21.81 /  $47.50 /  $49.93 / 
4504 /  Jade Cocoon Story of the Tamamayu /  $19.92 /  $29.99 /  $111.08 / 
4505 /  Jarret and Labonte Stock Car Racing /  $2.88 /  $4.81 /  $7.87 / 
4506 /  Jeopardy /  $3.09 /  $4.79 /  $8.06 / 
4507 /  Jeopardy 2nd Edition /  $3.58 /  $3.72 /  $8.82 / 
12657 /  Jeremy McGrath Supercross 2000 /  $4.26 /  $5.00 /  $9.09 / 
12656 /  Jeremy McGrath Supercross 98 /  $3.37 /  $3.84 /  $9.99 / 
49717 /  Jeremy McGrath Supercross 98 [Greatest Hits] /  $1.35 /  $2.03 /  $5.24 / 
4508 /  Jersey Devil /  $15.95 /  $35.00 /  $111.35 / 
12732 /  Jet Moto /  $3.99 /  $7.56 /  $25.61 / 
12733 /  Jet Moto 2 /  $4.19 /  $6.44 /  $18.48 / 
45710 /  Jet Moto 2 [Greatest Hits] /  $1.05 /  $7.51 /  $26.99 / 
4509 /  Jet Moto 3 /  $4.96 /  $8.78 /  $31.46 / 
49718 /  Jet Moto [Greatest Hits] /  $4.49 /  $6.42 /  $17.96 / 
4510 /  Jigsaw Madness /  $3.68 /  $5.49 /  $6.95 / 
16386 /  "Jimmy Johnsons VR Football 98" /  $2.20 /  $6.50 /  $8.80 / 
14584 /  "Jimmy Whites 2 Cueball" /  $2.28 /  $2.41 /  $4.95 / 
4511 /  "JoJos Bizarre Adventure" /  $110.00 /  $167.00 /  $237.50 / 
12734 /  Johnny Bazookatone /  $8.58 /  $14.32 /  $35.00 / 
38448 /  Johnny Bazookatone [Long Box] /  $17.16 /  $23.12 /  $68.65 / 
12735 /  Judge Dredd /  $6.47 /  $9.47 /  $19.88 / 
10587 /  Juggernaut /  $15.99 /  $36.36 /  $65.00 / 
4515 /  JumpStart Wildlife Safari /  $3.49 /  $6.74 /  $15.14 / 
4512 /  Jumping Flash /  $19.63 /  $40.00 /  $79.95 / 
4513 /  Jumping Flash 2 /  $15.75 /  $20.99 /  $42.78 / 
38449 /  Jumping Flash [Long Box] /  $29.24 /  $40.38 /  $116.96 / 
4516 /  Jungle Book Rhythm n Groove /  $5.06 /  $7.00 /  $19.99 / 
4517 /  Jupiter Strike /  $6.39 /  $11.50 /  $32.87 / 
38450 /  Jupiter Strike [Long Box] /  $8.82 /  $12.47 /  $34.78 / 
13705 /  K-1 Grand Prix /  $6.30 /  $11.99 /  $30.48 / 
12736 /  K-1 Revenge /  $4.73 /  $5.40 /  $12.50 / 
12737 /  K-1 the Arena Fighters /  $5.35 /  $5.87 /  $25.24 / 
4518 /  Kagero Deception II /  $14.98 /  $23.70 /  $54.03 / 
4520 /  Kartia Word of Fate /  $17.99 /  $41.43 /  $130.14 / 
4521 /  Kensei Sacred Fist /  $15.67 /  $30.00 /  $90.97 / 
12738 /  Kickboxing /  $2.53 /  $5.20 /  $7.30 / 
12739 /  Kileak the DNA Imperative /  $5.43 /  $12.49 /  $20.01 / 
12740 /  Killer Loop /  $3.01 /  $5.97 /  $11.12 / 
12741 /  Killing Zone /  $6.39 /  $11.23 /  $21.87 / 
10745 /  King of Fighters 95 /  $11.01 /  $21.03 /  $84.99 / 
4523 /  King of Fighters 99 /  $7.74 /  $11.24 /  $30.40 / 
4524 /  "Kings Field" /  $23.92 /  $39.99 /  $104.25 / 
4525 /  "Kings Field 2" /  $20.01 /  $28.62 /  $84.05 / 
38451 /  "Kings Field [Long Box]" /  $31.15 /  $47.51 /  $159.98 / 
4526 /  "Kingsleys Adventures" /  $19.99 /  $26.35 /  $51.32 / 
4527 /  Kiss Pinball /  $4.11 /  $5.23 /  $6.19 / 
12742 /  Klonoa Door to Phantomile /  $92.56 /  $188.74 /  $368.78 / 
12743 /  Knockout Kings /  $4.29 /  $5.25 /  $14.99 / 
12744 /  Knockout Kings 2000 /  $3.73 /  $4.74 /  $16.63 / 
4528 /  Knockout Kings 2001 /  $3.38 /  $5.06 /  $13.21 / 
63100 /  Kokumeikan Trap Simulation Game /   /   /   / 
12745 /  Konami Arcade Classics /  $24.64 /  $33.50 /  $66.77 / 
7370 /  Koudelka /  $39.84 /  $74.73 /  $189.35 / 
12746 /  Krazy Ivan /  $8.71 /  $10.27 /  $46.79 / 
38452 /  Krazy Ivan [Long Box] /  $10.07 /  $14.78 /  $117.00 / 
4529 /  "Kurt Warners Arena Football Unleashed" /  $4.98 /  $7.68 /  $12.80 / 
4537 /  LEGO Island 2 /  $5.99 /  $10.24 /  $23.96 / 
10454 /  LEGO Racers /  $6.49 /  $12.44 /  $20.90 / 
4538 /  LEGO Rock Raiders /  $6.40 /  $11.99 /  $21.53 / 
33012 /  LSD: Dream Emulator [Japan] /  $202.51 /  $202.51 /   / 
4530 /  Land Before Time Big Water Adventure /  $4.46 /  $6.26 /  $11.79 / 
4531 /  Land Before Time Great Valley Racing Adventure /  $4.72 /  $4.91 /  $8.25 / 
4532 /  Land Before Time Return to the Great Valley /  $4.50 /  $7.19 /  $12.26 / 
12747 /  Largo Winch /  $3.70 /  $4.17 /  $6.88 / 
12748 /  League of Pain /  $3.89 /  $7.20 /  $11.32 / 
14578 /  "Legacy of Kain Collectors Edition" /  $10.49 /  $17.43 /  $37.77 / 
4533 /  Legacy of Kain Soul Reaver /  $8.72 /  $15.46 /  $45.84 / 
37645 /  Legacy of Kain Soul Reaver [Greatest Hits] /  $9.57 /  $14.35 /  $39.99 / 
4534 /  Legend of Dragoon /  $12.21 /  $21.99 /  $97.59 / 
37684 /  Legend of Dragoon [Greatest Hits] /  $10.46 /  $19.99 /  $70.50 / 
4535 /  Legend of Legaia /  $22.99 /  $30.38 /  $175.58 / 
4536 /  Legend of Mana /  $22.42 /  $38.93 /  $106.97 / 
4539 /  Lemmings 3D /  $8.77 /  $13.11 /  $107.01 / 
38453 /  Lemmings 3D [Long Box] /  $12.00 /  $15.05 /  $291.56 / 
12749 /  Lemmings and Oh No More Lemmings /  $6.97 /  $10.46 /  $46.25 / 
4540 /  Lethal Enforcers 1 and 2 /  $14.99 /  $29.99 /  $51.51 / 
59567 /  Lightspan Adventures /   /   /   / 
4541 /  Lilo and Stitch /  $6.01 /  $9.03 /  $16.49 / 
4827 /  Little Mermaid II /  $7.02 /  $9.99 /  $30.61 / 
12750 /  Loaded /  $9.87 /  $12.31 /  $35.00 / 
37646 /  Loaded [Greatest Hits] /  $9.79 /  $15.99 /  $44.72 / 
38454 /  Loaded [Long Box] /  $9.25 /  $19.99 /  $37.00 / 
