4193 //  007 Racing //  $4.22 //  $4.74 //  $18.93 // 
4858 //  007 Tomorrow Never Dies //  $3.95 //  $5.21 //  $16.50 // 
37615 //  007 Tomorrow Never Dies [Greatest Hits] //  $3.38 //  $5.11 //  $13.50 // 
37616 //  007 World Is Not Enough [Greatest Hits] //  $5.09 //  $6.88 //  $27.99 // 
12903 //  007 World is Not Enough //  $4.16 //  $6.46 //  $24.22 // 
12596 //  "101 Dalmatians II Patchs London Adventure" //  $8.19 //  $9.95 //  $14.06 // 
4194 //  102 Dalmatians Puppies to the Rescue //  $7.27 //  $11.36 //  $51.96 // 
12718 //  1Xtreme //  $5.99 //  $9.25 //  $24.10 // 
12597 //  2Xtreme //  $3.35 //  $5.00 //  $17.75 // 
49699 //  2Xtreme [Greatest Hits] //  $1.97 //  $5.41 //  $7.88 // 
4195 //  3D Baseball //  $4.56 //  $9.46 //  $12.16 // 
12598 //  3Xtreme //  $3.70 //  $6.79 //  $20.41 // 
4196 //  40 Winks //  $8.50 //  $12.42 //  $37.49 // 
4290 //  "A Bugs Life" //  $4.06 //  $5.80 //  $22.67 // 
49710 //  "A Bugs Life [Greatest Hits]" //  $4.85 //  $7.99 //  $19.40 // 
4234 //  A-Train //  $11.52 //  $16.80 //  $40.15 // 
38415 //  A-Train [Long Box] //  $17.60 //  $25.00 //  $229.95 // 
12599 //  ATV Mania //  $3.29 //  $4.93 //  $7.49 // 
14364 //  ATV Quad Power Racing //  $2.66 //  $4.62 //  $7.00 // 
4235 //  ATV Racers //  $3.29 //  $5.33 //  $7.72 // 
12600 //  Ace Combat 2 //  $13.00 //  $18.37 //  $54.10 // 
4197 //  Ace Combat 3 Electrosphere //  $9.64 //  $19.04 //  $38.39 // 
4198 //  Aces of the Air //  $3.48 //  $3.91 //  $10.20 // 
4199 //  Action Bass //  $2.66 //  $3.15 //  $6.67 // 
12601 //  Action Man Operation EXtreme //  $3.08 //  $6.36 //  $12.46 // 
58233 //  Action Replay //   //  $25.00 //   // 
4200 //  Activision Classics //  $4.55 //  $5.45 //  $7.64 // 
49700 //  Activision Classics [Greatest Hits] //  $2.17 //  $4.37 //  $8.82 // 
12602 //  Adidas Power Soccer //  $5.32 //  $10.54 //  $27.40 // 
4201 //  Adidas Power Soccer 98 //  $2.25 //  $10.19 //  $27.75 // 
4202 //  Advanced Dungeons & Dragons Iron and Blood //  $5.81 //  $9.99 //  $28.76 // 
4203 //  Adventures of Lomax //  $65.25 //  $107.99 //  $413.47 // 
12603 //  Agile Warrior F-111X //  $5.11 //  $7.67 //  $30.62 // 
38411 //  Agile Warrior F-111X [Long Box] //  $8.91 //  $8.91 //  $64.99 // 
12604 //  Air Combat //  $4.17 //  $7.04 //  $35.26 // 
49701 //  Air Combat [Greatest Hits] //  $7.33 //  $7.40 //  $12.99 // 
38412 //  Air Combat [Long Box] //  $12.64 //  $14.77 //  $53.05 // 
12605 //  Air Hockey //  $3.72 //  $6.01 //  $8.99 // 
12606 //  Akuji the Heartless //  $4.85 //  $9.99 //  $24.73 // 
4204 //  Aladdin in Nasiras Revenge //  $11.89 //  $13.77 //  $41.38 // 
4205 //  Alexi Lalas International Soccer //  $4.49 //  $5.49 //  $14.52 // 
12607 //  Alien Resurrection //  $11.57 //  $24.15 //  $51.17 // 
8499 //  Alien Trilogy //  $8.98 //  $24.97 //  $49.36 // 
37614 //  Alien Trilogy [Greatest Hits] //  $11.25 //  $15.58 //  $76.38 // 
38413 //  Alien Trilogy [Long Box] //  $14.99 //  $30.00 //  $59.96 // 
12608 //  All-Star Racing //  $3.40 //  $4.99 //  $8.00 // 
12609 //  All-Star Racing 2 //  $3.45 //  $5.44 //  $7.99 // 
13964 //  All-Star Slammin D-Ball //  $3.03 //  $6.35 //  $8.84 // 
32813 //  All-star Baseball 97 //  $5.58 //  $9.46 //  $23.17 // 
4206 //  Allied General //  $8.74 //  $12.48 //  $32.72 // 
4207 //  "Alone In The Dark One Eyed Jacks Revenge" //  $13.33 //  $23.25 //  $71.01 // 
4208 //  Alone In The Dark The New Nightmare //  $11.29 //  $19.63 //  $46.48 // 
4209 //  Alundra //  $31.29 //  $93.24 //  $174.54 // 
4210 //  Alundra 2 //  $10.15 //  $18.63 //  $40.50 // 
4211 //  Amazing Virtual Sea-Monkeys //  $3.41 //  $4.54 //  $9.57 // 
4212 //  American Pool //  $3.29 //  $6.47 //  $7.85 // 
46422 //  Analog Joystick Flightstick Controller //  $51.17 //  $53.77 //  $139.80 // 
12610 //  Andretti Racing //  $3.19 //  $5.60 //  $11.00 // 
49702 //  Andretti Racing [Greatest Hits] //  $3.25 //  $6.99 //  $12.99 // 
4213 //  Animaniacs Ten Pin Alley //  $5.09 //  $7.47 //  $26.62 // 
12612 //  Animorphs Shattered Reality //  $3.95 //  $9.67 //  $22.18 // 
4214 //  Ape Escape //  $11.68 //  $26.33 //  $50.40 // 
37617 //  Ape Escape [Greatest Hits] //  $8.50 //  $19.99 //  $51.93 // 
4215 //  Apocalypse //  $7.23 //  $12.57 //  $33.82 // 
