4193 //  007 Racing //  $4.37 //  $6.57 //  $18.93 // 
62532 //  "Army Men Air Attack [Collectors Edition]" //   //   //   // 
49704 //  Army Men Air Attack [Greatest Hits] //  $5.33 //  $8.00 //  $29.95 // 
4222 //  Army Men Gold //  $15.00 //  $22.95 //  $60.00 // 
12617 //  Army Men Green Rogue //  $4.77 //  $8.21 //  $21.35 // 
4228 //  "Army Men Sarges Heroes" //  $6.41 //  $8.70 //  $37.02 // 
12093 //  "Army Men Sarges Heroes 2" //  $6.48 //  $8.01 //  $25.81 // 
62531 //  "Army Men Sarges Heroes [Collectors Edition]" //  $9.33 //  $13.99 //  $36.37 // 
4224 //  Army Men World War //  $5.79 //  $8.68 //  $30.79 // 
4225 //  Army Men World War Final Front //  $6.90 //  $10.00 //  $28.48 // 
4226 //  Army Men World War Land Sea Air //  $5.81 //  $7.09 //  $35.38 // 
4227 //  Army Men World War Team Assault //  $4.59 //  $6.21 //  $20.09 // 
12618 //  Arthur Ready to Race //  $4.28 //  $5.88 //  $15.32 // 
12619 //  Assault Retribution //  $5.10 //  $9.23 //  $20.83 // 
4229 //  Assault Rigs //  $8.07 //  $9.65 //  $53.64 // 
38414 //  Assault Rigs [Long Box] //  $11.99 //  $15.38 //  $120.00 // 
4230 //  Asteroids //  $3.79 //  $5.99 //  $10.53 // 
37618 //  Asteroids [Greatest Hits] //  $2.89 //  $4.55 //  $11.57 // 
4231 //  Atari Anniversary Redux //  $3.57 //  $4.50 //  $11.54 // 
4233 //  Atlantis The Lost Empire //  $7.91 //  $13.63 //  $23.81 // 
12621 //  Austin Powers Pinball //  $3.41 //  $5.41 //  $6.36 // 
4236 //  Auto Destruct //  $7.18 //  $9.99 //  $27.20 // 
12658 //  Azure Dreams //  $37.37 //  $49.99 //  $113.76 // 
12659 //  BRAHMA Force the Assault on Beltlogger 9 //  $4.99 //  $8.16 //  $19.73 // 
4237 //  Backstreet Billiards //  $7.36 //  $9.72 //  $19.15 // 
12660 //  Backyard Soccer //  $3.16 //  $4.42 //  $9.38 // 
12661 //  Baldies //  $5.27 //  $8.13 //  $12.33 // 
12662 //  Ball Breakers //  $2.76 //  $4.88 //  $7.00 // 
12663 //  Ballblazer Champions //  $3.99 //  $6.00 //  $9.99 // 
4238 //  Ballerburg Castle Chaos //  $4.78 //  $5.00 //  $8.00 // 
12664 //  Ballistic //  $4.47 //  $6.75 //  $17.50 // 
12665 //  Barbie Explorer //  $5.47 //  $11.40 //  $24.99 // 
4239 //  Barbie Gotta Have Games //  $3.56 //  $6.43 //  $7.15 // 
4240 //  Barbie Race and Ride //  $3.94 //  $5.48 //  $12.87 // 
4241 //  Barbie Super Sports //  $4.12 //  $6.18 //  $8.72 // 
19220 //  Bases Loaded 96: Double Header //  $5.03 //  $10.50 //  $26.00 // 
4242 //  Bass Championship //  $3.94 //  $5.50 //  $12.99 // 
4243 //  Bass Landing //  $11.66 //  $14.25 //  $37.29 // 
12666 //  Bass Rise //  $3.51 //  $6.50 //  $15.07 // 
4245 //  Batman Beyond //  $8.22 //  $15.50 //  $39.25 // 
4246 //  Batman Forever Arcade //  $50.76 //  $99.99 //  $208.53 // 
4247 //  Batman Gotham City Racer //  $9.99 //  $26.49 //  $48.19 // 
4244 //  Batman and Robin //  $13.16 //  $16.92 //  $94.89 // 
4248 //  Battle Arena Toshinden //  $5.00 //  $10.44 //  $66.56 // 
4249 //  Battle Arena Toshinden 2 //  $7.66 //  $13.68 //  $105.90 // 
38418 //  Battle Arena Toshinden 2 [Long Box] //  $17.46 //  $19.99 //  $699.99 // 
4250 //  Battle Arena Toshinden 3 //  $10.68 //  $17.96 //  $96.40 // 
37619 //  Battle Arena Toshinden [Greatest Hits] //  $5.00 //  $10.52 //  $20.00 // 
38417 //  Battle Arena Toshinden [Long Box] //  $9.99 //  $13.95 //  $189.06 // 
63132 //  Battle Arena Toshinden [Not for Resale] //  $11.23 //  $16.84 //  $44.04 // 
4251 //  Battle Hunter //  $8.87 //  $12.00 //  $19.99 // 
12667 //  Battle Stations //  $3.26 //  $5.93 //  $10.05 // 
34013 //  Battlesport //  $7.79 //  $18.04 //  $42.65 // 
4252 //  Battletanx Global Assault //  $5.59 //  $7.49 //  $13.72 // 
4253 //  Bear in the Big Blue House //  $4.13 //  $6.21 //  $10.30 // 
4254 //  Beast Wars Transformers //  $7.51 //  $14.99 //  $49.30 // 
12668 //  Beyblade Let It Rip //  $2.98 //  $4.94 //  $8.89 // 
4255 //  Beyond the Beyond //  $13.22 //  $29.95 //  $102.50 // 
13963 //  Big Air //  $2.81 //  $4.42 //  $6.30 // 
4256 //  Big Bass Fishing //  $3.98 //  $4.47 //  $8.41 // 
4257 //  Big Bass World Championship //  $3.09 //  $5.42 //  $14.99 // 
4258 //  Big Game Hunter Ultimate Challenge //  $3.14 //  $4.94 //  $8.49 // 
14348 //  Big League Slugger Baseball //  $3.58 //  $6.46 //  $8.45 // 
4259 //  "Big Ol Bass" //  $6.52 //  $8.42 //  $19.34 // 
14396 //  "Big Ol Bass 2" //  $7.95 //  $9.99 //  $31.80 // 
49713 //  "Big Ol Bass [Greatest Hits]" //   //   //   // 
12669 //  Big Strike Bowling //  $3.15 //  $5.05 //  $8.54 // 
4260 //  Billiards //  $3.48 //  $4.50 //  $8.51 // 
12670 //  Biofreaks //  $5.21 //  $7.80 //  $25.63 // 
12671 //  Black Bass/Blue Marlin //  $3.62 //  $6.65 //  $22.84 // 
12672 //  Black Dawn //  $4.69 //  $6.12 //  $15.91 // 
4261 //  Blade //  $8.53 //  $17.15 //  $23.48 // 
4262 //  Blast Chamber //  $6.95 //  $10.43 //  $26.25 // 
12673 //  Blast Lacrosse //  $6.98 //  $11.28 //  $28.78 // 
12674 //  Blast Radius //  $4.04 //  $5.99 //  $12.79 // 
12675 //  Blaster Master Blasting Again //  $5.25 //  $9.00 //  $18.65 // 
12676 //  Blasto //  $9.54 //  $18.99 //  $59.97 // 
