4193 //  007 Racing //  $4.07 //  $7.28 //  $18.93 // 
4858 //  007 Tomorrow Never Dies //  $4.24 //  $5.53 //  $19.70 // 
37615 //  007 Tomorrow Never Dies [Greatest Hits] //  $3.38 //  $5.02 //  $13.50 // 
37616 //  007 World Is Not Enough [Greatest Hits] //  $4.13 //  $6.20 //  $26.15 // 
12903 //  007 World is Not Enough //  $4.12 //  $7.75 //  $24.99 // 
12596 //  "101 Dalmatians II Patchs London Adventure" //  $7.86 //  $8.78 //  $14.07 // 
4194 //  102 Dalmatians Puppies to the Rescue //  $5.92 //  $9.99 //  $32.12 // 
12718 //  1Xtreme //  $5.97 //  $8.00 //  $23.88 // 
12597 //  2Xtreme //  $3.67 //  $5.69 //  $15.75 // 
49699 //  2Xtreme [Greatest Hits] //  $1.97 //  $6.52 //  $7.88 // 
4195 //  3D Baseball //  $5.61 //  $8.13 //  $12.30 // 
12598 //  3Xtreme //  $3.70 //  $7.08 //  $21.80 // 
4196 //  40 Winks //  $8.28 //  $12.33 //  $38.06 // 
4290 //  "A Bugs Life" //  $4.06 //  $7.57 //  $19.99 // 
49710 //  "A Bugs Life [Greatest Hits]" //  $4.85 //  $7.30 //  $19.40 // 
4234 //  A-Train //  $11.40 //  $17.00 //  $44.76 // 
38415 //  A-Train [Long Box] //  $17.60 //  $24.13 //  $229.99 // 
12599 //  ATV Mania //  $3.03 //  $4.65 //  $7.49 // 
14364 //  ATV Quad Power Racing //  $2.66 //  $3.64 //  $7.68 // 
4235 //  ATV Racers //  $3.22 //  $5.55 //  $7.25 // 
12600 //  Ace Combat 2 //  $13.01 //  $16.52 //  $59.67 // 
4197 //  Ace Combat 3 Electrosphere //  $9.62 //  $16.25 //  $38.39 // 
4198 //  Aces of the Air //  $4.16 //  $4.80 //  $10.09 // 
4199 //  Action Bass //  $2.55 //  $4.06 //  $6.42 // 
12601 //  Action Man Operation EXtreme //  $3.08 //  $6.97 //  $13.49 // 
58233 //  Action Replay //   //   //   // 
4200 //  Activision Classics //  $4.47 //  $4.55 //  $7.91 // 
49700 //  Activision Classics [Greatest Hits] //  $2.57 //  $4.47 //  $10.28 // 
12602 //  Adidas Power Soccer //  $5.32 //  $10.81 //  $27.99 // 
4201 //  Adidas Power Soccer 98 //  $2.25 //  $11.84 //  $19.95 // 
4202 //  Advanced Dungeons & Dragons Iron and Blood //  $6.84 //  $9.99 //  $35.00 // 
4203 //  Adventures of Lomax //  $55.93 //  $104.00 //  $413.95 // 
12603 //  Agile Warrior F-111X //  $6.17 //  $8.65 //  $30.85 // 
38411 //  Agile Warrior F-111X [Long Box] //  $9.30 //  $10.00 //  $64.99 // 
12604 //  Air Combat //  $4.25 //  $6.60 //  $32.67 // 
49701 //  Air Combat [Greatest Hits] //  $7.50 //  $7.69 //  $22.07 // 
38412 //  Air Combat [Long Box] //  $12.64 //  $13.89 //  $129.99 // 
12605 //  Air Hockey //  $3.73 //  $6.64 //  $8.86 // 
12606 //  Akuji the Heartless //  $5.48 //  $11.73 //  $25.76 // 
4204 //  Aladdin in Nasiras Revenge //  $11.05 //  $15.11 //  $41.61 // 
4205 //  Alexi Lalas International Soccer //  $4.49 //  $5.88 //  $14.68 // 
12607 //  Alien Resurrection //  $11.98 //  $24.80 //  $49.95 // 
8499 //  Alien Trilogy //  $9.75 //  $15.00 //  $48.51 // 
