4193 //  007 Racing //  $4.28 //  $6.13 //  $18.93 // 
4858 //  007 Tomorrow Never Dies //  $4.14 //  $5.56 //  $16.52 // 
37615 //  007 Tomorrow Never Dies [Greatest Hits] //  $3.38 //  $5.00 //  $13.50 // 
37616 //  007 World Is Not Enough [Greatest Hits] //  $5.08 //  $6.62 //  $27.98 // 
12903 //  007 World is Not Enough //  $4.05 //  $5.81 //  $24.99 // 
12596 //  "101 Dalmatians II Patchs London Adventure" //  $8.15 //  $9.65 //  $14.06 // 
4194 //  102 Dalmatians Puppies to the Rescue //  $6.99 //  $9.97 //  $51.30 // 
12718 //  1Xtreme //  $5.99 //  $8.72 //  $24.10 // 
12597 //  2Xtreme //  $3.38 //  $5.06 //  $17.75 // 
49699 //  2Xtreme [Greatest Hits] //  $1.97 //  $6.19 //  $7.88 // 
4195 //  3D Baseball //  $4.55 //  $9.49 //  $12.19 // 
12598 //  3Xtreme //  $3.70 //  $6.74 //  $20.42 // 
4196 //  40 Winks //  $8.75 //  $13.13 //  $36.07 // 
4290 //  "A Bugs Life" //  $4.06 //  $7.00 //  $22.67 // 
49710 //  "A Bugs Life [Greatest Hits]" //  $4.85 //  $7.55 //  $19.40 // 
4234 //  A-Train //  $11.71 //  $16.36 //  $40.18 // 
38415 //  A-Train [Long Box] //  $17.60 //  $25.00 //  $229.96 // 
12599 //  ATV Mania //  $3.29 //  $4.93 //  $7.49 // 
14364 //  ATV Quad Power Racing //  $2.66 //  $4.00 //  $7.00 // 
4235 //  ATV Racers //  $3.29 //  $5.32 //  $7.65 // 
12600 //  Ace Combat 2 //  $13.00 //  $17.99 //  $54.10 // 
4197 //  Ace Combat 3 Electrosphere //  $9.75 //  $18.25 //  $38.39 // 
4198 //  Aces of the Air //  $3.79 //  $3.91 //  $10.39 // 
4199 //  Action Bass //  $2.59 //  $3.16 //  $6.68 // 
12601 //  Action Man Operation EXtreme //  $3.08 //  $6.74 //  $12.93 // 
58233 //  Action Replay //   //   //   // 
4200 //  Activision Classics //  $4.55 //  $5.13 //  $7.85 // 
49700 //  Activision Classics [Greatest Hits] //  $2.57 //  $3.25 //  $4.45 // 
12602 //  Adidas Power Soccer //  $5.32 //  $10.54 //  $27.85 // 
4201 //  Adidas Power Soccer 98 //  $2.25 //  $10.19 //  $31.52 // 
4202 //  Advanced Dungeons & Dragons Iron and Blood //  $5.81 //  $10.19 //  $28.78 // 
4203 //  Adventures of Lomax //  $65.25 //  $112.55 //  $413.43 // 
12603 //  Agile Warrior F-111X //  $5.11 //  $7.67 //  $30.64 // 
38411 //  Agile Warrior F-111X [Long Box] //  $8.91 //  $8.92 //  $64.99 // 
12604 //  Air Combat //  $4.16 //  $7.79 //  $34.84 // 
49701 //  Air Combat [Greatest Hits] //  $7.40 //  $7.45 //  $22.07 // 
38412 //  Air Combat [Long Box] //  $12.64 //  $13.79 //  $60.49 // 
12605 //  Air Hockey //  $3.72 //  $6.64 //  $8.99 // 
12606 //  Akuji the Heartless //  $4.89 //  $11.29 //  $24.82 // 
4204 //  Aladdin in Nasiras Revenge //  $11.89 //  $13.71 //  $41.42 // 
4205 //  Alexi Lalas International Soccer //  $4.49 //  $5.49 //  $14.74 // 
12607 //  Alien Resurrection //  $11.79 //  $22.89 //  $54.03 // 
8499 //  Alien Trilogy //  $8.13 //  $15.00 //  $49.09 // 
37614 //  Alien Trilogy [Greatest Hits] //  $11.25 //  $14.60 //  $76.38 // 
38413 //  Alien Trilogy [Long Box] //  $14.99 //  $27.23 //  $59.96 // 
12608 //  All-Star Racing //  $3.40 //  $4.99 //  $6.98 // 
12609 //  All-Star Racing 2 //  $3.45 //  $5.48 //  $7.99 // 
13964 //  All-Star Slammin D-Ball //  $3.03 //  $6.35 //  $7.99 // 
32813 //  All-star Baseball 97 //  $5.55 //  $9.47 //  $23.17 // 
4206 //  Allied General //  $8.68 //  $11.39 //  $32.77 // 
4207 //  "Alone In The Dark One Eyed Jacks Revenge" //  $13.33 //  $23.39 //  $71.02 // 
4208 //  Alone In The Dark The New Nightmare //  $11.37 //  $19.63 //  $46.57 // 
4209 //  Alundra //  $32.20 //  $75.73 //  $174.54 // 
4210 //  Alundra 2 //  $9.95 //  $16.23 //  $40.50 // 
4211 //  Amazing Virtual Sea-Monkeys //  $3.40 //  $4.50 //  $9.57 // 
4212 //  American Pool //  $3.29 //  $5.99 //  $7.85 // 
46422 //  Analog Joystick Flightstick Controller //  $51.17 //  $53.77 //  $139.80 // 
12610 //  Andretti Racing //  $3.19 //  $5.00 //  $11.00 // 
49702 //  Andretti Racing [Greatest Hits] //  $3.25 //  $6.99 //  $12.99 // 
4213 //  Animaniacs Ten Pin Alley //  $5.07 //  $6.58 //  $26.60 // 
12612 //  Animorphs Shattered Reality //  $3.94 //  $9.67 //  $22.10 // 
4214 //  Ape Escape //  $13.03 //  $23.09 //  $50.00 // 
37617 //  Ape Escape [Greatest Hits] //  $8.50 //  $19.99 //  $51.78 // 
4215 //  Apocalypse //  $6.81 //  $11.59 //  $34.00 // 
12613 //  "Aquanauts Holiday" //  $8.00 //  $17.49 //  $45.29 // 
4216 //  Arc The Lad Collection //  $17.68 //  $68.79 //  $105.62 // 
12614 //  Arcade Party Pak //  $5.55 //  $8.23 //  $13.03 // 
4232 //  "Arcades Greatest Hits Atari Collection 1" //  $4.10 //  $6.23 //  $14.86 // 
8519 //  "Arcades Greatest Hits Atari Collection 2" //  $6.87 //  $8.93 //  $29.99 // 
4577 //  "Arcades Greatest Hits Midway Collection 2" //  $5.78 //  $8.90 //  $40.55 // 
4217 //  Area 51 //  $7.45 //  $11.49 //  $64.99 // 
4218 //  Armored Core //  $12.20 //  $19.49 //  $73.47 // 
12615 //  Armored Core Master of Arena //  $13.47 //  $22.38 //  $29.99 // 
4219 //  Armored Core Project Phantasma //  $13.74 //  $31.26 //  $116.01 // 
12616 //  Armorines Project SWARM //  $3.33 //  $8.52 //  $14.14 // 
12578 //  Army Men 3D //  $4.63 //  $7.14 //  $23.30 // 
62530 //  "Army Men 3D [Collectors Edition]" //  $3.98 //  $5.99 //  $15.57 // 
49703 //  Army Men 3D [Greatest Hits] //  $3.51 //  $3.99 //  $6.71 // 
4220 //  Army Men Air Attack //  $3.79 //  $5.69 //  $18.33 // 
4221 //  Army Men Air Attack 2 //  $4.55 //  $6.40 //  $21.99 // 
62532 //  "Army Men Air Attack [Collectors Edition]" //   //   //   // 
49704 //  Army Men Air Attack [Greatest Hits] //  $5.33 //  $8.00 //  $29.95 // 
4222 //  Army Men Gold //  $15.00 //  $22.24 //  $60.00 // 
12617 //  Army Men Green Rogue //  $4.78 //  $9.08 //  $21.35 // 
4228 //  "Army Men Sarges Heroes" //  $6.41 //  $7.99 //  $37.02 // 
12093 //  "Army Men Sarges Heroes 2" //  $6.48 //  $8.86 //  $25.92 // 
62531 //  "Army Men Sarges Heroes [Collectors Edition]" //  $9.33 //  $13.99 //  $36.37 // 
4224 //  Army Men World War //  $5.79 //  $8.68 //  $30.79 // 
4225 //  Army Men World War Final Front //  $6.94 //  $9.79 //  $28.48 // 
4226 //  Army Men World War Land Sea Air //  $5.99 //  $7.53 //  $37.06 // 
4227 //  Army Men World War Team Assault //  $4.58 //  $7.68 //  $20.09 // 
12618 //  Arthur Ready to Race //  $4.26 //  $5.88 //  $15.30 // 
12619 //  Assault Retribution //  $5.10 //  $9.95 //  $20.83 // 
4229 //  Assault Rigs //  $8.07 //  $9.65 //  $53.62 // 
38414 //  Assault Rigs [Long Box] //  $11.99 //  $15.07 //  $120.00 // 
4230 //  Asteroids //  $3.79 //  $5.99 //  $10.55 // 
37618 //  Asteroids [Greatest Hits] //  $2.89 //  $4.55 //  $11.57 // 
4231 //  Atari Anniversary Redux //  $3.78 //  $4.22 //  $11.59 // 
4233 //  Atlantis The Lost Empire //  $7.96 //  $13.63 //  $23.82 // 
12621 //  Austin Powers Pinball //  $3.41 //  $5.35 //  $6.45 // 
4236 //  Auto Destruct //  $7.17 //  $11.32 //  $27.20 // 
12658 //  Azure Dreams //  $36.00 //  $55.41 //  $114.62 // 
12659 //  BRAHMA Force the Assault on Beltlogger 9 //  $4.99 //  $8.16 //  $19.73 // 
4237 //  Backstreet Billiards //  $7.29 //  $9.59 //  $17.51 // 
12660 //  Backyard Soccer //  $2.99 //  $4.48 //  $9.38 // 
12661 //  Baldies //  $5.27 //  $8.50 //  $12.10 // 
12662 //  Ball Breakers //  $2.76 //  $4.72 //  $8.38 // 
12663 //  Ballblazer Champions //  $3.99 //  $6.02 //  $10.00 // 
4238 //  Ballerburg Castle Chaos //  $4.78 //  $5.96 //  $9.13 // 
12664 //  Ballistic //  $4.57 //  $7.00 //  $17.50 // 
12665 //  Barbie Explorer //  $5.55 //  $10.19 //  $24.99 // 
4239 //  Barbie Gotta Have Games //  $3.49 //  $6.41 //  $7.15 // 
4240 //  Barbie Race and Ride //  $3.94 //  $5.62 //  $12.87 // 
