13844 //  Batman The Video Game //  $9.99 //  $40.15 //  $213.08 // 
8570 //  Batman: Return of the Joker //  $38.76 //  $125.00 //  $199.99 // 
12200 //  Battle Chess //  $5.50 //  $20.91 //  $30.81 // 
12201 //  Battle of Olympus //  $12.99 //  $40.00 //  $117.49 // 
8582 //  Battleship //  $17.50 //  $28.80 //  $36.02 // 
12202 //  Battletank //  $8.82 //  $23.97 //  $26.01 // 
8586 //  Battletoads //  $20.33 //  $62.89 //  $355.13 // 
8588 //  Battletoads and Double Dragon The Ultimate Team //  $84.58 //  $231.88 //  $690.00 // 
12203 //  Bee 52 //  $12.14 //  $31.42 //  $55.00 // 
12204 //  BeetleJuice //  $19.49 //  $63.74 //  $159.40 // 
8600 //  Best of the Best Championship Karate //  $40.00 //  $119.95 //  $235.00 // 
8603 //  Bible Adventures //  $10.66 //  $27.35 //  $85.50 // 
12205 //  Bible Buffet //  $55.00 //  $87.93 //  $150.00 // 
12106 //  Big Nose Freaks Out //  $70.00 //  $97.53 //  $175.25 // 
39520 //  Big Nose Freaks Out [Aladdin] //  $3.53 //  $14.54 //  $31.00 // 
16129 //  Big Nose the Caveman //  $13.00 //  $29.99 //  $54.05 // 
12206 //  Bigfoot //  $8.27 //  $17.74 //  $61.95 // 
8607 //  "Bill Elliotts NASCAR Challenge" //  $8.00 //  $17.48 //  $32.33 // 
8606 //  "Bill and Teds Excellent Video Game" //  $11.96 //  $27.95 //  $134.60 // 
12107 //  Bionic Commando //  $9.50 //  $40.00 //  $195.71 // 
12108 //  Black Bass //  $7.45 //  $20.37 //  $59.62 // 
12109 //  Blackjack //  $40.00 //  $79.99 //  $127.50 // 
8614 //  Blades of Steel //  $5.25 //  $22.11 //  $130.26 // 
39515 //  Blades of Steel [Classic Series] //  $11.33 //  $47.49 //  $93.71 // 
12110 //  Blaster Master //  $9.39 //  $41.78 //  $221.18 // 
8625 //  Blue Marlin //  $17.97 //  $28.84 //  $124.50 // 
8627 //  Blues Brothers //  $24.46 //  $54.96 //  $109.02 // 
8628 //  Bo Jackson Baseball //  $6.58 //  $18.99 //  $59.88 // 
12111 //  Bomberman //  $19.61 //  $54.71 //  $368.39 // 
8632 //  Bomberman II //  $125.64 //  $218.75 //  $565.01 // 
8636 //  "Bonks Adventure" //  $425.00 //  $1123.47 //  $2799.00 // 
12112 //  Boulder Dash //  $15.83 //  $34.00 //  $109.25 // 
8643 //  "Bram Stokers Dracula" //  $37.76 //  $81.99 //  $258.08 // 
8645 //  Break Time The National Pool Tour //  $10.48 //  $20.12 //  $45.92 // 
