12168 //  10-Yard Fight //  $6.58 //  $31.49 //  $435.60 // 
37965 //  10-Yard Fight [5 Screw] //  $4.85 //  $26.53 //  $44.32 // 
12169 //  1942 //  $9.04 //  $57.98 //  $187.81 // 
37996 //  1942 [5 Screw] //  $11.56 //  $41.67 //  $113.34 // 
12170 //  1943: The Battle of Midway //  $12.08 //  $38.03 //  $132.28 // 
8445 //  3D WorldRunner //  $7.81 //  $23.83 //  $73.02 // 
38021 //  3D WorldRunner [5 Screw] //  $8.20 //  $39.95 //  $82.17 // 
12171 //  720 //  $5.13 //  $25.27 //  $59.99 // 
12172 //  8 Eyes //  $8.99 //  $25.00 //  $126.17 // 
12173 //  A Boy and His Blob Trouble on Blobolonia //  $7.95 //  $38.07 //  $119.97 // 
12174 //  A Nightmare on Elm Street //  $41.42 //  $137.73 //  $411.25 // 
8451 //  Abadox //  $9.75 //  $30.21 //  $79.02 // 
8453 //  Action 52 //  $183.58 //  $314.06 //  $413.61 // 
8455 //  Addams Family //  $13.71 //  $31.50 //  $102.52 // 
8456 //  "Addams Family Pugsleys Scavenger Hunt" //  $51.54 //  $140.00 //  $261.15 // 
8458 //  Advanced Dungeons & Dragons Dragon Strike //  $33.16 //  $94.28 //  $275.18 // 
8459 //  Advanced Dungeons & Dragons Heroes of the Lance //  $13.07 //  $29.74 //  $176.62 // 
8460 //  Advanced Dungeons & Dragons Hillsfar //  $80.06 //  $162.01 //  $289.99 // 
8462 //  Advanced Dungeons & Dragons Pool of Radiance //  $36.99 //  $61.98 //  $196.85 // 
8464 //  Adventure Island //  $9.99 //  $38.00 //  $234.17 // 
12176 //  Adventure Island 3 //  $50.99 //  $119.40 //  $349.89 // 
8465 //  Adventure Island II //  $17.97 //  $60.50 //  $198.67 // 
8466 //  Adventures in the Magic Kingdom //  $8.09 //  $23.25 //  $119.99 // 
8468 //  Adventures of Bayou Billy //  $5.00 //  $19.99 //  $104.99 // 
12119 //  Adventures of Captain Comic //  $11.70 //  $25.99 //  $45.50 // 
12175 //  Adventures of Dino Riki //  $5.99 //  $28.99 //  $82.93 // 
11979 //  Adventures of Lolo //  $11.30 //  $29.97 //  $153.15 // 
11980 //  Adventures of Lolo 2 //  $33.91 //  $58.22 //  $112.56 // 
8469 //  Adventures of Lolo 3 //  $44.07 //  $74.50 //  $217.01 // 
12377 //  Adventures of Rad Gravity //  $16.38 //  $40.49 //  $190.62 // 
8472 //  Adventures of Tom Sawyer //  $8.50 //  $22.95 //  $88.22 // 
12177 //  After Burner //  $8.19 //  $28.01 //  $73.50 // 
8488 //  Air Fortress //  $5.00 //  $20.31 //  $81.00 // 
12178 //  Airwolf //  $3.41 //  $17.45 //  $67.43 // 
8491 //  Al Unser Turbo Racing //  $3.97 //  $12.71 //  $54.23 // 
39509 //  Aladdin Deck Enhancer //  $15.77 //  $34.47 //  $110.21 // 
67580 //  "Alfonzos Arctic Adventure" //   //   //   // 
8493 //  Alfred Chicken //  $57.00 //  $152.35 //  $411.31 // 
8495 //  Alien 3 //  $19.98 //  $57.00 //  $91.00 // 
12179 //  Alien Syndrome //  $12.00 //  $25.45 //  $58.29 // 
12180 //  All-Pro Basketball //  $5.70 //  $16.87 //  $63.05 // 
12181 //  Alpha Mission //  $8.41 //  $26.25 //  $174.95 // 
38035 //  Alpha Mission [5 Screw] //  $55.00 //  $99.99 //  $456.50 // 
12183 //  Amagon //  $6.62 //  $30.00 //  $79.99 // 
8507 //  American Gladiators //  $9.06 //  $17.49 //  $51.86 // 
12184 //  Anticipation //  $1.95 //  $8.72 //  $29.99 // 
12185 //  Arch Rivals //  $4.95 //  $15.00 //  $50.75 // 
12186 //  Archon //  $9.16 //  $24.51 //  $79.12 // 
8527 //  Arkanoid //  $9.99 //  $87.62 //  $214.51 // 
38015 //  Arkanoid [5 Screw] //  $12.68 //  $33.08 //  $105.86 // 
37957 //  Arkanoid [Controller Bundle] //  $54.95 //  $126.98 //  $171.83 // 
16264 //  "Arkistas Ring" //  $24.99 //  $76.01 //  $249.97 // 
