2888 //  007 James Bond //  $5.82 //  $22.40 //  $148.50 // 
66732 //  "007 James Bond [Players Choice]" //   //   //   // 
31328 //  2 In 1: Flying Warriors / Fighting Simulator //  $9.11 //  $19.54 //  $32.22 // 
13259 //  4 in 1 Funpak //  $3.28 //  $10.96 //  $23.02 // 
13260 //  4 in 1 Funpak Volume II //  $4.72 //  $9.80 //  $18.28 // 
13461 //  Addams Family //  $8.62 //  $33.71 //  $61.26 // 
13462 //  "Addams Family Pugsleys Scavenger Hunt" //  $19.65 //  $80.37 //  $250.00 // 
7259 //  Adventure Island //  $12.54 //  $50.40 //  $109.99 // 
7260 //  Adventure Island II //  $12.93 //  $52.50 //  $215.27 // 
13263 //  Adventures of Star Saver //  $19.89 //  $89.99 //  $169.52 // 
13264 //  Aerostar //  $30.52 //  $127.19 //  $206.65 // 
18572 //  Aladdin //  $7.47 //  $33.66 //  $72.00 // 
2737 //  Alfred Chicken //  $11.41 //  $117.49 //  $130.06 // 
34778 //  Alien 3 //  $17.06 //  $54.85 //  $126.15 // 
13266 //  Alien vs Predator //  $11.14 //  $54.99 //  $138.73 // 
13267 //  All-Star Baseball 99 //  $8.00 //  $88.40 //  $199.99 // 
2740 //  Alleyway //  $5.34 //  $15.12 //  $37.53 // 
13268 //  Altered Space //  $9.00 //  $55.00 //  $113.78 // 
13269 //  Amazing Penguin //  $17.27 //  $85.24 //  $200.00 // 
13464 //  Amazing Spiderman //  $6.82 //  $20.25 //  $95.22 // 
13465 //  Amazing Spiderman 2 //  $10.99 //  $39.11 //  $94.96 // 
32749 //  Amazing Tater //  $255.04 //  $1028.24 //  $2364.95 // 
2743 //  Animaniacs //  $7.53 //  $35.68 //  $101.66 // 
12094 //  Arcade Classic 2: Centipede and Millipede //  $5.90 //  $12.74 //  $15.63 // 
2746 //  Arcade Classic 3: Galaga and Galaxian //  $8.20 //  $17.00 //  $32.86 // 
37588 //  Arcade Classic 4: Defender and Joust //  $6.47 //  $9.31 //  $31.83 // 
2747 //  Arcade Classic: Asteroids and Missile Command //  $5.46 //  $12.60 //  $14.37 // 
18488 //  Arcade Classic: Super Breakout and Battlezone //  $5.99 //  $14.37 //  $15.45 // 
21154 //  Asteroids //  $5.64 //  $24.57 //  $48.44 // 
13273 //  Atomic Punk //  $14.04 //  $109.00 //  $241.64 // 
13416 //  Attack of the Killer Tomatoes //  $15.96 //  $94.49 //  $200.00 // 
2754 //  Avenging Spirit //  $93.22 //  $326.09 //  $750.00 // 
10440 //  Balloon Kid //  $13.49 //  $46.20 //  $52.72 // 
13283 //  Barbie Game Girl //  $10.04 //  $40.00 //  $89.66 // 
13284 //  "Bart Simpsons Escape from Camp Deadly" //  $6.82 //  $27.05 //  $89.12 // 
12538 //  Baseball //  $2.93 //  $21.36 //  $87.47 // 
13286 //  Bases Loaded //  $4.97 //  $13.00 //  $74.69 // 
8571 //  Batman Forever //  $6.96 //  $28.12 //  $43.20 // 
2760 //  Batman the Series //  $24.01 //  $131.77 //  $205.01 // 
13288 //  Batman the Video Game //  $12.60 //  $20.39 //  $99.94 // 
18680 //  Batman: Return of the Joker //  $13.67 //  $58.25 //  $138.75 // 
13289 //  Battle Arena Toshinden //  $10.98 //  $27.91 //  $46.75 // 
20091 //  Battle Bull //  $14.42 //  $34.22 //  $97.19 // 
21133 //  Battle Unit Zeoth //  $12.74 //  $97.67 //  $97.95 // 
21153 //  Battleship //  $4.77 //  $13.99 //  $20.00 // 
2764 //  Battletoads //  $10.58 //  $51.53 //  $250.00 // 
16262 //  Battletoads & Double Dragon //  $26.10 //  $315.00 //  $407.48 // 
13290 //  "Battletoads in Ragnaroks World" //  $18.51 //  $136.49 //  $316.11 // 
13291 //  Beavis and Butthead //  $22.02 //  $56.86 //  $108.64 // 
18684 //  Beetlejuice //  $30.98 //  $46.10 //  $120.50 // 
13389 //  Berlitz French Translator //  $9.47 //  $13.34 //  $25.87 // 
13292 //  Best of the Best Championship Karate //  $7.20 //  $31.01 //  $50.35 // 
34826 //  "Bill Elliotts NASCAR Fast Tracks" //  $6.03 //  $19.99 //  $45.98 // 
13293 //  "Bill and Teds Excellent Adventure" //  $10.34 //  $50.38 //  $102.42 // 
35215 //  Bionic Battler //  $6.04 //  $19.30 //  $44.91 // 
2767 //  Bionic Commando //  $30.00 //  $115.06 //  $325.00 // 
13295 //  Black Bass Lure Fishing //  $3.76 //  $16.17 //  $99.95 // 
16873 //  Black Game Boy Pocket //  $29.48 //  $62.07 //  $280.50 // 
13296 //  Blades of Steel //  $3.99 //  $20.29 //  $40.11 // 
13298 //  Blaster Master Boy //  $43.49 //  $157.87 //  $363.10 // 
16870 //  Blue Game Boy Pocket //  $25.58 //  $64.10 //  $217.43 // 
37355 //  Blues Brothers //  $22.41 //  $81.00 //  $186.30 // 
13302 //  Bo Jackson Hit and Run //  $3.99 //  $7.06 //  $12.99 // 
13304 //  Boggle Plus //  $4.79 //  $11.41 //  $40.09 // 
2772 //  Bomberman //  $7.98 //  $21.42 //  $84.48 // 
13307 //  "Bonks Adventure" //  $16.09 //  $92.11 //  $162.25 // 
13308 //  "Bonks Revenge" //  $29.99 //  $131.48 //  $151.30 // 
13309 //  "Boomers Adventure in Asmik World" //  $5.84 //  $24.38 //  $100.00 // 
13310 //  Boxxle //  $7.99 //  $23.05 //  $54.99 // 
13311 //  Boxxle II //  $20.89 //  $98.73 //  $349.98 // 
13312 //  Brain Drain //  $4.79 //  $16.09 //  $22.97 // 
13313 //  Brainbender //  $5.80 //  $17.98 //  $32.95 // 
13314 //  "Bram Stokers Dracula" //  $11.93 //  $46.90 //  $107.87 // 
18559 //  BreakThru //  $6.43 //  $14.49 //  $33.40 // 
34782 //  Bubble Bobble //  $14.95 //  $82.88 //  $174.86 // 
13315 //  Bubble Bobble Part 2 //  $20.99 //  $75.52 //  $135.11 // 
13316 //  Bubble Ghost //  $14.66 //  $70.00 //  $99.95 // 
7283 //  Bubsy II //  $8.99 //  $73.82 //  $77.13 // 
2796 //  Bugs Bunny Crazy Castle //  $6.14 //  $20.98 //  $49.99 // 
11970 //  Bugs Bunny Crazy Castle 2 //  $4.25 //  $14.75 //  $56.12 // 
33798 //  Burai Fighter Deluxe //  $13.46 //  $36.17 //  $84.10 // 
2777 //  Burgertime Deluxe //  $9.53 //  $36.59 //  $66.95 // 
13318 //  Bust-a-Move 2 Arcade Edition //  $12.97 //  $31.54 //  $70.38 // 
13319 //  Buster Bros //  $26.70 //  $170.44 //  $216.27 // 
2780 //  "Caesars Palace" //  $3.50 //  $9.00 //  $17.99 // 
34962 //  Caesars Palace (Arcadia) //  $2.05 //  $7.53 //  $17.33 // 
36789 //  Captain America and the Avengers //  $47.00 //  $269.95 //  $455.52 // 
