2888 //  007 James Bond //  $7.06 //  $18.50 //  $148.50 // 
13318 //  Bust-a-Move 2 Arcade Edition //  $12.97 //  $30.60 //  $70.39 // 
13319 //  Buster Bros //  $23.83 //  $170.45 //  $202.75 // 
2780 //  "Caesars Palace" //  $3.84 //  $8.74 //  $17.99 // 
34962 //  Caesars Palace (Arcadia) //  $2.05 //  $7.53 //  $17.33 // 
36789 //  Captain America and the Avengers //  $47.87 //  $281.45 //  $455.52 // 
13321 //  Casino FunPak //  $2.49 //  $9.61 //  $20.99 // 
34005 //  Casper //  $3.91 //  $20.71 //  $76.50 // 
13322 //  Castelian //  $13.48 //  $30.82 //  $100.00 // 
2786 //  Castlevania Adventure //  $10.35 //  $72.45 //  $177.50 // 
66725 //  "Castlevania Adventure [Players Choice]" //   //   //   // 
2785 //  "Castlevania II Belmonts Revenge" //  $35.47 //  $181.05 //  $365.14 // 
66726 //  "Castlevania II Belmonts Revenge [Players Choice]" //   //   //   // 
13323 //  Castlevania Legends //  $79.97 //  $352.50 //  $740.52 // 
66749 //  "Castlevania Legends [Players Choice]" //   //   //   // 
20785 //  Catrap //  $16.82 //  $52.94 //  $107.44 // 
21152 //  Centipede //  $5.28 //  $15.65 //  $35.99 // 
39514 //  Centipede [Accolade] //  $48.60 //  $98.91 //  $227.49 // 
13324 //  Championship Pool //  $5.38 //  $11.22 //  $25.81 // 
18549 //  Chase HQ //  $6.81 //  $22.51 //  $80.99 // 
15801 //  Chessmaster //  $5.74 //  $16.61 //  $34.76 // 
13326 //  Choplifter  II //  $10.50 //  $14.96 //  $18.95 // 
13327 //  Chuck Rock //  $12.99 //  $120.50 //  $235.71 // 
40310 //  Clear Game Boy Pocket  //  $29.95 //  $104.83 //  $254.58 // 
13328 //  Cliffhanger //  $6.55 //  $31.56 //  $99.99 // 
13329 //  College Slam //  $3.99 //  $14.26 //  $42.65 // 
13330 //  Contra the Alien Wars //  $24.73 //  $152.56 //  $236.61 // 
34779 //  Cool Ball //  $68.00 //  $296.95 //  $465.71 // 
14076 //  Cool Spot //  $11.10 //  $40.58 //  $93.33 // 
31617 //  Cool World //  $46.94 //  $221.32 //  $399.00 // 
34850 //  Cosmo Tank //  $9.49 //  $38.99 //  $45.62 // 
34780 //  Crystal Quest //  $10.95 //  $44.99 //  $45.00 // 
13332 //  Cutthroat Island //  $6.97 //  $27.16 //  $39.00 // 
31520 //  Cyraid //  $13.99 //  $26.61 //  $77.25 // 
19369 //  Daedalian Opus //  $5.65 //  $24.49 //  $38.25 // 
8800 //  Daffy Duck //  $7.00 //  $59.99 //  $112.41 // 
18620 //  Darkman //  $114.32 //  $257.98 //  $350.00 // 
13333 //  Darkwing Duck //  $17.99 //  $88.39 //  $194.38 // 
13334 //  Days of Thunder //  $13.49 //  $54.60 //  $71.44 // 
13335 //  Dead Heat Scramble //  $5.18 //  $20.19 //  $43.01 // 
2809 //  Dennis the Menace //  $5.28 //  $125.41 //  $280.00 // 
14958 //  Desert Strike Return to the Gulf //  $9.99 //  $16.00 //  $85.00 // 
14164 //  Dexterity //  $6.89 //  $39.99 //  $50.37 // 
13337 //  Dick Tracy //  $55.85 //  $250.00 //  $575.00 // 
13338 //  Dig Dug //  $12.99 //  $47.37 //  $86.01 // 
2815 //  Donkey Kong //  $11.48 //  $31.99 //  $117.45 // 
2817 //  Donkey Kong Land //  $7.77 //  $23.01 //  $72.93 // 
2818 //  Donkey Kong Land 2 //  $7.99 //  $33.93 //  $124.85 // 
66727 //  "Donkey Kong Land 2 [Players Choice]" //  $4.76 //  $17.59 //  $40.45 // 
2819 //  Donkey Kong Land 3 //  $8.96 //  $37.28 //  $59.94 // 
66729 //  "Donkey Kong Land [Players Choice]" //   //   //   // 
66728 //  "Donkey Kong [Players Choice]" //  $16.95 //  $48.71 //  $112.04 // 
2820 //  Double Dragon //  $8.56 //  $55.00 //  $131.45 // 
13345 //  Double Dragon II The Revenge //  $9.99 //  $26.04 //  $88.52 // 
13346 //  Double Dragon III The Arcade Game //  $9.99 //  $74.90 //  $149.99 // 
13347 //  Double Dribble 5 on 5 //  $3.77 //  $24.35 //  $28.68 // 
13348 //  Dr. Franken //  $8.24 //  $54.00 //  $124.20 // 
13349 //  Dr. Franken II //  $17.37 //  $144.52 //  $195.40 // 
2822 //  Dr. Mario //  $6.48 //  $15.34 //  $68.00 // 
34012 //  "Dragons Lair: The Legend" //  $7.54 //  $31.25 //  $78.49 // 
13352 //  Dragonheart Fire & Steel //  $10.71 //  $48.00 //  $100.00 // 
2835 //  Duck Tales //  $12.74 //  $52.73 //  $152.58 // 
2836 //  Duck Tales 2 //  $16.99 //  $53.59 //  $120.52 // 
13357 //  Earthworm Jim //  $9.20 //  $32.39 //  $80.50 // 
13358 //  Elevator Action //  $14.46 //  $31.99 //  $82.00 // 
13359 //  Elite Soccer //  $14.42 //  $85.91 //  $197.58 // 
21132 //  Exodus: Journey to the Promised Land //  $16.77 //  $32.03 //  $133.14 // 
13360 //  Extra Bases //  $6.21 //  $35.50 //  $81.00 // 
16874 //  Extreme Green Game Boy Pocket LE //  $26.92 //  $59.75 //  $183.50 // 
66942 //  F-1 Race [Four Player Adapter] //   //   //   // 
8930 //  F-15 Strike Eagle //  $7.46 //  $19.27 //  $45.04 // 
37335 //  F1 Pole Position //  $146.04 //  $286.21 //  $658.28 // 
14150 //  F1 Race //  $5.46 //  $12.99 //  $34.92 // 
46434 //  FIFA International Soccer //  $7.07 //  $30.00 //  $59.95 // 
21081 //  "FIFA Soccer 96" //  $12.28 //  $32.49 //  $44.69 // 
13362 //  FIFA Soccer 97 //  $8.02 //  $28.06 //  $64.47 // 
10441 //  Faceball 2000 //  $17.52 //  $21.89 //  $39.18 // 
13363 //  Fastest Lap //  $25.00 //  $164.50 //  $211.79 // 
13364 //  Felix the Cat //  $55.00 //  $300.10 //  $690.07 // 
13365 //  Ferrari Grand Prix Challenge //  $5.76 //  $36.72 //  $66.42 // 
2844 //  Final Fantasy Adventure //  $24.65 //  $71.99 //  $159.99 // 
2845 //  Final Fantasy Legend //  $14.02 //  $46.72 //  $151.76 // 
2846 //  Final Fantasy Legend 2 //  $18.20 //  $48.40 //  $96.00 // 
2847 //  Final Fantasy Legend 3 //  $13.99 //  $50.08 //  $122.99 // 
34770 //  Fish Dude //  $22.74 //  $102.37 //  $235.45 // 
13366 //  Fist of the North Star //  $7.67 //  $20.52 //  $68.08 // 
13469 //  Flintstones King Rock Treasure Island //  $32.48 //  $172.57 //  $457.99 // 
13470 //  Flintstones the Movie //  $5.09 //  $28.07 //  $88.72 // 
37843 //  Flipull //  $6.07 //  $19.95 //  $48.95 // 
13368 //  Foreman for Real //  $4.14 //  $16.88 //  $34.09 // 
