2888 //  007 James Bond //  $6.45 //  $22.33 //  $148.50 // 
66732 //  "007 James Bond [Players Choice]" //  $9.97 //  $34.90 //  $84.75 // 
31328 //  2 In 1: Flying Warriors / Fighting Simulator //  $9.11 //  $19.57 //  $32.22 // 
13259 //  4 in 1 Funpak //  $3.31 //  $10.96 //  $23.09 // 
13260 //  4 in 1 Funpak Volume II //  $4.72 //  $8.85 //  $18.02 // 
13461 //  Addams Family //  $7.99 //  $42.47 //  $61.26 // 
13462 //  "Addams Family Pugsleys Scavenger Hunt" //  $19.65 //  $80.37 //  $250.00 // 
7259 //  Adventure Island //  $12.49 //  $43.65 //  $109.99 // 
7260 //  Adventure Island II //  $11.25 //  $51.53 //  $215.01 // 
13263 //  Adventures of Star Saver //  $18.91 //  $191.52 //  $222.48 // 
13264 //  Aerostar //  $33.02 //  $86.58 //  $201.64 // 
18572 //  Aladdin //  $7.49 //  $33.58 //  $72.00 // 
2737 //  Alfred Chicken //  $11.24 //  $120.61 //  $130.06 // 
34778 //  Alien 3 //  $18.78 //  $54.85 //  $126.15 // 
13266 //  Alien vs Predator //  $11.04 //  $54.99 //  $137.62 // 
13267 //  All-Star Baseball 99 //  $8.00 //  $87.05 //  $199.99 // 
2740 //  Alleyway //  $5.56 //  $14.69 //  $37.56 // 
13268 //  Altered Space //  $9.33 //  $52.50 //  $189.82 // 
13269 //  Amazing Penguin //  $18.09 //  $85.24 //  $200.00 // 
13464 //  Amazing Spiderman //  $6.69 //  $20.25 //  $93.31 // 
13465 //  Amazing Spiderman 2 //  $9.72 //  $37.45 //  $87.54 // 
32749 //  Amazing Tater //  $248.05 //  $1028.24 //  $2364.95 // 
2743 //  Animaniacs //  $7.53 //  $33.30 //  $101.20 // 
12094 //  Arcade Classic 2: Centipede and Millipede //  $5.80 //  $14.24 //  $15.26 // 
2746 //  Arcade Classic 3: Galaga and Galaxian //  $7.92 //  $16.48 //  $32.86 // 
37588 //  Arcade Classic 4: Defender and Joust //  $6.49 //  $9.34 //  $31.83 // 
2747 //  Arcade Classic: Asteroids and Missile Command //  $5.37 //  $12.64 //  $14.66 // 
18488 //  Arcade Classic: Super Breakout and Battlezone //  $5.97 //  $14.36 //  $15.45 // 
21154 //  Asteroids //  $5.96 //  $24.57 //  $50.75 // 
13273 //  Atomic Punk //  $14.00 //  $109.00 //  $241.64 // 
13416 //  Attack of the Killer Tomatoes //  $16.10 //  $64.95 //  $200.00 // 
2754 //  Avenging Spirit //  $97.50 //  $256.20 //  $750.00 // 
10440 //  Balloon Kid //  $12.00 //  $46.14 //  $52.72 // 
13283 //  Barbie Game Girl //  $9.33 //  $39.99 //  $85.10 // 
13284 //  "Bart Simpsons Escape from Camp Deadly" //  $8.17 //  $28.60 //  $87.58 // 
12538 //  Baseball //  $2.87 //  $17.58 //  $87.12 // 
13286 //  Bases Loaded //  $4.99 //  $13.00 //  $74.69 // 
8571 //  Batman Forever //  $6.85 //  $28.12 //  $43.15 // 
2760 //  Batman the Series //  $23.99 //  $147.26 //  $206.55 // 
13288 //  Batman the Video Game //  $11.45 //  $20.39 //  $150.00 // 
18680 //  Batman: Return of the Joker //  $13.14 //  $61.02 //  $138.75 // 
13289 //  Battle Arena Toshinden //  $10.68 //  $27.20 //  $46.75 // 
20091 //  Battle Bull //  $14.48 //  $34.22 //  $97.19 // 
21133 //  Battle Unit Zeoth //  $12.99 //  $95.14 //  $97.95 // 
21153 //  Battleship //  $5.00 //  $13.99 //  $20.00 // 
2764 //  Battletoads //  $12.48 //  $43.05 //  $205.90 // 
16262 //  Battletoads & Double Dragon //  $27.63 //  $315.00 //  $315.00 // 
13290 //  "Battletoads in Ragnaroks World" //  $17.72 //  $135.32 //  $316.11 // 
13291 //  Beavis and Butthead //  $22.94 //  $56.51 //  $108.64 // 
18684 //  Beetlejuice //  $31.62 //  $45.64 //  $120.50 // 
13389 //  Berlitz French Translator //  $9.24 //  $13.34 //  $25.70 // 
13292 //  Best of the Best Championship Karate //  $7.16 //  $31.01 //  $50.35 // 
34826 //  "Bill Elliotts NASCAR Fast Tracks" //  $6.03 //  $19.99 //  $45.98 // 
13293 //  "Bill and Teds Excellent Adventure" //  $10.25 //  $44.53 //  $102.42 // 
35215 //  Bionic Battler //  $6.39 //  $19.54 //  $44.99 // 
2767 //  Bionic Commando //  $31.98 //  $114.95 //  $290.88 // 
13295 //  Black Bass Lure Fishing //  $3.76 //  $16.17 //  $99.95 // 
16873 //  Black Game Boy Pocket //  $30.14 //  $61.70 //  $280.50 // 
13296 //  Blades of Steel //  $3.97 //  $20.29 //  $37.97 // 
13298 //  Blaster Master Boy //  $43.49 //  $157.87 //  $363.10 // 
16870 //  Blue Game Boy Pocket //  $25.58 //  $64.10 //  $217.43 // 
37355 //  Blues Brothers //  $21.92 //  $81.00 //  $186.30 // 
13302 //  Bo Jackson Hit and Run //  $3.42 //  $7.06 //  $12.99 // 
13304 //  Boggle Plus //  $4.89 //  $11.41 //  $40.00 // 
2772 //  Bomberman //  $8.20 //  $24.24 //  $84.39 // 
13307 //  "Bonks Adventure" //  $18.03 //  $92.29 //  $162.25 // 
13308 //  "Bonks Revenge" //  $29.99 //  $131.48 //  $150.49 // 
13309 //  "Boomers Adventure in Asmik World" //  $6.11 //  $24.44 //  $100.00 // 
13310 //  Boxxle //  $8.16 //  $27.11 //  $63.70 // 
13311 //  Boxxle II //  $20.00 //  $99.28 //  $349.98 // 
13312 //  Brain Drain //  $4.61 //  $16.13 //  $23.63 // 
13313 //  Brainbender //  $5.14 //  $17.97 //  $32.96 // 
13314 //  "Bram Stokers Dracula" //  $11.93 //  $46.83 //  $107.87 // 
18559 //  BreakThru //  $7.00 //  $14.49 //  $33.34 // 
34782 //  Bubble Bobble //  $17.00 //  $82.88 //  $173.81 // 
13315 //  Bubble Bobble Part 2 //  $23.98 //  $76.04 //  $135.11 // 
13316 //  Bubble Ghost //  $16.00 //  $70.00 //  $99.95 // 
7283 //  Bubsy II //  $8.59 //  $72.56 //  $76.06 // 
2796 //  Bugs Bunny Crazy Castle //  $6.74 //  $20.99 //  $49.99 // 
11970 //  Bugs Bunny Crazy Castle 2 //  $5.48 //  $14.97 //  $56.40 // 
33798 //  Burai Fighter Deluxe //  $12.47 //  $36.58 //  $84.13 // 
2777 //  Burgertime Deluxe //  $9.09 //  $36.59 //  $66.95 // 
13318 //  Bust-a-Move 2 Arcade Edition //  $12.99 //  $30.45 //  $72.54 // 
13319 //  Buster Bros //  $28.92 //  $170.44 //  $243.48 // 
2780 //  "Caesars Palace" //  $3.13 //  $9.00 //  $17.99 // 
34962 //  Caesars Palace (Arcadia) //  $2.05 //  $7.53 //  $17.33 // 
36789 //  Captain America and the Avengers //  $45.87 //  $269.95 //  $455.52 // 
13321 //  Casino FunPak //  $2.47 //  $9.99 //  $20.99 // 
34005 //  Casper //  $4.58 //  $19.67 //  $76.92 // 
13322 //  Castelian //  $14.51 //  $41.22 //  $111.50 // 
2786 //  Castlevania Adventure //  $13.43 //  $74.99 //  $233.09 // 
66725 //  "Castlevania Adventure [Players Choice]" //   //   //   // 
2785 //  "Castlevania II Belmonts Revenge" //  $34.16 //  $182.48 //  $369.69 // 
66726 //  "Castlevania II Belmonts Revenge [Players Choice]" //   //   //   // 
13323 //  Castlevania Legends //  $97.41 //  $366.24 //  $827.99 // 
66749 //  "Castlevania Legends [Players Choice]" //   //   //   // 
20785 //  Catrap //  $19.02 //  $48.91 //  $108.47 // 
21152 //  Centipede //  $5.54 //  $15.65 //  $35.99 // 
39514 //  Centipede [Accolade] //  $48.60 //  $98.91 //  $227.49 // 
13324 //  Championship Pool //  $5.75 //  $11.74 //  $26.57 // 
18549 //  Chase HQ //  $6.99 //  $26.65 //  $80.99 // 
15801 //  Chessmaster //  $5.30 //  $17.19 //  $34.99 // 
13326 //  Choplifter  II //  $10.99 //  $18.17 //  $18.95 // 
13327 //  Chuck Rock //  $18.38 //  $120.50 //  $235.71 // 
40310 //  Clear Game Boy Pocket  //  $29.95 //  $104.83 //  $254.58 // 
13328 //  Cliffhanger //  $6.76 //  $31.56 //  $100.00 // 
13329 //  College Slam //  $3.98 //  $14.26 //  $41.14 // 
13330 //  Contra the Alien Wars //  $25.48 //  $150.00 //  $270.05 // 
34779 //  Cool Ball //  $72.32 //  $296.75 //  $460.34 // 
14076 //  Cool Spot //  $10.75 //  $39.17 //  $162.71 // 
31617 //  Cool World //  $45.92 //  $173.86 //  $399.00 // 
34850 //  Cosmo Tank //  $9.99 //  $46.25 //  $46.49 // 
34780 //  Crystal Quest //  $12.73 //  $38.34 //  $45.00 // 
13332 //  Cutthroat Island //  $9.15 //  $27.76 //  $39.00 // 
31520 //  Cyraid //  $22.94 //  $26.61 //  $73.75 // 
19369 //  Daedalian Opus //  $5.09 //  $22.85 //  $41.25 // 
8800 //  Daffy Duck //  $8.65 //  $59.99 //  $109.45 // 
18620 //  Darkman //  $84.59 //  $310.37 //  $714.03 // 
13333 //  Darkwing Duck //  $19.53 //  $93.02 //  $194.38 // 
13334 //  Days of Thunder //  $12.17 //  $55.26 //  $71.04 // 
13335 //  Dead Heat Scramble //  $5.22 //  $20.21 //  $44.37 // 
2809 //  Dennis the Menace //  $6.52 //  $126.63 //  $280.00 // 
14958 //  Desert Strike Return to the Gulf //  $11.70 //  $16.00 //  $85.00 // 
14164 //  Dexterity //  $6.92 //  $35.14 //  $49.84 // 
13337 //  Dick Tracy //  $46.60 //  $160.44 //  $389.96 // 
13338 //  Dig Dug //  $14.68 //  $43.18 //  $86.01 // 
2815 //  Donkey Kong //  $12.50 //  $40.00 //  $119.09 // 
2817 //  Donkey Kong Land //  $8.99 //  $25.00 //  $67.99 // 
2818 //  Donkey Kong Land 2 //  $7.87 //  $33.50 //  $163.19 // 
66727 //  "Donkey Kong Land 2 [Players Choice]" //  $4.76 //  $17.59 //  $40.45 // 
2819 //  Donkey Kong Land 3 //  $10.43 //  $34.00 //  $63.00 // 
66729 //  "Donkey Kong Land [Players Choice]" //   //   //   // 
66728 //  "Donkey Kong [Players Choice]" //  $18.46 //  $37.45 //  $55.00 // 
2820 //  Double Dragon //  $8.52 //  $60.00 //  $131.45 // 
13345 //  Double Dragon II The Revenge //  $9.29 //  $28.18 //  $88.57 // 
13346 //  Double Dragon III The Arcade Game //  $10.62 //  $74.90 //  $149.99 // 
13347 //  Double Dribble 5 on 5 //  $4.89 //  $29.99 //  $30.03 // 
13348 //  Dr. Franken //  $8.09 //  $41.48 //  $135.64 // 
13349 //  Dr. Franken II //  $19.63 //  $89.99 //  $193.54 // 
2822 //  Dr. Mario //  $7.38 //  $14.49 //  $91.35 // 
34012 //  "Dragons Lair: The Legend" //  $7.59 //  $30.73 //  $174.77 // 
13352 //  Dragonheart Fire & Steel //  $10.77 //  $50.45 //  $100.00 // 
2835 //  Duck Tales //  $11.34 //  $60.00 //  $127.29 // 
2836 //  Duck Tales 2 //  $17.29 //  $66.07 //  $117.33 // 
13357 //  Earthworm Jim //  $8.94 //  $33.85 //  $80.50 // 
13358 //  Elevator Action //  $13.97 //  $35.64 //  $82.00 // 
13359 //  Elite Soccer //  $14.59 //  $85.91 //  $197.58 // 
21132 //  Exodus: Journey to the Promised Land //  $14.50 //  $32.03 //  $132.39 // 
13360 //  Extra Bases //  $6.97 //  $36.26 //  $81.00 // 
16874 //  Extreme Green Game Boy Pocket LE //  $25.99 //  $27.99 //  $57.08 // 
8930 //  F-15 Strike Eagle //  $7.52 //  $19.24 //  $44.26 // 
37335 //  F1 Pole Position //  $150.00 //  $286.21 //  $658.28 // 
14150 //  F1 Race //  $4.56 //  $15.50 //  $29.93 // 
66942 //  F1 Race [Four Player Adapter Bundle] //   //   //   // 
46434 //  FIFA International Soccer //  $7.39 //  $30.00 //  $59.95 // 
21081 //  "FIFA Soccer 96" //  $12.44 //  $32.19 //  $43.16 // 
13362 //  FIFA Soccer 97 //  $8.13 //  $28.42 //  $65.36 // 
10441 //  Faceball 2000 //  $15.34 //  $29.99 //  $39.18 // 
13363 //  Fastest Lap //  $26.97 //  $138.47 //  $229.23 // 
13364 //  Felix the Cat //  $50.00 //  $55.99 //  $501.48 // 
13365 //  Ferrari Grand Prix Challenge //  $6.00 //  $36.84 //  $66.42 // 
2844 //  Final Fantasy Adventure //  $24.00 //  $41.50 //  $159.55 // 
2845 //  Final Fantasy Legend //  $13.52 //  $49.22 //  $151.76 // 
2846 //  Final Fantasy Legend 2 //  $16.66 //  $48.83 //  $103.40 // 
2847 //  Final Fantasy Legend 3 //  $17.58 //  $51.91 //  $125.00 // 
34770 //  Fish Dude //  $22.74 //  $102.37 //  $1700.00 // 
13366 //  Fist of the North Star //  $7.29 //  $24.65 //  $67.80 // 
13469 //  Flintstones King Rock Treasure Island //  $33.99 //  $157.98 //  $458.46 // 
13470 //  Flintstones the Movie //  $5.52 //  $30.00 //  $88.36 // 
37843 //  Flipull //  $5.87 //  $21.28 //  $48.95 // 
13368 //  Foreman for Real //  $4.96 //  $16.88 //  $34.95 // 
13369 //  Fortified Zone //  $8.09 //  $18.65 //  $60.80 // 
11844 //  Fortress of Fear //  $6.51 //  $30.72 //  $65.05 // 
36522 //  Four Player Adapter //  $5.15 //  $19.04 //  $43.79 // 
13370 //  Frank Thomas Big Hurt Baseball //  $1.34 //  $24.99 //  $66.65 // 
39982 //  Frogger //  $6.50 //  $17.79 //  $39.99 // 
13371 //  "Frommers Travel Guide" //  $6.90 //  $13.04 //  $22.00 // 
20088 //  Game Boy Printer //  $20.54 //  $40.84 //  $60.57 // 
18479 //  Game Genie for Gameboy //  $12.62 //  $32.38 //  $74.47 // 
2851 //  Game and Watch Gallery //  $5.82 //  $19.31 //  $65.74 // 
35382 //  Game of Harmony //  $6.82 //  $10.48 //  $70.56 // 
2204 //  Gameboy Camera //  $15.66 //  $36.15 //  $44.65 // 
58004 //  Gameboy Cleaning Kit //  $1.99 //  $7.17 //  $16.50 // 
39945 //  Gameboy Light //  $21.99 //  $34.99 //  $186.92 // 
67297 //  Gameboy Rechargeable Battery Pack/AC Adapter //   //   //   // 
67311 //  Gameboy System [Clear Play It Loud] //  $59.99 //  $209.97 //  $509.92 // 
2856 //  "Gargoyles Quest" //  $25.18 //  $88.13 //  $179.99 // 
2857 //  Gauntlet II //  $11.90 //  $39.41 //  $90.53 // 
18694 //  Gear Works //  $12.04 //  $28.95 //  $66.57 // 
