2888 //  007 James Bond //  $6.65 //  $25.25 //  $148.50 // 
66732 //  "007 James Bond [Players Choice]" //  $9.97 //  $34.90 //  $84.75 // 
31328 //  2 In 1: Flying Warriors / Fighting Simulator //  $9.11 //  $19.60 //  $32.22 // 
13259 //  4 in 1 Funpak //  $3.33 //  $10.96 //  $23.10 // 
13260 //  4 in 1 Funpak Volume II //  $4.99 //  $8.56 //  $18.01 // 
13461 //  Addams Family //  $7.99 //  $42.38 //  $61.26 // 
13462 //  "Addams Family Pugsleys Scavenger Hunt" //  $19.65 //  $80.37 //  $250.00 // 
7259 //  Adventure Island //  $12.47 //  $41.06 //  $109.99 // 
7260 //  Adventure Island II //  $11.32 //  $51.48 //  $214.89 // 
13263 //  Adventures of Star Saver //  $18.92 //  $191.65 //  $222.48 // 
13264 //  Aerostar //  $32.99 //  $85.77 //  $198.72 // 
18572 //  Aladdin //  $7.65 //  $33.57 //  $72.00 // 
2737 //  Alfred Chicken //  $11.24 //  $122.95 //  $130.06 // 
34778 //  Alien 3 //  $19.65 //  $54.85 //  $126.15 // 
13266 //  Alien vs Predator //  $11.05 //  $54.99 //  $137.62 // 
13267 //  All-Star Baseball 99 //  $8.00 //  $87.00 //  $199.99 // 
2740 //  Alleyway //  $5.64 //  $14.69 //  $37.57 // 
13268 //  Altered Space //  $9.57 //  $52.50 //  $189.82 // 
13269 //  Amazing Penguin //  $18.09 //  $85.24 //  $200.00 // 
13464 //  Amazing Spiderman //  $6.42 //  $20.00 //  $92.06 // 
13465 //  Amazing Spiderman 2 //  $9.72 //  $37.45 //  $86.49 // 
32749 //  Amazing Tater //  $248.26 //  $1028.24 //  $2364.95 // 
2743 //  Animaniacs //  $7.95 //  $33.36 //  $100.96 // 
12094 //  Arcade Classic 2: Centipede and Millipede //  $5.80 //  $14.24 //  $15.26 // 
2746 //  Arcade Classic 3: Galaga and Galaxian //  $7.98 //  $15.27 //  $32.86 // 
37588 //  Arcade Classic 4: Defender and Joust //  $6.50 //  $9.36 //  $31.83 // 
2747 //  Arcade Classic: Asteroids and Missile Command //  $5.64 //  $12.66 //  $14.74 // 
18488 //  Arcade Classic: Super Breakout and Battlezone //  $5.99 //  $14.35 //  $15.44 // 
21154 //  Asteroids //  $5.96 //  $24.57 //  $50.69 // 
13273 //  Atomic Punk //  $15.74 //  $109.00 //  $241.64 // 
13416 //  Attack of the Killer Tomatoes //  $16.10 //  $64.95 //  $200.00 // 
2754 //  Avenging Spirit //  $97.50 //  $242.50 //  $750.00 // 
10440 //  Balloon Kid //  $11.74 //  $45.80 //  $52.72 // 
13283 //  Barbie Game Girl //  $8.94 //  $39.99 //  $80.76 // 
13284 //  "Bart Simpsons Escape from Camp Deadly" //  $7.57 //  $28.60 //  $87.50 // 
12538 //  Baseball //  $3.51 //  $15.49 //  $87.03 // 
13286 //  Bases Loaded //  $4.99 //  $13.00 //  $74.69 // 
8571 //  Batman Forever //  $6.70 //  $28.12 //  $43.12 // 
2760 //  Batman the Series //  $24.26 //  $144.92 //  $204.58 // 
13288 //  Batman the Video Game //  $11.98 //  $20.39 //  $150.00 // 
18680 //  Batman: Return of the Joker //  $13.14 //  $60.64 //  $138.75 // 
13289 //  Battle Arena Toshinden //  $10.50 //  $27.19 //  $46.75 // 
20091 //  Battle Bull //  $16.10 //  $34.22 //  $97.19 // 
21133 //  Battle Unit Zeoth //  $12.95 //  $95.03 //  $97.95 // 
21153 //  Battleship //  $5.59 //  $13.99 //  $20.00 // 
2764 //  Battletoads //  $12.30 //  $43.05 //  $205.55 // 
16262 //  Battletoads & Double Dragon //  $29.77 //  $315.00 //  $315.00 // 
13290 //  "Battletoads in Ragnaroks World" //  $17.72 //  $134.89 //  $316.11 // 
13291 //  Beavis and Butthead //  $22.01 //  $56.48 //  $108.64 // 
18684 //  Beetlejuice //  $31.62 //  $45.61 //  $120.50 // 
13389 //  Berlitz French Translator //  $9.19 //  $13.35 //  $25.65 // 
13292 //  Best of the Best Championship Karate //  $7.75 //  $31.01 //  $50.35 // 
34826 //  "Bill Elliotts NASCAR Fast Tracks" //  $6.03 //  $19.99 //  $45.98 // 
13293 //  "Bill and Teds Excellent Adventure" //  $10.15 //  $44.53 //  $102.42 // 
35215 //  Bionic Battler //  $6.40 //  $9.99 //  $44.99 // 
2767 //  Bionic Commando //  $31.13 //  $114.05 //  $264.62 // 
13295 //  Black Bass Lure Fishing //  $3.76 //  $16.17 //  $99.95 // 
16873 //  Black Game Boy Pocket //  $30.14 //  $61.31 //  $280.50 // 
13296 //  Blades of Steel //  $4.34 //  $20.29 //  $37.89 // 
13298 //  Blaster Master Boy //  $43.49 //  $157.87 //  $363.10 // 
16870 //  Blue Game Boy Pocket //  $25.58 //  $64.09 //  $217.43 // 
37355 //  Blues Brothers //  $21.92 //  $81.00 //  $186.30 // 
13302 //  Bo Jackson Hit and Run //  $3.42 //  $7.03 //  $12.99 // 
13304 //  Boggle Plus //  $4.88 //  $11.41 //  $40.00 // 
2772 //  Bomberman //  $8.97 //  $24.29 //  $84.36 // 
13307 //  "Bonks Adventure" //  $18.00 //  $80.75 //  $162.25 // 
13308 //  "Bonks Revenge" //  $29.89 //  $131.48 //  $150.12 // 
13309 //  "Boomers Adventure in Asmik World" //  $6.12 //  $24.44 //  $100.00 // 
13310 //  Boxxle //  $8.08 //  $27.11 //  $63.97 // 
13311 //  Boxxle II //  $20.00 //  $100.48 //  $349.98 // 
13312 //  Brain Drain //  $4.61 //  $12.99 //  $23.65 // 
13313 //  Brainbender //  $5.16 //  $17.97 //  $32.97 // 
13314 //  "Bram Stokers Dracula" //  $11.96 //  $46.59 //  $107.43 // 
18559 //  BreakThru //  $6.64 //  $14.49 //  $33.34 // 
34782 //  Bubble Bobble //  $15.24 //  $82.88 //  $160.28 // 
13315 //  Bubble Bobble Part 2 //  $24.50 //  $76.04 //  $135.11 // 
13316 //  Bubble Ghost //  $17.03 //  $70.00 //  $99.95 // 
7283 //  Bubsy II //  $8.59 //  $72.47 //  $74.54 // 
2796 //  Bugs Bunny Crazy Castle //  $6.64 //  $20.99 //  $49.99 // 
11970 //  Bugs Bunny Crazy Castle 2 //  $5.29 //  $14.97 //  $55.25 // 
33798 //  Burai Fighter Deluxe //  $11.86 //  $39.22 //  $84.27 // 
2777 //  Burgertime Deluxe //  $9.99 //  $36.59 //  $66.95 // 
13318 //  Bust-a-Move 2 Arcade Edition //  $12.99 //  $30.38 //  $72.54 // 
13319 //  Buster Bros //  $29.73 //  $170.44 //  $247.53 // 
2780 //  "Caesars Palace" //  $3.38 //  $8.38 //  $17.99 // 
34962 //  Caesars Palace (Arcadia) //  $2.05 //  $7.53 //  $17.33 // 
