2888 //  007 James Bond //  $8.09 //  $25.01 //  $148.50 // 
66732 //  "007 James Bond [Players Choice]" //  $6.99 //  $34.90 //  $80.27 // 
31328 //  2 In 1: Flying Warriors / Fighting Simulator //  $9.11 //  $19.66 //  $32.22 // 
13259 //  4 in 1 Funpak //  $3.40 //  $9.53 //  $22.10 // 
13260 //  4 in 1 Funpak Volume II //  $4.99 //  $9.61 //  $22.16 // 
13461 //  Addams Family //  $9.75 //  $29.99 //  $61.26 // 
13462 //  "Addams Family Pugsleys Scavenger Hunt" //  $19.65 //  $50.41 //  $286.39 // 
7259 //  Adventure Island //  $12.24 //  $41.06 //  $189.00 // 
7260 //  Adventure Island II //  $13.63 //  $51.46 //  $214.52 // 
13263 //  Adventures of Star Saver //  $19.99 //  $196.50 //  $223.25 // 
13264 //  Aerostar //  $31.54 //  $68.58 //  $189.32 // 
18572 //  Aladdin //  $8.07 //  $33.66 //  $78.49 // 
2737 //  Alfred Chicken //  $11.98 //  $123.72 //  $130.06 // 
34778 //  Alien 3 //  $24.17 //  $59.95 //  $121.85 // 
13266 //  Alien vs Predator //  $13.09 //  $54.99 //  $134.95 // 
13267 //  All-Star Baseball 99 //  $6.67 //  $73.64 //  $199.99 // 
2740 //  Alleyway //  $6.43 //  $14.32 //  $38.24 // 
13268 //  Altered Space //  $9.50 //  $53.61 //  $267.29 // 
13269 //  Amazing Penguin //  $17.77 //  $85.24 //  $200.00 // 
13464 //  Amazing Spiderman //  $6.13 //  $19.95 //  $148.76 // 
13465 //  Amazing Spiderman 2 //  $9.85 //  $51.84 //  $115.71 // 
32749 //  Amazing Tater //  $255.00 //  $1028.24 //  $2364.95 // 
2743 //  Animaniacs //  $7.94 //  $33.38 //  $100.35 // 
12094 //  Arcade Classic 2: Centipede and Millipede //  $6.99 //  $13.35 //  $15.88 // 
2746 //  Arcade Classic 3: Galaga and Galaxian //  $10.28 //  $16.68 //  $32.86 // 
37588 //  Arcade Classic 4: Defender and Joust //  $7.47 //  $9.39 //  $57.30 // 
2747 //  Arcade Classic: Asteroids and Missile Command //  $6.99 //  $11.08 //  $14.74 // 
18488 //  Arcade Classic: Super Breakout and Battlezone //  $6.09 //  $14.38 //  $15.44 // 
21154 //  Asteroids //  $4.40 //  $24.57 //  $52.87 // 
13273 //  Atomic Punk //  $15.99 //  $109.00 //  $241.64 // 
13416 //  Attack of the Killer Tomatoes //  $15.96 //  $43.95 //  $200.00 // 
2754 //  Avenging Spirit //  $97.63 //  $341.79 //  $784.08 // 
10440 //  Balloon Kid //  $10.84 //  $45.85 //  $52.72 // 
13283 //  Barbie Game Girl //  $9.06 //  $39.99 //  $75.70 // 
13284 //  "Bart Simpsons Escape from Camp Deadly" //  $8.47 //  $32.99 //  $87.48 // 
12538 //  Baseball //  $4.95 //  $13.76 //  $86.17 // 
13286 //  Bases Loaded //  $4.20 //  $12.98 //  $74.69 // 
8571 //  Batman Forever //  $6.87 //  $26.99 //  $43.04 // 
2760 //  Batman the Series //  $24.99 //  $192.29 //  $211.68 // 
13288 //  Batman the Video Game //  $14.75 //  $20.39 //  $81.00 // 
18680 //  Batman: Return of the Joker //  $16.32 //  $60.51 //  $138.75 // 
13289 //  Battle Arena Toshinden //  $12.15 //  $26.49 //  $46.75 // 
20091 //  Battle Bull //  $15.99 //  $42.43 //  $97.58 // 
21133 //  Battle Unit Zeoth //  $13.43 //  $95.38 //  $97.95 // 
21153 //  Battleship //  $5.71 //  $15.75 //  $20.00 // 
2764 //  Battletoads //  $13.75 //  $40.61 //  $203.31 // 
16262 //  Battletoads & Double Dragon //  $35.00 //  $315.00 //  $315.00 // 
13290 //  "Battletoads in Ragnaroks World" //  $15.00 //  $137.44 //  $316.11 // 
13291 //  Beavis and Butthead //  $22.48 //  $74.13 //  $108.64 // 
18684 //  Beetlejuice //  $31.47 //  $45.61 //  $120.50 // 
13389 //  Berlitz French Translator //  $9.35 //  $13.36 //  $25.47 // 
13292 //  Best of the Best Championship Karate //  $8.41 //  $35.79 //  $102.62 // 
34826 //  "Bill Elliotts NASCAR Fast Tracks" //  $5.97 //  $19.99 //  $31.00 // 
13293 //  "Bill and Teds Excellent Adventure" //  $9.72 //  $44.53 //  $102.42 // 
35215 //  Bionic Battler //  $8.13 //  $9.99 //  $44.99 // 
2767 //  Bionic Commando //  $31.98 //  $118.39 //  $271.05 // 
13295 //  Black Bass Lure Fishing //  $4.41 //  $16.67 //  $69.99 // 
16873 //  Black Game Boy Pocket //  $36.87 //  $67.00 //  $249.96 // 
13296 //  Blades of Steel //  $4.58 //  $22.53 //  $39.40 // 
13298 //  Blaster Master Boy //  $47.25 //  $176.36 //  $401.63 // 
16870 //  Blue Game Boy Pocket //  $25.58 //  $64.07 //  $217.43 // 
37355 //  Blues Brothers //  $23.40 //  $81.37 //  $186.30 // 
13302 //  Bo Jackson Hit and Run //  $2.88 //  $7.50 //  $12.99 // 
13304 //  Boggle Plus //  $4.68 //  $11.41 //  $39.99 // 
2772 //  Bomberman //  $9.43 //  $24.29 //  $84.26 // 
13307 //  "Bonks Adventure" //  $18.00 //  $86.31 //  $160.76 // 
13308 //  "Bonks Revenge" //  $33.87 //  $131.48 //  $149.51 // 
