3780 //  007 GoldenEye //  $35.87 //  $49.89 //  $235.00 // 
3754 //  Extreme G //  $6.86 //  $23.16 //  $57.02 // 
36982 //  Extreme Green Controller //  $44.81 //  $116.18 //  $313.67 // 
3764 //  F-Zero X //  $19.99 //  $60.00 //  $208.77 // 
14430 //  F1 Pole Position 64 //  $3.98 //  $15.12 //  $34.67 // 
68891 //  F1 Racing Championship //   //   //   // 
3755 //  F1 World Grand Prix //  $5.20 //  $14.64 //  $27.24 // 
3756 //  FIFA 64 //  $5.92 //  $16.31 //  $66.46 // 
3758 //  FIFA 99 //  $9.92 //  $18.99 //  $53.24 // 
10909 //  FIFA Road to World Cup 98 //  $8.99 //  $18.99 //  $55.24 // 
14431 //  "FOX Sports College Hoops 99" //  $5.12 //  $12.57 //  $23.51 // 
3760 //  Fighter Destiny 2 //  $17.58 //  $52.72 //  $141.20 // 
3759 //  Fighters Destiny //  $9.93 //  $29.99 //  $83.19 // 
3761 //  Fighting Force 64 //  $23.00 //  $66.43 //  $287.99 // 
3690 //  Fire Orange Controller //  $39.00 //  $59.59 //  $160.89 // 
3762 //  Flying Dragon //  $15.81 //  $79.95 //  $219.07 // 
3763 //  Forsaken 64 //  $7.16 //  $20.13 //  $41.69 // 
14390 //  Funtastic Fire Orange Nintendo 64 System //  $118.89 //  $141.39 //  $1119.37 // 
3782 //  Funtastic Grape Purple Nintendo 64 System //  $116.85 //  $136.63 //  $765.59 // 
10588 //  Funtastic Ice Blue Nintendo 64 System //  $107.23 //  $124.98 //  $499.25 // 
3689 //  Funtastic Jungle Green Nintendo 64 System //  $111.39 //  $119.99 //  $598.05 // 
13000 //  Funtastic Smoke Black Nintendo 64 System //  $136.41 //  $226.88 //  $612.58 // 
3693 //  Funtastic Watermelon Red Nintendo 64 System //  $140.31 //  $150.00 //  $453.75 // 
3787 //  GT 64 //  $8.34 //  $24.72 //  $76.25 // 
3765 //  Gameboy Transfer Pak //  $10.44 //  $30.00 //  $81.00 // 
3766 //  Gameshark //  $20.47 //  $28.52 //  $76.52 // 
3767 //  Gameshark 2.0 //  $20.24 //  $25.87 //  $69.86 // 
3768 //  Gameshark 2.1 //  $18.30 //  $38.82 //  $104.82 // 
3769 //  Gameshark 2.2 //  $9.99 //  $45.81 //  $123.69 // 
3770 //  Gameshark Pro 3.0 //  $12.82 //  $22.00 //  $59.41 // 
3771 //  Gameshark Pro 3.2 //  $22.58 //  $64.77 //  $174.86 // 
3772 //  Gameshark Pro 3.3 //  $24.99 //  $44.99 //  $121.47 // 
3773 //  Gauntlet Legends //  $31.99 //  $50.30 //  $87.69 // 
47080 //  Gauntlet Legends [Figure Bundle] //  $50.14 //  $125.35 //  $350.99 // 
3774 //  Gex 3: Deep Cover Gecko //  $12.49 //  $36.95 //  $94.00 // 
3775 //  Gex 64 //  $12.86 //  $28.13 //  $60.00 // 
3776 //  Glover //  $11.72 //  $37.00 //  $99.78 // 
46394 //  Glover [T-Shirt Edition] //  $57.14 //  $148.14 //  $399.99 // 
3777 //  "Goemons Great Adventure" //  $54.41 //  $148.11 //  $386.27 // 
3778 //  Gold Controller //  $26.23 //  $52.45 //  $146.60 // 
10474 //  Gold Nintendo 64 System //  $112.91 //  $443.20 //  $1196.63 // 
34712 //  Gold Nintendo Power 100 Controller //  $139.88 //  $350.28 //  $979.09 // 
3779 //  Golden Nugget 64 //  $9.03 //  $19.40 //  $41.05 // 
3781 //  Grape Purple Controller //  $27.99 //  $62.50 //  $175.00 // 
3783 //  Gray Controller //  $20.54 //  $51.20 //  $138.24 // 
3784 //  Green Controller //  $16.73 //  $50.70 //  $136.85 // 
3788 //  Harvest Moon 64 //  $45.48 //  $119.99 //  $214.50 // 
3789 //  Hercules //  $15.58 //  $42.68 //  $75.23 // 
3790 //  Hexen //  $12.99 //  $32.48 //  $77.67 // 
3791 //  Hey You Pikachu //  $6.81 //  $59.99 //  $95.04 // 
45782 //  Hey You Pikachu [Micrphone Bundle] //  $32.31 //  $47.62 //  $103.00 // 
3793 //  Hot Wheels Turbo Racing //  $10.99 //  $22.81 //  $55.00 // 
3794 //  Hybrid Heaven //  $14.70 //  $31.00 //  $51.45 // 
3795 //  Hydro Thunder //  $29.99 //  $42.73 //  $102.01 // 
40355 //  Hydro Thunder [Gray Cart] //  $34.81 //  $36.61 //  $234.31 // 
3687 //  Ice Blue Controller //  $29.99 //  $31.09 //  $83.94 // 
3796 //  "Iggys Reckin Balls" //  $10.32 //  $29.73 //  $105.01 // 
3797 //  Indiana Jones Infernal Machine //  $54.08 //  $142.50 //  $370.66 // 
10904 //  Indy Racing 2000 //  $7.04 //  $18.87 //  $32.52 // 
16188 //  International Superstar Soccer 2000 //  $57.49 //  $183.08 //  $300.00 // 
3798 //  International Superstar Soccer 64 //  $12.95 //  $24.99 //  $119.87 // 
3799 //  International Superstar Soccer 98 //  $16.08 //  $41.40 //  $69.85 // 
3800 //  Jeopardy //  $8.50 //  $18.16 //  $49.99 // 
3801 //  Jeremy McGrath Supercross 2000 //  $5.90 //  $14.32 //  $33.78 // 
3802 //  Jet Force Gemini //  $9.94 //  $27.82 //  $99.75 // 
37548 //  Jet Force Gemini [Not for Resale] //  $55.25 //   //   // 
46990 //  Jumper Pak //  $6.22 //  $9.95 //  $26.87 // 
3688 //  Jungle Green Controller //  $34.60 //  $65.91 //  $177.96 // 
3803 //  Ken Griffey Jr Baseball //  $7.77 //  $13.86 //  $33.24 // 
3804 //  "Ken Griffey Jrs Slugfest" //  $8.02 //  $15.97 //  $38.22 // 
3805 //  Killer Instinct Gold //  $22.77 //  $61.91 //  $282.96 // 
3806 //  Kirby 64: The Crystal Shards //  $28.76 //  $80.46 //  $176.96 // 
3807 //  Knife Edge Nose Gunner //  $10.76 //  $23.21 //  $62.86 // 
3808 //  Knockout Kings 2000 //  $5.52 //  $13.00 //  $23.15 // 
3809 //  LEGO Racers //  $8.99 //  $20.84 //  $41.74 // 
3810 //  Lode Runner 3D //  $9.59 //  $20.51 //  $40.75 // 
3838 //  MRC Multi Racing Championship //  $4.70 //  $15.31 //  $44.74 // 
3811 //  Mace Dark Age //  $11.32 //  $34.13 //  $65.20 // 
3812 //  Madden 2000 //  $2.25 //  $11.22 //  $29.40 // 
3813 //  Madden 2001 //  $5.39 //  $12.05 //  $22.46 // 
3814 //  Madden 2002 //  $4.65 //  $21.45 //  $26.27 // 
14134 //  Madden 64 //  $3.08 //  $9.98 //  $24.73 // 
14212 //  Madden 99 //  $4.86 //  $10.99 //  $24.90 // 
3816 //  Magical Tetris Challenge //  $12.52 //  $38.88 //  $83.07 // 
3817 //  Mario Golf //  $28.73 //  $40.50 //  $141.27 // 
3818 //  Mario Kart 64 //  $44.99 //  $90.92 //  $294.40 // 
37549 //  Mario Kart 64 [Not for Resale] //  $112.35 //   //   // 
42331 //  "Mario Kart 64 [Players Choice]" //  $34.35 //  $71.68 //  $297.79 // 
3819 //  Mario Party //  $34.99 //  $77.00 //  $281.00 // 
3820 //  Mario Party 2 //  $48.44 //  $89.99 //  $418.24 // 
52684 //  Mario Party 2 [Not for Resale] //  $50.03 //   //   // 
3821 //  Mario Party 3 //  $49.99 //  $112.81 //  $215.92 // 
37526 //  Mario Party 3 [Not for Resale] //  $76.42 //   //   // 
52685 //  Mario Party [Not for Resale] //  $84.35 //   //   // 
3822 //  Mario Tennis //  $19.99 //  $30.49 //  $132.61 // 
37550 //  Mario Tennis [Not for Resale] //  $40.05 //   //   // 
3823 //  Mega Man 64 //  $30.99 //  $75.38 //  $148.75 // 
3825 //  Mia Hamm Soccer 64 //  $6.16 //  $15.65 //  $29.49 // 
3826 //  "Mickeys Speedway USA" //  $13.80 //  $30.56 //  $82.84 // 
3827 //  Micro Machines //  $13.15 //  $42.87 //  $164.19 // 
3828 //  "Midways Greatest Arcade Hits Vol 1" //  $8.75 //  $17.71 //  $29.74 // 
14432 //  "Mike Piazzas Strike Zone" //  $6.79 //  $20.00 //  $62.49 // 
38567 //  Millennium 2000 Controller //  $780.00 //  $2750.00 //  $7425.00 // 
3829 //  "Milos Astro Lanes" //  $8.56 //  $31.84 //  $67.65 // 
3830 //  Mischief Makers //  $19.33 //  $89.62 //  $138.75 // 
3831 //  Mission Impossible //  $5.81 //  $17.44 //  $54.60 // 
3832 //  Monaco Grand Prix //  $23.00 //  $39.99 //  $99.95 // 
3833 //  Monopoly //  $12.90 //  $17.97 //  $74.99 // 
3834 //  Monster Truck Madness //  $7.84 //  $22.68 //  $58.41 // 
3835 //  Mortal Kombat 4 //  $20.06 //  $42.59 //  $143.03 // 
3836 //  Mortal Kombat Mythologies: Sub-Zero //  $17.05 //  $46.75 //  $103.20 // 
3837 //  Mortal Kombat Trilogy //  $27.09 //  $62.92 //  $149.50 // 
3839 //  Ms. Pac-Man Maze Madness //  $12.59 //  $34.99 //  $64.99 // 
3840 //  Mystical Ninja Starring Goemon //  $48.54 //  $125.11 //  $437.50 // 
59710 //  N64 Controller Pak //  $10.99 //  $27.55 //  $76.93 // 
3824 //  N64 Memory Card //  $9.99 //  $19.99 //  $53.97 // 
3843 //  NASCAR 2000 //  $4.55 //  $13.86 //  $24.99 // 
3844 //  NASCAR 99 //  $4.97 //  $9.00 //  $26.47 // 
3845 //  NBA Courtside //  $8.04 //  $35.00 //  $82.56 // 
3846 //  NBA Courtside 2 //  $16.47 //  $61.84 //  $69.36 // 
3847 //  NBA Hang Time //  $14.50 //  $23.91 //  $73.21 // 
14433 //  NBA In The Zone 2000 //  $12.84 //  $108.93 //  $151.28 // 
14434 //  "NBA In the Zone 98" //  $2.61 //  $10.93 //  $28.06 // 
14435 //  "NBA In the Zone 99" //  $8.00 //  $19.90 //  $26.57 // 
3848 //  NBA Jam 2000 //  $13.70 //  $25.00 //  $45.70 // 
3849 //  NBA Jam 99 //  $9.47 //  $11.49 //  $32.65 // 
3850 //  NBA Live 2000 //  $4.81 //  $14.00 //  $25.39 // 
3851 //  NBA Live 99 //  $5.98 //  $11.48 //  $22.30 // 
3852 //  NBA Showtime //  $13.29 //  $20.75 //  $45.00 // 
3854 //  NFL Blitz //  $15.16 //  $24.60 //  $55.00 // 
3708 //  NFL Blitz 2000 //  $14.95 //  $20.58 //  $52.74 // 
3709 //  NFL Blitz 2001 //  $18.95 //  $26.99 //  $60.21 // 
3855 //  NFL Blitz Special Edition //  $44.91 //  $71.14 //  $112.29 // 
10451 //  NFL Quarterback Club 2000 //  $3.00 //  $7.50 //  $21.00 // 
3877 //  NFL Quarterback Club 2001 //  $6.98 //  $14.93 //  $29.95 // 
14096 //  NFL Quarterback Club 98 //  $3.39 //  $10.55 //  $20.59 // 
14133 //  NFL Quarterback Club 99 //  $4.00 //  $5.50 //  $21.06 // 
3856 //  NHL 99 //  $7.20 //  $12.00 //  $37.96 // 
14436 //  "NHL Blades of Steel 99" //  $8.96 //  $21.54 //  $58.21 // 
14437 //  "NHL Breakaway 98" //  $4.05 //  $13.22 //  $20.20 // 
14438 //  "NHL Breakaway 99" //  $8.07 //  $24.95 //  $31.32 // 
3841 //  "Nagano Winter Olympics 98" //  $7.59 //  $14.11 //  $51.97 // 
3842 //  Namco Museum //  $9.50 //  $17.89 //  $51.22 // 
3857 //  Nightmare Creatures //  $13.60 //  $32.47 //  $71.25 // 
14569 //  Nintendo 64 AV Cable //  $4.99 //  $4.99 //  $12.37 // 
3858 //  Nintendo 64 System //  $40.45 //  $79.50 //  $389.21 // 
63785 //  Nintendo 64 System [Donkey Kong 64 Set] //  $95.00 //  $249.98 //  $665.00 // 
58048 //  Nintendo 64 System [Pokemon Stadium Battle Set] //  $164.28 //  $314.99 //  $1149.97 // 
53690 //  Nintendo 64 System [Star Wars Racer Set] //  $73.68 //  $184.20 //  $515.76 // 
32702 //  Nintendo 64 Test Cartridge //  $1299.00 //   //   // 
3859 //  Nuclear Strike //  $12.66 //  $32.95 //  $149.98 // 
3860 //  Off Road Challenge //  $9.98 //  $20.91 //  $80.00 // 
3861 //  Ogre Battle 64: Person of Lordly Caliber //  $54.99 //  $133.59 //  $215.23 // 
14426 //  Olympic Hockey 98 //  $7.63 //  $20.94 //  $49.99 // 
13163 //  PGA European Tour //  $39.00 //  $73.30 //  $122.63 // 
3862 //  Paper Mario //  $57.29 //  $140.00 //  $335.27 // 
3863 //  Paperboy //  $13.05 //  $30.76 //  $109.72 // 
3864 //  Penny Racers //  $11.91 //  $46.49 //  $60.41 // 
3865 //  Perfect Dark //  $13.61 //  $26.32 //  $50.55 // 
37551 //  Perfect Dark [Not for Resale] //  $48.66 //   //   // 
42332 //  "Perfect Dark [Players Choice]" //   //   //   // 
3866 //  Pikachu Nintendo 64 System //  $194.86 //  $472.03 //  $594.50 // 
3867 //  Pilotwings 64 //  $11.92 //  $38.48 //  $114.13 // 
3868 //  Pokemon Puzzle League //  $18.31 //  $39.16 //  $67.02 // 
3869 //  Pokemon Snap //  $15.13 //  $45.94 //  $105.99 // 
37552 //  Pokemon Snap [Demo Only] [Not for Resale] //   //   //   // 
37553 //  Pokemon Snap [Not for Resale] //  $299.99 //   //   // 
42333 //  "Pokemon Snap [Players Choice]" //   //   //   // 
3870 //  Pokemon Stadium //  $21.96 //  $61.99 //  $208.13 // 
3871 //  Pokemon Stadium 2 //  $41.46 //  $142.56 //  $269.69 // 
37555 //  Pokemon Stadium 2 [Not for Resale] //  $49.90 //   //   // 
37554 //  Pokemon Stadium [Not for Resale] //  $49.06 //   //   // 
3872 //  Polaris SnoCross //  $16.00 //  $45.53 //  $69.99 // 
3873 //  Power Rangers Lightspeed Rescue //  $8.59 //  $34.48 //  $67.29 // 
3874 //  Powerpuff Girls //  $10.14 //  $24.95 //  $40.00 // 
3876 //  Quake //  $13.23 //  $30.00 //  $118.70 // 
3875 //  Quake II //  $14.66 //  $38.71 //  $102.50 // 
3878 //  Quest 64 //  $14.22 //  $36.64 //  $111.06 // 
3879 //  Rainbow Six //  $9.25 //  $22.54 //  $39.75 // 
40359 //  Rainbow Six [Gray Cart] //  $8.35 //  $20.77 //  $55.78 // 
3880 //  Rally Challenge 2000 //  $11.78 //  $24.94 //  $59.99 // 
3881 //  Rampage 2 Universal Tour //  $21.00 //  $57.64 //  $79.05 // 
3882 //  Rampage World Tour //  $21.48 //  $40.00 //  $87.51 // 
3883 //  Rat Attack //  $27.80 //  $159.90 //  $340.48 // 
3884 //  Rayman 2 The Great Escape //  $14.97 //  $36.81 //  $83.79 // 
3885 //  Razor Freestyle Scooter //  $22.54 //  $38.02 //  $64.82 // 
14425 //  Re-Volt //  $10.21 //  $24.31 //  $74.40 // 
3886 //  Ready 2 Rumble Boxing //  $9.55 //  $15.98 //  $33.16 // 
3887 //  Ready 2 Rumble Boxing Round 2 //  $10.97 //  $19.20 //  $47.00 // 
3888 //  Red Controller //  $20.99 //  $40.00 //  $108.00 // 
3889 //  Resident Evil 2 //  $29.47 //  $84.87 //  $199.99 // 
67790 //  Resident Evil 2 [USA-1] //   //   //   // 
3890 //  Ridge Racer 64 //  $8.32 //  $23.28 //  $80.69 // 
3891 //  Road Rash //  $27.09 //  $48.48 //  $149.13 // 
40356 //  Road Rash [Gray Cart] //  $27.65 //  $75.24 //  $203.14 // 
3892 //  Roadsters //  $9.43 //  $28.46 //  $60.25 // 
3893 //  Robotron 64 //  $12.26 //  $34.25 //  $79.95 // 
3894 //  Rocket Robot on Wheel //  $35.66 //  $44.46 //  $120.04 // 
3896 //  Rugrats Scavenger Hunt //  $5.62 //  $18.00 //  $45.28 // 
3895 //  Rugrats in Paris //  $8.70 //  $18.84 //  $52.00 // 
40357 //  Rugrats in Paris [Gray Cart] //  $17.75 //  $26.99 //  $102.90 // 
3897 //  Rumble Pak //  $14.99 //  $29.24 //  $124.20 // 
3898 //  Rush 2 //  $11.49 //  $20.10 //  $77.83 // 
3899 //  Rush 2049 //  $22.99 //  $51.99 //  $112.29 // 
12587 //  SCARS //  $11.42 //  $39.39 //  $59.99 // 
3900 //  San Francisco Rush //  $9.10 //  $19.99 //  $75.23 // 
3901 //  Scooby Doo Classic Creep Capers //  $12.14 //  $35.48 //  $75.01 // 
40358 //  Scooby Doo Classic Creep Capers [Gray Cart] //  $14.77 //  $15.89 //  $42.90 // 
3902 //  Shadow Man //  $11.99 //  $25.12 //  $82.01 // 
3903 //  Shadowgate 64 //  $21.43 //  $61.26 //  $177.15 // 
3686 //  Smoke Controller //  $27.15 //  $70.31 //  $189.94 // 
3904 //  Snowboard Kids //  $33.99 //  $147.87 //  $340.57 // 
3905 //  Snowboard Kids 2 //  $55.22 //  $175.00 //  $734.14 // 
3906 //  South Park //  $14.11 //  $37.65 //  $130.12 // 
3907 //  "South Park Chefs Luv Shack" //  $13.14 //  $29.62 //  $49.08 // 
3908 //  South Park Rally //  $18.65 //  $33.48 //  $90.00 // 
3909 //  Space Invaders //  $15.29 //  $30.57 //  $88.48 // 
3910 //  Space Station Silicon Valley //  $27.99 //  $80.99 //  $134.89 // 
3911 //  Spiderman //  $15.95 //  $38.70 //  $134.29 // 
3918 //  Star Fox 64 //  $20.10 //  $57.64 //  $163.63 // 
37557 //  Star Fox 64 [Not for Resale] //  $73.28 //   //   // 
42334 //  "Star Fox 64 [Players Choice]" //  $16.42 //  $51.24 //  $249.99 // 
38234 //  Star Fox 64 [Rumble Pak Bundle] //  $42.28 //  $81.02 //  $365.90 // 
3912 //  Star Soldier //  $24.78 //  $116.12 //  $217.77 // 
3913 //  Star Wars Battle for Naboo //  $16.80 //  $36.49 //  $95.00 // 
3914 //  Star Wars Episode I Racer //  $9.12 //  $20.36 //  $55.50 // 
37558 //  Star Wars Episode I Racer [Not for Resale] //  $55.25 //   //   // 
68637 //  Star Wars Episode I: Racer [Classic Edition] //   //   //   // 
3915 //  Star Wars Rogue Squadron //  $11.26 //  $29.30 //  $86.87 // 
37559 //  Star Wars Rogue Squadron [Not for Resale] //  $87.25 //   //   // 
42335 //  "Star Wars Rogue Squadron [Players Choice]" //  $8.95 //  $25.90 //  $69.93 // 
3916 //  Star Wars Shadows of the Empire //  $9.47 //  $24.95 //  $60.18 // 
68877 //  Star Wars Shadows of the Empire [Classic Edition] //  $14.44 //  $36.09 //  $42.50 // 
42336 //  "Star Wars Shadows of the Empire [Players Choice]" //  $7.99 //  $35.60 //  $56.67 // 
3917 //  Starcraft 64 //  $53.09 //  $113.07 //  $472.78 // 
3920 //  Starshot Space Circus Fever //  $37.76 //  $107.68 //  $170.99 // 
3921 //  Stunt Racer //  $202.50 //  $700.00 //  $1740.18 // 
3922 //  Super Bowling //  $302.24 //  $655.06 //  $963.16 // 
3924 //  Super Mario 64 //  $45.77 //  $75.50 //  $614.50 // 
37560 //  Super Mario 64 [Not for Resale] //  $47.43 //   //   // 
42337 //  "Super Mario 64 [Players Choice]" //  $26.62 //  $59.97 //  $263.96 // 
3925 //  Super Smash Bros. //  $40.00 //  $95.44 //  $609.26 // 
54979 //  "Super Smash Bros. [Players Choice]" //  $32.13 //  $100.00 //  $270.00 // 
3923 //  Supercross 2000 //  $5.51 //  $18.56 //  $43.94 // 
3926 //  Superman //  $8.96 //  $41.45 //  $79.32 // 
3927 //  Tarzan //  $14.45 //  $26.20 //  $87.34 // 
3928 //  Tetrisphere //  $8.99 //  $19.99 //  $48.20 // 
3929 //  The Glove Controller //  $2.96 //  $7.40 //  $19.99 // 
3853 //  The New Tetris //  $19.99 //  $29.95 //  $91.09 // 
3930 //  "Tiggers Honey Hunt" //  $10.00 //  $33.63 //  $78.01 // 
3931 //  Tom and Jerry //  $20.00 //  $83.68 //  $230.64 // 
3932 //  Tonic Trouble //  $13.81 //  $41.92 //  $73.48 // 
3933 //  Tony Hawk //  $12.00 //  $20.82 //  $42.94 // 
3934 //  Tony Hawk 2 //  $21.25 //  $30.51 //  $77.27 // 
3935 //  Tony Hawk 3 //  $40.56 //  $69.99 //  $95.70 // 
3936 //  Top Gear Hyper-Bike //  $18.05 //  $42.39 //  $133.88 // 
3937 //  Top Gear Overdrive //  $8.35 //  $27.47 //  $65.58 // 
3938 //  Top Gear Rally //  $7.99 //  $17.94 //  $65.87 // 
