3741 /  Donald Duck Going Quackers /  $20.00 /  $74.36 /  $137.59 / 
3742 /  Donkey Kong 64 /  $19.38 /  $41.06 /  $247.53 / 
45066 /  Donkey Kong 64 [Expansion Pak Bundle] /  $41.83 /  $43.39 /  $79.99 / 
33845 /  Donkey Kong 64 [Not for Resale Gray] /  $325.01 /   /   / 
3743 /  Doom 64 /  $29.99 /  $68.33 /  $174.58 / 
3744 /  Dr. Mario 64 /  $16.20 /  $40.00 /  $112.21 / 
3745 /  Dual Heroes /  $9.71 /  $39.50 /  $94.46 / 
3746 /  Duck Dodgers /  $32.72 /  $119.99 /  $370.04 / 
3747 /  Duke Nukem 64 /  $14.52 /  $42.49 /  $149.99 / 
3748 /  Duke Nukem Zero Hour /  $13.98 /  $24.68 /  $61.37 / 
14158 /  ECW Hardcore Revolution /  $7.70 /  $19.99 /  $37.57 / 
3749 /  Earthworm Jim 3D /  $31.60 /  $78.35 /  $225.33 / 
3750 /  "Elmos Letter Adventure" /  $8.91 /  $37.50 /  $44.13 / 
3751 /  "Elmos Number Journey" /  $8.41 /  $39.50 /  $61.00 / 
3752 /  Excitebike 64 /  $8.48 /  $22.49 /  $45.85 / 
37546 /  Excitebike 64 [Not for Resale] /  $58.64 /   /   / 
3753 /  Expansion Pak /  $25.64 /  $49.78 /  $99.23 / 
3754 /  Extreme G /  $7.95 /  $20.29 /  $62.47 / 
36982 /  Extreme Green Controller /  $36.40 /  $116.18 /  $313.66 / 
3764 /  F-Zero X /  $19.55 /  $42.00 /  $236.19 / 
14430 /  F1 Pole Position 64 /  $3.61 /  $13.71 /  $35.98 / 
3755 /  F1 World Grand Prix /  $3.98 /  $11.21 /  $29.58 / 
3756 /  FIFA 64 /  $5.84 /  $16.73 /  $78.54 / 
3758 /  FIFA 99 /  $10.01 /  $17.63 /  $56.82 / 
10909 /  FIFA Road to World Cup 98 /  $8.89 /  $22.46 /  $44.28 / 
14431 /  "FOX Sports College Hoops 99" /  $3.80 /  $9.97 /  $24.77 / 
3760 /  Fighter Destiny 2 /  $19.99 /  $48.63 /  $141.20 / 
3759 /  Fighters Destiny /  $8.88 /  $19.99 /  $81.72 / 
3761 /  Fighting Force 64 /  $22.25 /  $75.00 /  $265.69 / 
3690 /  Fire Orange Controller /  $29.03 /  $59.59 /  $160.89 / 
3762 /  Flying Dragon /  $16.18 /  $79.95 /  $245.41 / 
3763 /  Forsaken 64 /  $5.95 /  $13.00 /  $31.90 / 
14390 /  Funtastic Fire Orange Nintendo 64 System /  $114.86 /  $183.79 /  $1497.00 / 
3782 /  Funtastic Grape Purple Nintendo 64 System /  $105.47 /  $219.16 /  $591.73 / 
10588 /  Funtastic Ice Blue Nintendo 64 System /  $106.87 /  $219.11 /  $499.06 / 
3689 /  Funtastic Jungle Green Nintendo 64 System /  $83.66 /  $254.31 /  $587.70 / 
13000 /  Funtastic Smoke Black Nintendo 64 System /  $90.00 /  $226.88 /  $612.58 / 
3693 /  Funtastic Watermelon Red Nintendo 64 System /  $103.75 /  $218.50 /  $465.00 / 
3787 /  GT 64 /  $7.94 /  $23.99 /  $75.54 / 
3765 /  Gameboy Transfer Pak /  $8.22 /  $30.00 /  $81.00 / 
3766 /  Gameshark /  $15.56 /  $19.92 /  $74.95 / 
3767 /  Gameshark 2.0 /  $9.99 /  $25.01 /  $69.86 / 
3768 /  Gameshark 2.1 /  $14.99 /  $37.53 /  $104.82 / 
3769 /  Gameshark 2.2 /  $13.97 /  $45.81 /  $123.69 / 
3770 /  Gameshark Pro 3.0 /  $13.06 /  $22.00 /  $59.41 / 
3771 /  Gameshark Pro 3.2 /  $24.98 /  $64.77 /  $174.86 / 
3772 /  Gameshark Pro 3.3 /  $25.74 /  $44.99 /  $121.47 / 
3773 /  Gauntlet Legends /  $25.00 /  $49.27 /  $73.96 / 
47080 /  Gauntlet Legends [Figure Bundle] /  $50.14 /  $125.35 /  $350.99 / 
3774 /  Gex 3: Deep Cover Gecko /  $11.39 /  $39.99 /  $92.90 / 
3775 /  Gex 64 /  $9.35 /  $24.97 /  $62.24 / 
3776 /  Glover /  $9.50 /  $31.11 /  $71.41 / 
46394 /  Glover [T-Shirt Edition] /  $57.14 /  $148.14 /  $399.99 / 
3777 /  "Goemons Great Adventure" /  $59.02 /  $147.87 /  $379.58 / 
3778 /  Gold Controller /  $20.98 /  $52.45 /  $146.60 / 
10474 /  Gold Nintendo 64 System /  $112.92 /  $443.20 /  $1196.63 / 
34712 /  Gold Nintendo Power 100 Controller /  $139.88 /  $350.28 /  $979.09 / 
3779 /  Golden Nugget 64 /  $7.87 /  $18.25 /  $49.24 / 
3781 /  Grape Purple Controller /  $25.00 /  $62.50 /  $175.00 / 
3783 /  Gray Controller /  $23.25 /  $51.20 /  $138.24 / 
3784 /  Green Controller /  $18.95 /  $50.70 /  $136.85 / 
3788 /  Harvest Moon 64 /  $38.85 /  $114.72 /  $248.99 / 
3789 /  Hercules /  $13.05 /  $43.30 /  $69.97 / 
3790 /  Hexen /  $11.75 /  $30.75 /  $54.91 / 
3791 /  Hey You Pikachu /  $5.95 /  $42.50 /  $108.10 / 
45782 /  Hey You Pikachu [Micrphone Bundle] /  $26.33 /  $41.11 /  $97.50 / 
3793 /  Hot Wheels Turbo Racing /  $11.40 /  $22.75 /  $55.00 / 
3794 /  Hybrid Heaven /  $10.25 /  $29.64 /  $57.00 / 
3795 /  Hydro Thunder /  $27.18 /  $45.39 /  $88.90 / 
40355 /  Hydro Thunder [Gray Cart] /  $34.62 /  $86.78 /  $234.31 / 
3687 /  Ice Blue Controller /  $20.15 /  $31.09 /  $83.94 / 
3796 /  "Iggys Reckin Balls" /  $11.22 /  $34.00 /  $105.33 / 
3797 /  Indiana Jones Infernal Machine /  $35.45 /  $125.64 /  $379.19 / 
10904 /  Indy Racing 2000 /  $7.43 /  $19.39 /  $31.55 / 
16188 /  International Superstar Soccer 2000 /  $48.41 /  $150.00 /  $300.00 / 
3798 /  International Superstar Soccer 64 /  $10.95 /  $27.50 /  $124.20 / 
3799 /  International Superstar Soccer 98 /  $15.50 /  $51.35 /  $52.50 / 
3800 /  Jeopardy /  $8.39 /  $17.99 /  $46.43 / 
3801 /  Jeremy McGrath Supercross 2000 /  $5.99 /  $14.38 /  $33.71 / 
3802 /  Jet Force Gemini /  $9.99 /  $25.24 /  $124.95 / 
37548 /  Jet Force Gemini [Not for Resale] /  $52.04 /   /   / 
46990 /  Jumper Pak /  $6.64 /  $9.95 /  $11.94 / 
3688 /  Jungle Green Controller /  $37.54 /  $65.91 /  $177.96 / 
3803 /  Ken Griffey Jr Baseball /  $7.49 /  $11.98 /  $32.99 / 
3804 /  "Ken Griffey Jrs Slugfest" /  $7.85 /  $17.40 /  $33.42 / 
3805 /  Killer Instinct Gold /  $20.31 /  $49.50 /  $210.00 / 
3806 /  Kirby 64: The Crystal Shards /  $23.96 /  $75.24 /  $202.98 / 
3807 /  Knife Edge Nose Gunner /  $9.73 /  $28.49 /  $44.98 / 
3808 /  Knockout Kings 2000 /  $3.43 /  $14.05 /  $20.86 / 
3809 /  LEGO Racers /  $6.98 /  $21.24 /  $41.94 / 
3810 /  Lode Runner 3D /  $9.50 /  $19.15 /  $32.67 / 
3838 /  MRC Multi Racing Championship /  $3.94 /  $15.12 /  $39.78 / 
3811 /  Mace Dark Age /  $10.99 /  $34.50 /  $72.25 / 
3812 /  Madden 2000 /  $1.85 /  $11.46 /  $20.99 / 
3813 /  Madden 2001 /  $2.33 /  $10.34 /  $26.16 / 
3814 /  Madden 2002 /  $4.42 /  $12.99 /  $26.61 / 
14134 /  Madden 64 /  $2.64 /  $8.01 /  $21.64 / 
14212 /  Madden 99 /  $3.26 /  $8.18 /  $23.40 / 
3816 /  Magical Tetris Challenge /  $10.97 /  $40.00 /  $69.77 / 
3817 /  Mario Golf /  $16.93 /  $34.46 /  $139.89 / 
3818 /  Mario Kart 64 /  $31.48 /  $62.45 /  $280.34 / 
37549 /  Mario Kart 64 [Not for Resale] /  $119.95 /   /   / 
42331 /  "Mario Kart 64 [Players Choice]" /  $31.09 /  $64.99 /  $200.00 / 
3819 /  Mario Party /  $29.58 /  $70.67 /  $238.56 / 
3820 /  Mario Party 2 /  $33.61 /  $89.63 /  $269.17 / 
52684 /  Mario Party 2 [Not for Resale] /  $45.86 /   /   / 
3821 /  Mario Party 3 /  $38.25 /  $91.77 /  $239.50 / 
37526 /  Mario Party 3 [Not for Resale] /  $70.13 /   /   / 
52685 /  Mario Party [Not for Resale] /  $137.50 /   /   / 
3822 /  Mario Tennis /  $15.93 /  $35.00 /  $111.73 / 
37550 /  Mario Tennis [Not for Resale] /  $36.90 /   /   / 
3823 /  Mega Man 64 /  $33.75 /  $74.99 /  $138.07 / 
3825 /  Mia Hamm Soccer 64 /  $3.74 /  $14.04 /  $29.75 / 
3826 /  "Mickeys Speedway USA" /  $11.01 /  $29.50 /  $63.99 / 
3827 /  Micro Machines /  $9.99 /  $49.50 /  $154.10 / 
3828 /  "Midways Greatest Arcade Hits Vol 1" /  $8.96 /  $21.03 /  $29.76 / 
14432 /  "Mike Piazzas Strike Zone" /  $6.73 /  $15.55 /  $47.07 / 
38567 /  Millennium 2000 Controller /  $780.00 /  $2750.00 /  $7425.00 / 
3829 /  "Milos Astro Lanes" /  $8.02 /  $30.01 /  $51.02 / 
3830 /  Mischief Makers /  $19.62 /  $75.00 /  $116.64 / 
3831 /  Mission Impossible /  $4.94 /  $16.86 /  $56.50 / 
3832 /  Monaco Grand Prix /  $20.24 /  $39.95 /  $99.93 / 
3833 /  Monopoly /  $10.48 /  $20.00 /  $69.24 / 
3834 /  Monster Truck Madness /  $9.34 /  $23.35 /  $59.99 / 
3835 /  Mortal Kombat 4 /  $15.66 /  $37.53 /  $177.99 / 
3836 /  Mortal Kombat Mythologies: Sub-Zero /  $10.00 /  $39.31 /  $103.43 / 
3837 /  Mortal Kombat Trilogy /  $19.93 /  $44.75 /  $145.07 / 
