3780 //  007 GoldenEye //  $23.62 //  $41.25 //  $262.50 // 
37547 //  007 GoldenEye [Not for Resale] //  $300.00 //   //   // 
42329 //  "007 GoldenEye [Players Choice]" //  $19.82 //  $37.28 //  $117.64 // 
3966 //  007 World Is Not Enough //  $11.99 //  $23.13 //  $80.63 // 
40361 //  007 World Is Not Enough [Gray Cart] //  $10.21 //  $26.19 //  $70.79 // 
3674 //  1080 Snowboarding //  $8.00 //  $24.97 //  $165.27 // 
37542 //  1080 Snowboarding [Not for Resale] //  $112.55 //   //   // 
42325 //  "1080 Snowboarding [Players Choice]" //  $8.28 //  $24.99 //  $57.96 // 
65236 //  40 Winks [Special Edition] //   //   //   // 
3717 //  "A Bugs Life" //  $7.12 //  $19.99 //  $37.86 // 
14427 //  Aero Gauge //  $8.90 //  $29.48 //  $49.00 // 
3675 //  Aerofighters Assault //  $7.24 //  $23.86 //  $62.62 // 
3676 //  Aidyn Chronicles //  $21.08 //  $48.99 //  $64.38 // 
40351 //  Aidyn Chronicles [Gray Cart] //  $79.99 //  $126.06 //  $340.36 // 
3677 //  All-Star Baseball 2000 //  $3.87 //  $9.60 //  $23.80 // 
3678 //  All-Star Baseball 2001 //  $6.43 //  $21.37 //  $27.67 // 
3679 //  All-Star Baseball 99 //  $4.69 //  $8.24 //  $32.99 // 
3680 //  All-Star Tennis 99 //  $18.67 //  $30.99 //  $31.57 // 
3681 //  Armorines Project SWARM //  $6.76 //  $20.80 //  $37.49 // 
3683 //  Army Men Air Combat //  $10.95 //  $21.95 //  $35.84 // 
40352 //  Army Men Air Combat [Gray Cart] //  $34.97 //  $51.18 //  $138.19 // 
3684 //  "Army Men Sarges Heroes" //  $9.50 //  $25.97 //  $66.06 // 
3682 //  "Army Men Sarges Heroes 2" //  $13.75 //  $37.95 //  $75.00 // 
40353 //  "Army Men Sarges Heroes 2 [Gray Cart]" //  $11.34 //  $30.90 //  $83.46 // 
3685 //  Asteroids Hyper 64 //  $9.99 //  $23.64 //  $40.81 // 
3691 //  Atomic Purple Controller //  $19.99 //  $51.83 //  $139.93 // 
3695 //  Automobili Lamborghini //  $5.14 //  $22.12 //  $57.96 // 
45730 //  Banana Controller //  $96.57 //  $255.00 //  $688.50 // 
3696 //  Banjo-Kazooie //  $27.66 //  $69.97 //  $337.11 // 
37543 //  Banjo-Kazooie [Not for Resale] //  $53.55 //   //   // 
42326 //  "Banjo-Kazooie [Players Choice]" //  $24.35 //  $57.42 //  $155.25 // 
3697 //  Banjo-Tooie //  $29.81 //  $74.99 //  $316.91 // 
37544 //  Banjo-Tooie [Not for Resale] //  $52.01 //   //   // 
3698 //  Bass Hunter 64 //  $5.99 //  $16.99 //  $50.26 // 
3699 //  Bass Masters 2000 //  $9.73 //  $23.30 //  $52.94 // 
40354 //  Bass Masters 2000 [Gray Cart] //  $44.83 //  $96.81 //  $261.38 // 
3700 //  Batman Beyond //  $22.98 //  $49.03 //  $136.95 // 
3702 //  Battletanx //  $12.22 //  $36.40 //  $108.10 // 
3703 //  Battletanx Global Assault //  $15.03 //  $38.47 //  $109.45 // 
3701 //  Battlezone: Rise of the Black Dogs //  $19.93 //  $61.00 //  $150.31 // 
3705 //  Beetle Adventure Racing //  $13.29 //  $33.35 //  $92.00 // 
14428 //  Big Mountain 2000 //  $34.27 //  $63.14 //  $109.99 // 
3186 //  Biofreaks //  $8.82 //  $30.79 //  $75.69 // 
3706 //  Black Controller //  $16.00 //  $41.49 //  $112.00 // 
3707 //  Blast Corps //  $9.99 //  $32.11 //  $165.89 // 
3710 //  Blue Controller //  $19.33 //  $48.39 //  $130.65 // 
3711 //  Blues Brothers 2000 //  $15.99 //  $40.00 //  $100.14 // 
3712 //  Body Harvest //  $12.47 //  $34.97 //  $50.50 // 
3713 //  Bomberman 64 //  $17.64 //  $44.98 //  $173.50 // 
3715 //  Bomberman 64 Second Attack //  $138.92 //  $573.67 //  $1399.99 // 
3714 //  Bomberman Hero //  $14.47 //  $33.53 //  $128.99 // 
14881 //  Bottom of the 9th //  $8.99 //  $23.47 //  $58.06 // 
3728 //  Brunswick Circuit Pro Bowling //  $14.83 //  $31.25 //  $43.03 // 
3716 //  Buck Bumble //  $14.58 //  $40.98 //  $117.70 // 
3718 //  Bust-A-Move 2 //  $12.32 //  $26.47 //  $79.87 // 
3719 //  Bust-A-Move 99 //  $20.02 //  $33.51 //  $140.27 // 
3720 //  California Speed //  $9.24 //  $24.95 //  $59.00 // 
3721 //  Carmageddon //  $51.99 //  $83.50 //  $199.99 // 
3722 //  Castlevania //  $13.32 //  $32.94 //  $95.89 // 
3723 //  Castlevania Legacy of Darkness //  $60.35 //  $186.63 //  $316.95 // 
3724 //  Chameleon Twist //  $23.23 //  $69.48 //  $200.82 // 
3725 //  Chameleon Twist 2 //  $24.55 //  $167.65 //  $360.00 // 
3726 //  Charlie Blasts //  $21.05 //  $77.14 //  $80.39 // 
3727 //  Chopper Attack //  $5.05 //  $24.97 //  $62.99 // 
3730 //  Clay Fighter 63 1/3 //  $15.00 //  $29.87 //  $142.12 // 
3729 //  Clay Fighter Sculptors Cut //  $413.19 //  $2499.99 //  $4000.00 // 
38380 //  Cleaning Kit //  $6.27 //  $24.38 //  $49.01 // 
3731 //  Command and Conquer //  $9.30 //  $22.97 //  $77.79 // 
3732 //  "Conkers Bad Fur Day" //  $67.97 //  $121.79 //  $255.02 // 
3733 //  "Cruisn Exotica" //  $20.02 //  $54.73 //  $84.52 // 
3734 //  "Cruisn USA" //  $10.99 //  $24.33 //  $93.66 // 
42327 //  "Cruisn USA [Players Choice]" //  $8.50 //  $20.11 //  $75.95 // 
3735 //  "Cruisn World" //  $11.72 //  $28.04 //  $166.63 // 
3736 //  CyberTiger //  $10.72 //  $26.43 //  $46.31 // 
14429 //  Daikatana //  $46.00 //  $149.99 //  $320.84 // 
3737 //  Dark Rift //  $7.30 //  $23.33 //  $55.81 // 
3738 //  Deadly Arts //  $19.99 //  $50.92 //  $73.89 // 
3739 //  Destruction Derby 64 //  $12.04 //  $31.79 //  $93.06 // 
3740 //  Diddy Kong Racing //  $19.43 //  $43.50 //  $262.10 // 
37545 //  Diddy Kong Racing [Not for Resale] //  $241.17 //   //   // 
42328 //  "Diddy Kong Racing [Players Choice]" //  $30.09 //  $44.97 //  $121.42 // 
3741 //  Donald Duck Going Quackers //  $21.99 //  $83.73 //  $137.50 // 
3742 //  Donkey Kong 64 //  $24.99 //  $45.51 //  $200.00 // 
45066 //  Donkey Kong 64 [Expansion Pak Bundle] //  $42.42 //  $57.82 //  $152.90 // 
33845 //  Donkey Kong 64 [Not for Resale Gray] //  $325.01 //   //   // 
3743 //  Doom 64 //  $31.81 //  $84.13 //  $195.26 // 
3744 //  Dr. Mario 64 //  $18.29 //  $42.00 //  $106.45 // 
3745 //  Dual Heroes //  $10.90 //  $39.37 //  $94.46 // 
3746 //  Duck Dodgers //  $36.50 //  $104.75 //  $292.50 // 
3747 //  Duke Nukem 64 //  $19.46 //  $53.20 //  $128.93 // 
3748 //  Duke Nukem Zero Hour //  $14.00 //  $29.93 //  $86.99 // 
14158 //  ECW Hardcore Revolution //  $7.08 //  $23.04 //  $43.68 // 
3749 //  Earthworm Jim 3D //  $33.82 //  $108.32 //  $163.13 // 
3750 //  "Elmos Letter Adventure" //  $7.42 //  $37.61 //  $38.01 // 
3751 //  "Elmos Number Journey" //  $8.99 //  $37.24 //  $64.52 // 
3752 //  Excitebike 64 //  $7.50 //  $24.99 //  $74.66 // 
37546 //  Excitebike 64 [Not for Resale] //  $48.57 //   //   // 
