3780 //  007 GoldenEye //  $37.00 //  $68.69 //  $239.64 // 
37547 //  007 GoldenEye [Not for Resale] //  $300.00 //   //   // 
42329 //  "007 GoldenEye [Players Choice]" //  $19.82 //  $40.77 //  $117.64 // 
3966 //  007 World Is Not Enough //  $14.61 //  $34.32 //  $111.17 // 
40361 //  007 World Is Not Enough [Gray Cart] //  $12.65 //  $26.90 //  $72.58 // 
3674 //  1080 Snowboarding //  $9.36 //  $27.12 //  $165.27 // 
37542 //  1080 Snowboarding [Not for Resale] //  $124.51 //   //   // 
42325 //  "1080 Snowboarding [Players Choice]" //  $8.28 //  $24.99 //  $57.96 // 
65236 //  40 Winks [Special Edition] //   //   //   // 
3717 //  "A Bugs Life" //  $7.97 //  $21.75 //  $40.47 // 
14427 //  Aero Gauge //  $9.36 //  $29.48 //  $44.99 // 
3675 //  Aerofighters Assault //  $7.99 //  $23.05 //  $62.62 // 
3676 //  Aidyn Chronicles //  $24.24 //  $41.82 //  $72.55 // 
40351 //  Aidyn Chronicles [Gray Cart] //  $86.79 //  $126.06 //  $340.36 // 
3677 //  All-Star Baseball 2000 //  $3.32 //  $11.49 //  $24.91 // 
3678 //  All-Star Baseball 2001 //  $7.19 //  $19.78 //  $28.18 // 
3679 //  All-Star Baseball 99 //  $3.56 //  $9.95 //  $34.79 // 
3680 //  All-Star Tennis 99 //  $17.11 //  $31.59 //  $32.03 // 
71599 //  Arcade Shark //   //   //   // 
3681 //  Armorines Project SWARM //  $8.00 //  $23.98 //  $37.49 // 
3683 //  Army Men Air Combat //  $10.00 //  $25.00 //  $26.26 // 
40352 //  Army Men Air Combat [Gray Cart] //  $30.26 //  $51.18 //  $138.19 // 
3684 //  "Army Men Sarges Heroes" //  $12.48 //  $29.97 //  $75.43 // 
3682 //  "Army Men Sarges Heroes 2" //  $14.99 //  $35.00 //  $75.00 // 
40353 //  "Army Men Sarges Heroes 2 [Gray Cart]" //  $12.49 //  $30.84 //  $83.27 // 
3685 //  Asteroids Hyper 64 //  $10.45 //  $24.99 //  $40.62 // 
3691 //  Atomic Purple Controller //  $21.09 //  $51.83 //  $139.94 // 
3695 //  Automobili Lamborghini //  $6.60 //  $21.68 //  $49.70 // 
