18695 /  Magical Dinosaur Tour /  $23.73 /  $33.26 /  $89.76 / 
32764 /  Might and Magic III: Isles of Terra [Super CD] /  $229.04 /  $285.28 /  $582.51 / 
12067 /  Military Madness /  $39.94 /  $49.99 /  $103.97 / 
12068 /  Monster Lair [Super CD] /  $40.04 /  $53.61 /  $54.99 / 
12069 /  Moto Roader /  $16.69 /  $24.01 /  $58.61 / 
12070 /  Neutopia /  $67.49 /  $80.00 /  $155.01 / 
12071 /  Neutopia II /  $162.24 /  $224.40 /  $317.33 / 
12072 /  New Adventure Island /  $75.47 /  $141.49 /  $290.65 / 
14517 /  Night Creatures /  $42.77 /  $59.86 /  $63.50 / 
12073 /  Ninja Spirit /  $41.63 /  $67.10 /  $129.99 / 
14518 /  Order of the Griffon /  $62.29 /  $169.75 /  $339.50 / 
12074 /  Ordyne /  $35.49 /  $46.84 /  $101.95 / 
14519 /  Pac-Land /  $15.68 /  $19.97 /  $49.15 / 
14520 /  Parasol Stars /  $80.75 /  $87.94 /  $290.75 / 
12075 /  Power Golf /  $8.71 /  $12.51 /  $29.99 / 
18624 /  Prince of Persia [Super CD] /  $37.08 /  $47.02 /  $49.99 / 
14521 /  Psychosis /  $59.49 /  $70.87 /  $337.66 / 
12077 /  R-Type /  $49.99 /  $66.97 /  $149.99 / 
14522 /  Raiden /  $68.59 /  $98.40 /  $257.98 / 
12076 /  Riot Zone /  $93.75 /  $98.43 /  $111.50 / 
12078 /  Samurai Ghost /  $67.44 /  $149.97 /  $260.56 / 
32771 /  Shadow of the Beast [Super CD] /  $50.00 /  $60.00 /  $70.88 / 
18696 /  Shape Shifter [Super CD] /  $41.89 /  $58.45 /  $72.38 / 
32780 /  Sherlock Holmes: Consulting Detective Volume II [Super CD] /  $40.61 /  $47.50 /  $48.78 / 
32779 /  Sherlock Holmes: Consulting Detective [Super CD] /  $14.00 /  $19.94 /  $35.85 / 
12079 /  Shockman /  $88.90 /  $184.19 /  $268.71 / 
14523 /  Side Arms /  $26.72 /  $34.25 /  $65.21 / 
