14516 //  Magical Chase //  $2363.50 //  $5210.37 //  $10568.34 // 
18695 //  Magical Dinosaur Tour //  $26.39 //  $34.72 //  $89.76 // 
32764 //  Might and Magic III: Isles of Terra [Super CD] //  $229.50 //  $234.82 //  $858.00 // 
12067 //  Military Madness //  $42.84 //  $64.84 //  $104.28 // 
12068 //  Monster Lair [Super CD] //  $47.75 //  $67.44 //  $127.75 // 
12069 //  Moto Roader //  $17.58 //  $25.00 //  $42.46 // 
12070 //  Neutopia //  $64.00 //  $95.55 //  $129.99 // 
12071 //  Neutopia II //  $153.69 //  $291.49 //  $317.33 // 
12072 //  New Adventure Island //  $89.07 //  $181.41 //  $334.27 // 
14517 //  Night Creatures //  $51.66 //  $62.48 //  $73.78 // 
12073 //  Ninja Spirit //  $43.15 //  $49.99 //  $171.24 // 
14518 //  Order of the Griffon //  $48.20 //  $110.16 //  $286.39 // 
12074 //  Ordyne //  $45.01 //  $56.50 //  $108.79 // 
14519 //  Pac-Land //  $20.33 //  $24.50 //  $48.09 // 
14520 //  Parasol Stars //  $83.22 //  $99.99 //  $290.75 // 
12075 //  Power Golf //  $10.67 //  $12.85 //  $33.06 // 
18624 //  Prince of Persia [Super CD] //  $37.08 //  $48.43 //  $49.99 // 
14521 //  Psychosis //  $59.18 //  $68.97 //  $314.99 // 
12077 //  R-Type //  $50.64 //  $71.18 //  $135.22 // 
14522 //  Raiden //  $75.14 //  $117.50 //  $657.63 // 
12076 //  Riot Zone //  $87.30 //  $95.00 //  $95.19 // 
12078 //  Samurai Ghost //  $79.77 //  $174.88 //  $310.00 // 
32771 //  Shadow of the Beast [Super CD] //  $56.03 //  $62.48 //  $70.25 // 
18696 //  Shape Shifter [Super CD] //  $40.00 //  $58.30 //  $74.90 // 
32780 //  Sherlock Holmes: Consulting Detective Volume II [Super CD] //  $41.12 //  $43.20 //  $48.41 // 
32779 //  Sherlock Holmes: Consulting Detective [Super CD] //  $14.01 //  $19.94 //  $35.85 // 
12079 //  Shockman //  $75.88 //  $200.66 //  $268.71 // 
14523 //  Side Arms //  $24.47 //  $34.99 //  $54.99 // 
12080 //  Silent Debuggers //  $32.13 //  $49.80 //  $59.95 // 
37931 //  Sim Earth the Living Planet [Super CD] //  $38.76 //  $39.42 //  $63.19 // 
14253 //  Sinistron //  $48.13 //  $70.91 //  $135.79 // 
14524 //  Snatcher //  $14.99 //  $19.99 //  $65.44 // 
12081 //  Soldier Blade //  $183.67 //  $232.19 //  $831.66 // 
14525 //  Somer Assault //  $78.78 //  $133.36 //  $260.69 // 
14526 //  Sonic Spike Volleyball //  $16.26 //  $21.56 //  $33.91 // 
32790 //  Sorcerian [Super CD] //   //   //   // 
14527 //  Space Harrier //  $28.40 //  $48.64 //  $95.18 // 
18623 //  Splash Lake [Super CD] //  $23.24 //  $31.45 //  $42.61 // 
12082 //  Splatterhouse //  $63.36 //  $90.00 //  $193.52 // 
12083 //  Super Air Zonk [Super CD] //  $434.93 //  $915.90 //  $1831.80 // 
12084 //  Super Star Soldier //  $88.41 //  $110.62 //  $119.95 // 
14528 //  Super Volleyball //  $10.46 //  $21.74 //  $29.99 // 
32786 //  "Syd Meads Terraforming [Super CD]" //  $594.49 //  $1399.99 //  $2675.21 // 
14536 //  TV Sports Basketball //  $9.43 //  $13.47 //  $20.93 // 
14537 //  TV Sports Football //  $8.81 //  $12.11 //  $23.99 // 
14538 //  TV Sports Hockey //  $11.88 //  $14.54 //  $31.38 // 
14529 //  "Takin it to the Hoop" //  $9.49 //  $11.49 //  $16.95 // 
14530 //  TaleSpin //  $30.02 //  $38.82 //  $77.51 // 
21781 //  The Addams Family [Super CD] //  $25.00 //  $45.44 //  $75.53 // 
33635 //  The Local Girls of Hawaii //  $109.99 //  $149.99 //  $300.00 // 
14531 //  Tiger Road //  $44.00 //  $62.99 //  $66.78 // 
14532 //  Time Cruise //  $48.58 //  $81.01 //  $127.51 // 
14533 //  Timeball //  $20.39 //  $34.55 //  $130.56 // 
33201 //  Toilet Kids [Japan] //  $69.99 //  $154.31 //  $314.30 // 
14534 //  Tricky Kick //  $15.94 //  $27.49 //  $54.95 // 
60974 //  Turbo Booster //  $143.03 //  $169.99 //  $629.78 // 
50117 //  Turbo Stick //   //   //   // 
50116 //  Turbo Tap //  $29.38 //  $40.00 //  $44.91 // 
32768 //  TurboDuo Console //  $452.37 //  $1224.99 //  $2449.98 // 
31632 //  TurboExpress //  $356.54 //  $404.89 //  $411.45 // 
55787 //  TurboExpress Car Adapter //   //   //   // 
33818 //  TurboGrafx-16 CD System //  $200.00 //  $440.00 //  $899.45 // 
19984 //  TurboGrafx-16 System //  $147.25 //  $277.77 //  $557.50 // 
70911 //  Turbografx 16 Mini //  $43.20 //  $97.21 //  $194.42 // 
40415 //  Turbografx-16 Controller //  $39.07 //  $72.00 //  $80.00 // 
14535 //  Turrican //  $49.62 //  $69.13 //  $73.00 // 
19538 //  Valis II [Super CD] //  $58.79 //  $60.00 //  $279.33 // 
18658 //  Valis III [Super CD] //  $88.75 //  $94.30 //  $101.23 // 
19537 //  Valis: The Fantasm Soldier [Super CD] //  $32.24 //  $34.99 //  $69.97 // 
32789 //  Vasteel II [Super CD] //   //   //   // 
32777 //  Vasteel [Super CD] //  $102.80 //  $149.65 //  $429.08 // 
14539 //  Veigues Tactical Gladiator //  $37.47 //  $49.50 //  $100.00 // 
12085 //  Victory Run //  $12.75 //  $21.87 //  $45.18 // 
12086 //  Vigilante //  $23.35 //  $33.40 //  $49.84 // 
12087 //  World Class Baseball //  $9.97 //  $12.48 //  $20.94 // 
14540 //  World Court Tennis //  $18.97 //  $27.49 //  $49.00 // 
12088 //  World Sports Competition //  $101.54 //  $199.42 //  $324.96 // 
14542 //  Yo Bro //  $27.75 //  $55.96 //  $73.72 // 
18608 //  Ys Books I & II [Super CD] //  $60.44 //  $108.65 //  $352.60 // 
18577 //  Ys III Wanderers from Ys [Super CD] //  $104.26 //  $122.22 //  $242.06 // 
