14490 //  Aero Blasters //  $57.25 //  $72.45 //  $255.20 // 
32782 //  Ai: Cho Aniki [Super CD] //  $26.05 //  $56.76 //  $113.52 // 
12043 //  Air Zonk //  $120.00 //  $265.10 //  $695.00 // 
12044 //  Alien Crush //  $24.99 //  $38.00 //  $76.00 // 
14491 //  Andre Panza Kick Boxing //  $15.71 //  $20.99 //  $71.36 // 
68009 //  Atlantean //  $40.89 //  $89.95 //  $179.90 // 
14492 //  Ballistix //  $29.73 //  $53.36 //  $74.00 // 
14493 //  Battle Royale //  $15.28 //  $27.31 //  $61.40 // 
32783 //  Beyond Shadowgate [Super CD] //  $221.17 //  $449.99 //  $899.98 // 
12046 //  Blazing Lazers //  $41.13 //  $63.32 //  $86.44 // 
12047 //  Bloody Wolf //  $39.72 //  $49.82 //  $223.11 // 
14494 //  Bomberman //  $46.01 //  $70.07 //  $179.35 // 
12048 //  Bomberman 93 //  $92.50 //  $178.40 //  $302.08 // 
12049 //  "Bonk 1 Bonks Adventure" //  $30.00 //  $39.99 //  $144.97 // 
12050 //  "Bonk 2 Bonks Revenge" //  $45.00 //  $54.60 //  $103.16 // 
12051 //  "Bonk 3 Bonks Big Adventure" //  $249.99 //  $487.90 //  $989.77 // 
32763 //  "Bonk 3 Bonks Big Adventure [Super CD]" //  $237.14 //  $969.49 //  $1938.98 // 
14495 //  Boxyboy //  $27.51 //  $33.67 //  $164.15 // 
12052 //  Bravoman //  $29.45 //  $37.47 //  $51.00 // 
32775 //  Buster Bros [Super CD] //  $35.00 //  $53.99 //  $53.99 // 
18628 //  Cadash //  $98.63 //  $136.83 //  $266.40 // 
32785 //  Camp California [Super CD] //  $113.61 //  $177.58 //  $355.16 // 
59723 //  Carrying Case //   //   //   // 
32773 //  Castlevania X: Rondo of Blood [Super CD] //  $151.31 //  $175.25 //  $350.50 // 
14496 //  Champions Forever Boxing //  $16.79 //  $30.18 //  $89.96 // 
14497 //  Chase HQ //  $87.44 //  $171.00 //  $341.99 // 
12053 //  Chew Man Fu //  $59.87 //  $98.56 //  $181.41 // 
12054 //  China Warrior //  $13.30 //  $25.00 //  $63.74 // 
18629 //  Cosmic Fantasy 2 [Super CD] //  $51.78 //  $54.30 //  $84.58 // 
32787 //  Cotton: Fantastic Night Dreams [Super CD] //  $183.40 //  $400.00 //  $543.33 // 
12055 //  Cratermaze //  $17.52 //  $39.75 //  $78.85 // 
14498 //  Cybercore //  $38.21 //  $52.29 //  $89.95 // 
32769 //  Darius Alpha [Japan] //  $780.72 //  $1553.42 //  $3106.84 // 
14499 //  Darkwing Duck //  $100.50 //  $148.49 //  $202.50 // 
14500 //  Davis Cup Tennis //  $15.00 //  $26.75 //  $28.36 // 
12056 //  Dead Moon //  $69.99 //  $181.47 //  $199.77 // 
14501 //  Deep Blue //  $32.18 //  $49.95 //  $76.90 // 
12057 //  "Devils Crush" //  $67.59 //  $77.76 //  $175.00 // 
12058 //  Double Dungeons //  $20.89 //  $31.47 //  $128.81 // 
32766 //  Dragon Slayer: The Legend of Heroes [Super CD] //  $109.99 //  $150.12 //  $297.24 // 
12059 //  Dragon Spirit //  $29.36 //  $41.59 //  $83.37 // 
12060 //  "Dragons Curse" //  $84.08 //  $127.54 //  $304.96 // 
12061 //  Drop Off //  $27.84 //  $36.00 //  $74.99 // 
12062 //  Dungeon Explorer //  $23.91 //  $33.99 //  $80.96 // 
32778 //  Dungeon Explorer II [Super CD] //  $223.04 //  $261.69 //  $1001.52 // 
32774 //  "Dungeon Master: Therons Quest [Super CD]" //  $51.02 //  $63.91 //  $124.78 // 
12063 //  Dynastic Hero [Super CD] //  $525.42 //  $1199.99 //  $2364.39 // 
14440 //  Exile Wicked Phenomenon [Super CD] //  $105.11 //  $199.95 //  $260.50 // 
14855 //  Exile [Super CD] //  $58.77 //  $68.38 //  $129.96 // 
14503 //  Falcon //  $22.89 //  $39.95 //  $47.42 // 
14504 //  Fantasy Zone //  $32.53 //  $42.68 //  $62.16 // 
