14490 //  Aero Blasters //  $49.69 //  $68.06 //  $257.86 // 
32782 //  Ai: Cho Aniki [Super CD] //  $30.80 //  $56.76 //  $113.52 // 
12043 //  Air Zonk //  $130.87 //  $265.67 //  $894.62 // 
12044 //  Alien Crush //  $21.34 //  $29.25 //  $75.60 // 
14491 //  Andre Panza Kick Boxing //  $15.42 //  $19.99 //  $69.23 // 
14492 //  Ballistix //  $30.26 //  $57.47 //  $74.00 // 
14493 //  Battle Royale //  $17.51 //  $22.89 //  $62.82 // 
32783 //  Beyond Shadowgate [Super CD] //  $220.39 //  $449.99 //  $899.98 // 
12046 //  Blazing Lazers //  $43.85 //  $65.78 //  $112.60 // 
12047 //  Bloody Wolf //  $38.43 //  $49.99 //  $224.53 // 
14494 //  Bomberman //  $50.63 //  $71.52 //  $185.04 // 
12048 //  Bomberman 93 //  $99.99 //  $170.99 //  $302.08 // 
12049 //  "Bonk 1 Bonks Adventure" //  $30.28 //  $43.50 //  $145.52 // 
12050 //  "Bonk 2 Bonks Revenge" //  $39.95 //  $54.35 //  $107.17 // 
12051 //  "Bonk 3 Bonks Big Adventure" //  $263.34 //  $415.95 //  $893.93 // 
32763 //  "Bonk 3 Bonks Big Adventure [Super CD]" //  $220.82 //  $969.49 //  $1938.98 // 
14495 //  Boxyboy //  $25.99 //  $31.74 //  $208.06 // 
12052 //  Bravoman //  $28.52 //  $35.99 //  $58.92 // 
32775 //  Buster Bros [Super CD] //  $35.00 //  $45.57 //  $53.62 // 
18628 //  Cadash //  $89.95 //  $123.59 //  $450.00 // 
32785 //  Camp California [Super CD] //  $113.61 //  $177.58 //  $355.16 // 
59723 //  Carrying Case //   //   //   // 
32773 //  Castlevania X: Rondo of Blood [Super CD] //  $151.31 //  $175.25 //  $350.50 // 
14496 //  Champions Forever Boxing //  $16.85 //  $28.50 //  $89.96 // 
14497 //  Chase HQ //  $86.75 //  $186.10 //  $372.20 // 
12053 //  Chew Man Fu //  $64.92 //  $88.17 //  $177.13 // 
12054 //  China Warrior //  $15.77 //  $21.99 //  $63.70 // 
18629 //  Cosmic Fantasy 2 [Super CD] //  $46.77 //  $57.50 //  $95.00 // 
32787 //  Cotton: Fantastic Night Dreams [Super CD] //  $183.31 //  $403.39 //  $543.35 // 
12055 //  Cratermaze //  $17.52 //  $39.99 //  $79.26 // 
14498 //  Cybercore //  $43.00 //  $49.19 //  $95.89 // 
32769 //  Darius Alpha [Japan] //  $780.66 //  $1553.42 //  $3106.84 // 
14499 //  Darkwing Duck //  $90.47 //  $156.31 //  $202.50 // 
14500 //  Davis Cup Tennis //  $15.00 //  $19.64 //  $25.44 // 
12056 //  Dead Moon //  $77.26 //  $176.93 //  $181.47 // 
14501 //  Deep Blue //  $30.16 //  $41.22 //  $52.00 // 
12057 //  "Devils Crush" //  $66.85 //  $82.89 //  $174.99 // 
12058 //  Double Dungeons //  $22.67 //  $34.21 //  $129.02 // 
32766 //  Dragon Slayer: The Legend of Heroes [Super CD] //  $128.27 //  $141.04 //  $281.64 // 
12059 //  Dragon Spirit //  $29.22 //  $37.39 //  $81.01 // 
12060 //  "Dragons Curse" //  $82.91 //  $120.00 //  $304.96 // 
12061 //  Drop Off //  $25.62 //  $35.99 //  $69.99 // 
12062 //  Dungeon Explorer //  $25.84 //  $30.21 //  $104.46 // 
32778 //  Dungeon Explorer II [Super CD] //  $220.52 //  $230.00 //  $1001.48 // 
32774 //  "Dungeon Master: Therons Quest [Super CD]" //  $58.64 //  $63.91 //  $126.95 // 
12063 //  Dynastic Hero [Super CD] //  $525.42 //  $921.50 //  $2364.39 // 
14440 //  Exile Wicked Phenomenon [Super CD] //  $127.43 //  $199.95 //  $260.50 // 
14855 //  Exile [Super CD] //  $58.77 //  $68.56 //  $129.96 // 
14503 //  Falcon //  $21.94 //  $43.89 //  $46.25 // 
14504 //  Fantasy Zone //  $36.70 //  $40.49 //  $60.85 // 
18560 //  Fighting Street [Super CD] //  $29.76 //  $45.18 //  $51.51 // 
14505 //  Final Lap Twin //  $12.73 //  $18.99 //  $45.93 // 
32772 //  Final Zone II [Super CD] //  $37.50 //  $52.00 //  $112.55 // 
18697 //  Forgotten Worlds [Super CD] //  $78.87 //  $125.33 //  $151.99 // 
12064 //  Galaga 90 //  $25.75 //  $32.50 //  $65.00 // 
12065 //  Gate of Thunder //  $86.85 //  $123.68 //  $123.91 // 
63944 // Gate of thunder, Bonks Adventure, Bonk\s Revenge //   //   //   // 
14506 //  Ghost Manor //  $64.41 //  $114.92 //  $167.50 // 
32788 //  Godzilla [Super CD] //  $190.00 //  $293.43 //  $316.18 // 
14507 //  Gunboat //  $27.16 //  $34.91 //  $58.08 // 
14137 //  Hit the Ice //  $22.00 //  $34.52 //  $68.74 // 
20385 //  Impossamole //  $25.49 //  $44.49 //  $78.47 // 
18578 //  It Came From The Desert [Super CD] //  $30.01 //  $42.21 //  $70.75 // 
32784 //  J.B. Harold Murder Club [Super CD] //  $42.04 //  $56.28 //  $111.34 // 
12066 //  JJ & Jeff //  $18.89 //  $32.75 //  $69.19 // 
14508 //  Jack Nicklaus Turbo Golf //  $12.28 //  $17.95 //  $169.99 // 
38573 //  Jack Nicklaus Turbo Golf [Super CD] //  $10.16 //  $22.63 //  $45.77 // 
14509 //  "Jackie Chans Action Kung Fu" //  $101.60 //  $146.57 //  $274.99 // 
18541 //  John Madden Duo CD Football [Super CD] //  $28.38 //  $64.09 //  $71.53 // 
14510 //  Keith Courage in Alpha Zones //  $9.38 //  $12.87 //  $22.50 // 
14511 //  King Of Casino //  $11.18 //  $14.75 //  $79.01 // 
14512 //  Klax //  $15.28 //  $29.30 //  $90.29 // 
32776 //  Last Alert [Super CD] //  $84.45 //  $84.57 //  $216.99 // 
14513 //  Legend of Hero Tonma //  $491.91 //  $875.00 //  $1416.24 // 
14514 //  Legendary Axe //  $22.82 //  $37.30 //  $125.06 // 
14515 //  Legendary Axe II //  $36.28 //  $48.68 //  $100.45 // 
32765 //  Loom [CD] //  $62.50 //  $71.00 //  $137.50 // 
32770 //  Lords of Thunder [Super CD] //  $98.64 //  $147.57 //  $216.15 // 
32781 //  Lords of the Rising Sun [Super CD] //  $34.08 //  $37.74 //  $114.24 // 
14516 //  Magical Chase //  $1470.50 //  $6361.71 //  $12723.42 // 
18695 //  Magical Dinosaur Tour //  $23.71 //  $33.08 //  $89.76 // 
32764 //  Might and Magic III: Isles of Terra [Super CD] //  $229.10 //  $279.05 //  $565.65 // 
12067 //  Military Madness //  $32.82 //  $49.99 //  $103.97 // 
12068 //  Monster Lair [Super CD] //  $40.40 //  $53.64 //  $55.05 // 
12069 //  Moto Roader //  $15.90 //  $24.01 //  $58.58 // 
12070 //  Neutopia //  $67.48 //  $77.37 //  $155.01 // 
12071 //  Neutopia II //  $144.91 //  $220.31 //  $317.33 // 
12072 //  New Adventure Island //  $75.57 //  $142.51 //  $285.02 // 
14517 //  Night Creatures //  $41.33 //  $62.12 //  $68.00 // 
12073 //  Ninja Spirit //  $46.24 //  $54.42 //  $129.99 // 
14518 //  Order of the Griffon //  $62.31 //  $176.55 //  $364.50 // 
12074 //  Ordyne //  $36.23 //  $46.84 //  $101.95 // 
14519 //  Pac-Land //  $15.25 //  $19.95 //  $49.21 // 
14520 //  Parasol Stars //  $81.76 //  $82.79 //  $290.75 // 
12075 //  Power Golf //  $8.71 //  $12.40 //  $29.99 // 
18624 //  Prince of Persia [Super CD] //  $37.08 //  $47.01 //  $49.99 // 
14521 //  Psychosis //  $58.64 //  $71.46 //  $338.25 // 
12077 //  R-Type //  $43.83 //  $60.00 //  $149.99 // 
14522 //  Raiden //  $70.45 //  $99.00 //  $257.98 // 
12076 //  Riot Zone //  $87.32 //  $98.43 //  $111.50 // 
12078 //  Samurai Ghost //  $71.91 //  $156.64 //  $260.56 // 
32771 //  Shadow of the Beast [Super CD] //  $50.00 //  $59.99 //  $70.65 // 
18696 //  Shape Shifter [Super CD] //  $41.89 //  $57.21 //  $74.97 // 
32780 //  Sherlock Holmes: Consulting Detective Volume II [Super CD] //  $39.99 //  $47.50 //  $48.70 // 
32779 //  Sherlock Holmes: Consulting Detective [Super CD] //  $14.00 //  $19.94 //  $35.85 // 
12079 //  Shockman //  $87.41 //  $184.99 //  $268.71 // 
14523 //  Side Arms //  $27.03 //  $34.00 //  $68.00 // 
12080 //  Silent Debuggers //  $29.21 //  $43.00 //  $59.95 // 
37931 //  Sim Earth the Living Planet [Super CD] //  $31.94 //  $34.99 //  $51.00 // 
14253 //  Sinistron //  $45.39 //  $61.91 //  $210.05 // 
14524 //  Snatcher //  $14.99 //  $19.99 //  $65.44 // 
12081 //  Soldier Blade //  $163.28 //  $275.83 //  $821.67 // 
14525 //  Somer Assault //  $70.18 //  $121.28 //  $262.43 // 
14526 //  Sonic Spike Volleyball //  $13.91 //  $21.49 //  $34.69 // 
32790 //  Sorcerian [Super CD] //   //   //   // 
14527 //  Space Harrier //  $28.71 //  $45.78 //  $128.42 // 
18623 //  Splash Lake [Super CD] //  $23.24 //  $30.58 //  $42.70 // 
12082 //  Splatterhouse //  $60.25 //  $84.75 //  $211.96 // 
12083 //  Super Air Zonk [Super CD] //  $437.90 //  $915.90 //  $1831.80 // 
12084 //  Super Star Soldier //  $75.57 //  $105.00 //  $149.98 // 
14528 //  Super Volleyball //  $11.25 //  $23.52 //  $29.99 // 
32786 //  "Syd Meads Terraforming [Super CD]" //  $585.00 //  $833.19 //  $1683.00 // 
14536 //  TV Sports Basketball //  $8.15 //  $13.76 //  $26.16 // 
14537 //  TV Sports Football //  $4.99 //  $10.08 //  $27.69 // 
14538 //  TV Sports Hockey //  $9.99 //  $15.23 //  $27.14 // 
14529 //  "Takin it to the Hoop" //  $9.99 //  $13.99 //  $20.49 // 
14530 //  TaleSpin //  $31.43 //  $37.53 //  $84.95 // 
21781 //  The Addams Family [Super CD] //  $25.00 //  $44.70 //  $75.43 // 
33635 //  The Local Girls of Hawaii //  $109.99 //  $132.45 //  $264.90 // 
14531 //  Tiger Road //  $35.13 //  $54.55 //  $95.00 // 
14532 //  Time Cruise //  $45.24 //  $79.84 //  $127.51 // 
14533 //  Timeball //  $20.50 //  $36.95 //  $100.00 // 
33201 //  Toilet Kids [Japan] //  $69.99 //  $154.31 //  $314.30 // 
14534 //  Tricky Kick //  $16.90 //  $20.12 //  $69.69 // 
60974 //  Turbo Booster //  $143.03 //  $162.49 //  $629.78 // 
50117 //  Turbo Stick //   //   //   // 
50116 //  Turbo Tap //  $28.54 //  $37.50 //  $40.00 // 
32768 //  TurboDuo Console //  $408.66 //  $959.64 //  $1838.97 // 
31632 //  TurboExpress //  $286.76 //  $308.47 //  $359.70 // 
55787 //  TurboExpress Car Adapter //   //   //   // 
33818 //  TurboGrafx-16 CD System //  $200.00 //  $440.00 //  $899.45 // 
19984 //  TurboGrafx-16 System //  $109.44 //  $257.67 //  $627.76 // 
40415 //  Turbografx-16 Controller //  $37.02 //  $72.00 //  $144.00 // 
14535 //  Turrican //  $44.47 //  $97.83 //  $200.05 // 
19538 //  Valis II [Super CD] //  $52.42 //  $66.09 //  $300.25 // 
18658 //  Valis III [Super CD] //  $88.75 //  $101.23 //  $108.11 // 
19537 //  Valis: The Fantasm Soldier [Super CD] //  $32.14 //  $34.99 //  $69.97 // 
32789 //  Vasteel II [Super CD] //   //   //   // 
32777 //  Vasteel [Super CD] //  $95.35 //  $116.98 //  $429.06 // 
14539 //  Veigues Tactical Gladiator //  $32.06 //  $49.44 //  $100.00 // 
12085 //  Victory Run //  $13.16 //  $15.56 //  $45.75 // 
12086 //  Vigilante //  $17.42 //  $26.12 //  $55.00 // 
12087 //  World Class Baseball //  $8.30 //  $11.99 //  $24.14 // 
14540 //  World Court Tennis //  $14.20 //  $24.03 //  $47.48 // 
12088 //  World Sports Competition //  $106.24 //  $187.24 //  $327.48 // 
14542 //  Yo Bro //  $26.29 //  $35.60 //  $70.72 // 
18608 //  Ys Books I & II [Super CD] //  $60.25 //  $72.50 //  $353.93 // 
18577 //  Ys III Wanderers from Ys [Super CD] //  $104.12 //  $123.10 //  $240.01 // 
