42412 //  3D Glasses //  $44.12 //  $95.00 //  $137.62 // 
18754 //  Action Fighter //  $8.47 //  $13.39 //  $41.01 // 
18756 //  Aerial Assault //  $16.90 //  $57.75 //  $117.43 // 
18757 //  After Burner //  $9.00 //  $11.88 //  $31.99 // 
18762 //  Alex Kidd in High-Tech World //  $14.99 //  $22.78 //  $108.13 // 
18761 //  Alex Kidd in Miracle World //  $24.99 //  $40.02 //  $84.00 // 
18764 //  Alex Kidd in Shinobi World //  $59.99 //  $68.22 //  $199.70 // 
55723 //  Alex Kidd in Shinobi World [Blue Label] //  $56.61 //  $125.00 //  $250.00 // 
18763 //  Alex Kidd the Lost Stars //  $14.45 //  $24.97 //  $76.50 // 
18766 //  Alf //  $58.80 //  $110.00 //  $244.53 // 
18768 //  Alien Syndrome //  $9.99 //  $15.67 //  $54.97 // 
18770 //  Altered Beast //  $8.57 //  $14.99 //  $111.60 // 
53851 //  Asterix //  $25.99 //  $29.49 //  $76.95 // 
53853 //  Asterix and the Great Rescue //  $29.52 //  $64.95 //  $129.90 // 
53852 //  Asterix and the Secret Mission //  $22.22 //  $37.47 //  $99.98 // 
18778 //  Astro Warrior //  $11.81 //  $23.80 //  $29.99 // 
18780 //  Aztec Adventure //  $8.47 //  $14.61 //  $55.96 // 
18789 //  Black Belt //  $9.99 //  $16.90 //  $46.01 // 
18790 //  Blade Eagle 3D //  $15.04 //  $24.14 //  $36.84 // 
18791 //  Bomber Raid //  $13.73 //  $25.00 //  $49.90 // 
18797 //  California Games //  $7.58 //  $19.24 //  $33.98 // 
63618 //  California Games [Blue Label] //  $20.06 //  $48.00 //  $96.00 // 
18799 //  Captain Silver //  $12.56 //  $23.18 //  $46.26 // 
18800 //  Casino Games //  $8.70 //  $17.25 //  $35.54 // 
18801 //  Castle of Illusion //  $25.00 //  $42.34 //  $599.95 // 
30884 //  Choplifter! //  $8.98 //  $14.37 //  $23.25 // 
18809 //  Cloud Master //  $17.25 //  $31.25 //  $219.78 // 
18810 //  Columns //  $14.51 //  $15.16 //  $36.56 // 
55719 //  Control Stick //  $8.99 //  $12.39 //  $21.50 // 
18814 //  Cyborg Hunter //  $12.48 //  $21.24 //  $39.28 // 
18817 //  Dead Angle //  $22.96 //  $39.99 //  $53.94 // 
18821 //  Dick Tracy //  $20.60 //  $67.50 //  $199.95 // 
18823 //  Double Dragon //  $10.98 //  $17.62 //  $41.19 // 
66858 //  Double Dragon [Blue Label] //  $27.27 //  $61.49 //  $122.72 // 
18830 //  E-SWAT //  $18.00 //  $47.99 //  $59.96 // 
18833 //  Enduro Racer //  $9.84 //  $12.56 //  $19.95 // 
55680 //  F-16 Fighter //   //   //   // 
18834 //  F-16 Fighting Falcon //  $8.63 //  $13.87 //  $27.90 // 
18837 //  Fantasy Zone //  $19.90 //  $40.00 //  $77.51 // 
18840 //  Fantasy Zone II //  $21.74 //  $54.00 //  $59.00 // 
18838 //  Fantasy Zone the Maze //  $17.00 //  $24.85 //  $49.57 // 
18848 //  Galaxy Force //  $23.75 //  $47.54 //  $89.95 // 
18852 //  Gangster Town //  $6.94 //  $14.79 //  $25.27 // 
18857 //  Ghost House //  $21.99 //  $25.50 //  $86.24 // 
18856 //  Ghostbusters //  $9.93 //  $19.99 //  $62.86 // 
18858 //  Ghouls N Ghosts //  $49.26 //  $102.25 //  $235.83 // 
18859 //  Global Defense //  $6.04 //  $10.42 //  $18.74 // 
18860 //  Golden Axe //  $13.02 //  $31.49 //  $79.95 // 
18861 //  Golden Axe Warrior //  $121.37 //  $270.00 //  $401.33 // 
18863 //  Golvellius Valley of Doom //  $28.96 //  $39.49 //  $99.99 // 
18869 //  Great Baseball //  $4.06 //  $8.00 //  $23.00 // 
18867 //  Great Basketball //  $5.23 //  $8.50 //  $17.76 // 
18870 //  Great Football //  $2.36 //  $7.99 //  $13.90 // 
18865 //  Great Golf //  $6.23 //  $10.00 //  $17.88 // 
18868 //  Great Ice Hockey //  $18.27 //  $26.66 //  $38.64 // 
18864 //  Great Soccer //  $7.42 //  $15.99 //  $34.08 // 
