42412 //  3D Glasses //  $44.12 //  $95.00 //  $135.00 // 
18754 //  Action Fighter //  $7.86 //  $13.48 //  $41.01 // 
18756 //  Aerial Assault //  $24.50 //  $55.67 //  $112.52 // 
18757 //  After Burner //  $8.95 //  $12.00 //  $31.99 // 
18762 //  Alex Kidd in High-Tech World //  $15.77 //  $23.39 //  $108.23 // 
18761 //  Alex Kidd in Miracle World //  $27.84 //  $45.50 //  $84.00 // 
18764 //  Alex Kidd in Shinobi World //  $59.99 //  $70.61 //  $199.70 // 
55723 //  Alex Kidd in Shinobi World [Blue Label] //  $52.00 //  $127.43 //  $239.63 // 
18763 //  Alex Kidd the Lost Stars //  $14.49 //  $25.85 //  $76.50 // 
18766 //  Alf //  $62.60 //  $120.00 //  $244.53 // 
18768 //  Alien Syndrome //  $9.07 //  $14.99 //  $54.97 // 
18770 //  Altered Beast //  $8.18 //  $15.54 //  $41.93 // 
53851 //  Asterix //  $17.10 //  $28.28 //  $76.95 // 
53853 //  Asterix and the Great Rescue //  $29.52 //  $64.95 //  $129.90 // 
53852 //  Asterix and the Secret Mission //  $22.22 //  $37.41 //  $99.98 // 
18778 //  Astro Warrior //  $12.77 //  $20.50 //  $29.99 // 
18780 //  Aztec Adventure //  $9.50 //  $12.48 //  $55.96 // 
18789 //  Black Belt //  $9.57 //  $16.41 //  $46.04 // 
18790 //  Blade Eagle 3D //  $16.95 //  $24.23 //  $36.84 // 
18791 //  Bomber Raid //  $12.89 //  $24.78 //  $47.91 // 
18797 //  California Games //  $7.02 //  $17.87 //  $32.50 // 
63618 //  California Games [Blue Label] //  $23.11 //  $48.00 //  $104.00 // 
18799 //  Captain Silver //  $10.50 //  $22.05 //  $45.57 // 
18800 //  Casino Games //  $8.71 //  $14.49 //  $35.56 // 
18801 //  Castle of Illusion //  $23.11 //  $34.08 //  $68.49 // 
30884 //  Choplifter! //  $7.84 //  $14.19 //  $22.00 // 
18809 //  Cloud Master //  $17.66 //  $29.99 //  $219.78 // 
18810 //  Columns //  $14.48 //  $14.72 //  $36.55 // 
55719 //  Control Stick //  $5.64 //  $12.39 //  $23.23 // 
18814 //  Cyborg Hunter //  $12.46 //  $19.71 //  $39.22 // 
18817 //  Dead Angle //  $19.95 //  $39.97 //  $53.97 // 
18821 //  Dick Tracy //  $20.50 //  $65.34 //  $199.95 // 
18823 //  Double Dragon //  $10.97 //  $13.45 //  $41.20 // 
66858 //  Double Dragon [Blue Label] //  $27.27 //  $59.99 //  $119.98 // 
18830 //  E-SWAT //  $19.39 //  $47.99 //  $59.96 // 
18833 //  Enduro Racer //  $8.71 //  $11.03 //  $19.95 // 
55680 //  F-16 Fighter //   //   //   // 
18834 //  F-16 Fighting Falcon //  $8.80 //  $13.95 //  $27.90 // 
18837 //  Fantasy Zone //  $18.99 //  $39.00 //  $78.41 // 
18840 //  Fantasy Zone II //  $20.94 //  $54.74 //  $59.00 // 
